,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10785835,2020-09-03 03:07:11,0x825f6c559e1bf3c5a2387e929a961ee191b6a9bc0cc64b7d5637b1d87653e883,4,0x4a28b0269608fcb446b88deccadd47356adcdd249a25a203d02976670b6684ed,0x0000000000000000000000000000000000000000,0x813bf9e65aa9ed0da8c87463e1e52bc6d5bd3271,0xd6931d3427c0ae639a3c0816c38c0f2e2ccb0164,1e+21,Mcdonald.Finance,MCDDEFI,18,146,100381,335230000000,66921,11930741,deprecated,4397922
1,10786019,2020-09-03 03:45:51,0xb76d3509796ee7e9d0262668b7242181442ca50001414dad4f116c16af475c12,6,0xe0e3fc4ebff26a787e5df9c90873bb6487a6081c9ac9ef5c2100cac807c84451,0xd6931d3427c0ae639a3c0816c38c0f2e2ccb0164,0x813bf9e65aa9ed0da8c87463e1e52bc6d5bd3271,0x4448858af1fabfafd21e48c3e7ef3c003598138f,1e+21,Mcdonald.Finance,MCDDEFI,18,117,3021943,340000000000,2691865,10306158,deprecated,4397738
2,10786019,2020-09-03 03:45:51,0xb76d3509796ee7e9d0262668b7242181442ca50001414dad4f116c16af475c12,6,0xe0e3fc4ebff26a787e5df9c90873bb6487a6081c9ac9ef5c2100cac807c84451,0x0000000000000000000000000000000000000000,0x4448858af1fabfafd21e48c3e7ef3c003598138f,0xd6931d3427c0ae639a3c0816c38c0f2e2ccb0164,4.4721359549995786e+18,Uniswap V2,UNI-V2,18,117,3021943,340000000000,2691865,10306158,deprecated,4397738
3,10786071,2020-09-03 03:58:24,0x5e54cbc5cb26c2556ed738644bfd66a37d5c1d150120281f7e657d215c8a178c,8,0x14f6c09efd2f6f1d70bcf8c9a488313fdae3680a8e7e67aa3f652280db0d3fa0,0x0000000000000000000000000000000000000000,0x813bf9e65aa9ed0da8c87463e1e52bc6d5bd3271,0xd6931d3427c0ae639a3c0816c38c0f2e2ccb0164,1e+23,Mcdonald.Finance,MCDDEFI,18,70,77899,347000001459,51933,7193852,deprecated,4397686
4,10786137,2020-09-03 04:11:06,0xbffa77dadac1cb973f8588e01712ac6fffc9efa6307a5cee679aadd682a6197a,9,0xc3b20ce87768dd8edfaa71134af8e0c192617231a86f6b452254c6b80de56ed0,0xd6931d3427c0ae639a3c0816c38c0f2e2ccb0164,0x813bf9e65aa9ed0da8c87463e1e52bc6d5bd3271,0x4448858af1fabfafd21e48c3e7ef3c003598138f,4.6409832815193214e+20,Mcdonald.Finance,MCDDEFI,18,147,184270,344863712963,142021,12211697,deprecated,4397620
5,10786137,2020-09-03 04:11:06,0xbffa77dadac1cb973f8588e01712ac6fffc9efa6307a5cee679aadd682a6197a,9,0xc3b20ce87768dd8edfaa71134af8e0c192617231a86f6b452254c6b80de56ed0,0x0000000000000000000000000000000000000000,0x4448858af1fabfafd21e48c3e7ef3c003598138f,0xd6931d3427c0ae639a3c0816c38c0f2e2ccb0164,6.014304023645558e+19,Uniswap V2,UNI-V2,18,147,184270,344863712963,142021,12211697,deprecated,4397620
6,10786194,2020-09-03 04:24:16,0xf250bfe4af28624662966aa2ce5359f85ebfdcab3ea78669591528cfbcfa2a24,10,0x54ae2e7555e1216d6666af4867a8e17cd7b91b9fd789354b20f248612733ce85,0xd6931d3427c0ae639a3c0816c38c0f2e2ccb0164,0x813bf9e65aa9ed0da8c87463e1e52bc6d5bd3271,0x4448858af1fabfafd21e48c3e7ef3c003598138f,9.942126260173105e+19,Mcdonald.Finance,MCDDEFI,18,116,168391,360000000000,127801,7069968,deprecated,4397563
7,10786217,2020-09-03 04:29:54,0x5809309ffd59cdda488970d4da4fb6f93ebf0b53469dfdd4fc346753c13813b4,11,0x91371231665463cfac81f92bce774e3da992818de17b21902947165e9ea0d00b,0xd6931d3427c0ae639a3c0816c38c0f2e2ccb0164,0x4448858af1fabfafd21e48c3e7ef3c003598138f,0x4448858af1fabfafd21e48c3e7ef3c003598138f,4.8461382143591375e+19,Uniswap V2,UNI-V2,18,54,296946,344300000000,186888,4910920,deprecated,4397540
8,10786217,2020-09-03 04:29:54,0x5809309ffd59cdda488970d4da4fb6f93ebf0b53469dfdd4fc346753c13813b4,11,0x91371231665463cfac81f92bce774e3da992818de17b21902947165e9ea0d00b,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x813bf9e65aa9ed0da8c87463e1e52bc6d5bd3271,0xd6931d3427c0ae639a3c0816c38c0f2e2ccb0164,5.231876913789805e+20,Mcdonald.Finance,MCDDEFI,18,54,296946,344300000000,186888,4910920,deprecated,4397540
9,10786246,2020-09-03 04:35:22,0x973f879415b8e722670106000226ccb12338dd934ad535d3ad4eaca2d71d5491,16,0xa74ed4840eb473fff85dd4c3ee47624e3d407c700d808eff3e62d341774ab258,0xd6931d3427c0ae639a3c0816c38c0f2e2ccb0164,0x4448858af1fabfafd21e48c3e7ef3c003598138f,0x3045b2e5e0a89911a70ab74c927532d8254725d8,1.6153794047862792e+19,Uniswap V2,UNI-V2,18,119,145429,345000000000,96953,8080395,deprecated,4397511
10,10786612,2020-09-03 06:02:14,0x4045d3989a17cdd7ced27bdfce599d194f8225769c142380155fc9217d7b0e1e,17,0xc06d76d4f47e34458152ceb51d216cfeddfb383612ea06e2dc30c2bcdff0d92e,0xd6931d3427c0ae639a3c0816c38c0f2e2ccb0164,0x813bf9e65aa9ed0da8c87463e1e52bc6d5bd3271,0x3045b2e5e0a89911a70ab74c927532d8254725d8,1e+22,Mcdonald.Finance,MCDDEFI,18,234,77020,387000000000,51347,11719777,deprecated,4397145
11,10786617,2020-09-03 06:03:06,0x377ed4b2fe91bc9bada2a6ad38bd8dc234f4f45464c80186553bfa47820e6f2f,20,0x0f215effc4af003845336944c385fcc3f698a19a6b8e6efcd122911da17d99e3,0x3045b2e5e0a89911a70ab74c927532d8254725d8,0x4448858af1fabfafd21e48c3e7ef3c003598138f,0xd6931d3427c0ae639a3c0816c38c0f2e2ccb0164,1.6153794047862792e+19,Uniswap V2,UNI-V2,18,86,76822,376000000000,24866,6031149,deprecated,4397140
12,10786623,2020-09-03 06:04:56,0x4a9df7616316b022116de90ff54534684104854d12db1cf839de258c6154b144,21,0x32e00b41727f5ca6e299203b924b3dba15ecce088290fa47d5adc31fb2c10f09,0xd6931d3427c0ae639a3c0816c38c0f2e2ccb0164,0x813bf9e65aa9ed0da8c87463e1e52bc6d5bd3271,0x4448858af1fabfafd21e48c3e7ef3c003598138f,3.137090884910466e+19,Mcdonald.Finance,MCDDEFI,18,43,168391,383000000000,127801,3156633,deprecated,4397134
13,10786736,2020-09-03 06:31:09,0xdfc6bd6fc5837caec88d1c5de001a8930a26aa4dd3c86b030125220e4a6b1d5f,22,0x43a857046c89fa31fee5ad0e64a0be19689d9929549e5dab2c5b1eede0084eb7,0x9cc0cffcd643315ff561fbaed462a611775a10ed,0x420ab548b18911717ed7c4ccbf46371ea758458c,0xd6931d3427c0ae639a3c0816c38c0f2e2ccb0164,1.1857547686906507e+19,NOODLE.Finance,NOODLE,18,72,164854,383000001235,124301,6853505,deprecated,4397021
14,10786817,2020-09-03 06:48:01,0x239bb559f6c89bc23fc8443d31ddc3583132944462f4ab55741191b4beb13101,27,0x6cda56551d15203c094d4a32ec4fb349e8b92d5d08181fcdc9fd56a4abae1694,0xd6931d3427c0ae639a3c0816c38c0f2e2ccb0164,0x420ab548b18911717ed7c4ccbf46371ea758458c,0x9cc0cffcd643315ff561fbaed462a611775a10ed,1.1e+19,NOODLE.Finance,NOODLE,18,205,192098,395000000000,148859,11649257,deprecated,4396940
15,10786817,2020-09-03 06:48:01,0x239bb559f6c89bc23fc8443d31ddc3583132944462f4ab55741191b4beb13101,27,0x6cda56551d15203c094d4a32ec4fb349e8b92d5d08181fcdc9fd56a4abae1694,0x0000000000000000000000000000000000000000,0x9cc0cffcd643315ff561fbaed462a611775a10ed,0xd6931d3427c0ae639a3c0816c38c0f2e2ccb0164,9.217237385674144e+16,Uniswap V2,UNI-V2,18,205,192098,395000000000,148859,11649257,deprecated,4396940
16,10787183,2020-09-03 08:15:43,0xebd7792a909762a8c60eaca43ee813dbf8c972bd1ee9e7a06662084fb03e86ab,305008,0x9c36c9d70a2def4599157c3a0684e5100a354b5e231f97e0c5424e9c14d36c28,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,0xdac17f958d2ee523a2206206994597c13d831ec7,0xd6931d3427c0ae639a3c0816c38c0f2e2ccb0164,100000000.0,Tether USD,USDT,6,36,85436,504000000000,56197,1924390,deprecated,4396574
