,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10777212,2020-09-01 19:32:12,0xbba3815d76172a793cac09bbc737f78bd6b104fbee99d1b47708c41f54ee3327,39,0x022087d720c347939380b6af70eb0f6bfdb92b3bbaa8c29075373ea4c99219dd,0x5c5175261f2c8a6e5ee27f88053086d111b07c5b,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xd6c065fe180c6375ab1552b6307fc964ab586b93,3.6173235480975733e+19,SushiToken,SUSHI,18,137,76789,479000000000,36193,11148035,deprecated,4406772
1,10777811,2020-09-01 21:44:04,0x4e281ced2e39bbe8b98089b1ca699e973390306839824e3dcaf99765ed446db2,3,0x8a4c2939c7a9d0ef6e4f2eea03a7e494fb9528f5f629304c7101b1b049f6bd78,0xd6c065fe180c6375ab1552b6307fc964ab586b93,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x4938960c507a4d7094c53a8cddcf925835393b8f,3.6173235480975733e+19,SushiToken,SUSHI,18,129,185572,479000000000,108715,10840833,deprecated,4406173
2,10778353,2020-09-01 23:36:27,0xb0b6bad5ab1a8e6225632d0c8f68b266160ac5715129f91da531821ac2d389c8,4,0x3a5c7410fea48ef7bd242c1d63e894392e06b4b47f1a9fbcda6a6fffebb14603,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xd6c065fe180c6375ab1552b6307fc964ab586b93,8.643454688141174e+19,SushiToken,SUSHI,18,64,151565,480000000000,112409,7316045,deprecated,4405631
3,10778356,2020-09-01 23:37:21,0x4e81946552aa951bdd87221d5685e76b93d0998258477e4a287e4e0d22358646,5,0x354f104c4f0e16a228f41c52cebb21f3fb4acdd9ab96446626fa11facd5d41ed,0xd6c065fe180c6375ab1552b6307fc964ab586b93,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x4938960c507a4d7094c53a8cddcf925835393b8f,8.643454688141174e+19,SushiToken,SUSHI,18,203,169440,480000000000,89470,12405750,deprecated,4405628
4,10782424,2020-09-02 14:38:45,0x2414487b2c583f6b196f7f0f623da39eaf37272d3d8caa56aff44dd0bb63c3d3,6,0x18e0ceaec46d1be0430f931897c0f81d77f72ccd8594b26aed16f0f99060a630,0x4938960c507a4d7094c53a8cddcf925835393b8f,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xd6c065fe180c6375ab1552b6307fc964ab586b93,1.2260778236238748e+20,SushiToken,SUSHI,18,110,253731,477000000000,139154,7293185,deprecated,4401560
5,10782424,2020-09-02 14:38:45,0x2414487b2c583f6b196f7f0f623da39eaf37272d3d8caa56aff44dd0bb63c3d3,6,0x18e0ceaec46d1be0430f931897c0f81d77f72ccd8594b26aed16f0f99060a630,0x4938960c507a4d7094c53a8cddcf925835393b8f,0xa0246c9032bc3a600820415ae600c6388619a14d,0xd6c065fe180c6375ab1552b6307fc964ab586b93,1.7249159461631632e+16,FARM Reward Token,FARM,18,110,253731,477000000000,139154,7293185,deprecated,4401560
6,10782547,2020-09-02 15:05:34,0x117080012fcfd6b54794ff67c79f795dd2d0bcc896c77ca0c03d092470bcf2db,8,0x78c3e51b9dbf6d9827b130149c78f2d8e7e76f1f5256a477ea8cecbd66be64c3,0xd6c065fe180c6375ab1552b6307fc964ab586b93,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,6.776957556640856e+19,SushiToken,SUSHI,18,17,168275,490000000000,127696,1691764,deprecated,4401437
7,10782753,2020-09-02 15:53:49,0x3251f6b07ca8890e7c7ef369f9267960532bc77dc42d6c2aad17efd8225a77fe,11,0x54a54fad1c80cc4a7497fdb55826676f2abe4b44b212304431969e367ab91a1c,0xd6c065fe180c6375ab1552b6307fc964ab586b93,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,5.483820679597892e+19,SushiToken,SUSHI,18,148,187464,499000000000,129924,10643307,deprecated,4401231
8,10782753,2020-09-02 15:53:49,0x3251f6b07ca8890e7c7ef369f9267960532bc77dc42d6c2aad17efd8225a77fe,11,0x54a54fad1c80cc4a7497fdb55826676f2abe4b44b212304431969e367ab91a1c,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xd6c065fe180c6375ab1552b6307fc964ab586b93,6.350875608388893e+18,Uniswap V2,UNI-V2,18,148,187464,499000000000,129924,10643307,deprecated,4401231
9,10782844,2020-09-02 16:15:06,0x7e7b113fea94f82995e4ca30d86da47c91ad46ef388201e4ba425019cb64e450,14,0x0625d9763da378952d012aa19006d02ecaf6d8df1571f1db8bf6a5f1621ce3f9,0xd6c065fe180c6375ab1552b6307fc964ab586b93,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x050921f845d384a786c38296ef42cb276194c642,6.34e+18,Uniswap V2,UNI-V2,18,97,112549,500000000000,75033,10828622,deprecated,4401140
