,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10779541,2020-09-02 04:01:22,0x4d6ce4c2ad8df36c497c622e59e6936c3ecab1cb68df566f8f59ea3f6507b461,5061903,0x1bd31b67ae8c272bcfa277d8ced5a3f17566fe9a4aa7038ccc1c32567200c69d,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xdc11c23a38590fad6ad6f2727f02bceb85ee3607,9.4e+18,SushiToken,SUSHI,18,164,166667,600000000000,51157,7982110,deprecated,4404471
1,10785627,2020-09-03 02:24:32,0xd46d83966622d68a6233bbfe0651e0b7ac49babe81426ac8ed8cab6265fa4a37,3,0x78d242f58d5268aa055e5c1b3c7ef4df7c4b0f1f688a0467751669b1a7616246,0xc5be99a02c6857f9eac67bbce58df5572498f40c,0xd46ba6d942050d489dbd938a2c909a5d5039a161,0xdc11c23a38590fad6ad6f2727f02bceb85ee3607,336396352909.0,Ampleforth,AMPL,9,127,173566,330000000000,120080,9864890,deprecated,4398385
2,10785656,2020-09-03 02:29:55,0x490b36b470e3973b706f84daf89806775e8ada0e4e7c5610ac112f6268854104,5,0x745cb05cc034b1c31542d1d674d1caee1e05b562897b162946b72771e32314f3,0xdc11c23a38590fad6ad6f2727f02bceb85ee3607,0xd46ba6d942050d489dbd938a2c909a5d5039a161,0xc5be99a02c6857f9eac67bbce58df5572498f40c,335851930307.0,Ampleforth,AMPL,9,105,198452,326000000000,142866,6975482,deprecated,4398356
3,10785656,2020-09-03 02:29:55,0x490b36b470e3973b706f84daf89806775e8ada0e4e7c5610ac112f6268854104,5,0x745cb05cc034b1c31542d1d674d1caee1e05b562897b162946b72771e32314f3,0x0000000000000000000000000000000000000000,0xc5be99a02c6857f9eac67bbce58df5572498f40c,0xdc11c23a38590fad6ad6f2727f02bceb85ee3607,99811240900486.0,Uniswap V2,UNI-V2,18,105,198452,326000000000,142866,6975482,deprecated,4398356
4,10785672,2020-09-03 02:33:59,0x9bdaf62951b08da52f96ccf98f47b0c58661958ce5b16aaedbdfdbef3c34733d,6,0x52ec5f87ebfd11512cfabc4f14a353cdf94d45e249af38d54028ddfc899df138,0xdc11c23a38590fad6ad6f2727f02bceb85ee3607,0x2fdbadf3c4d5a8666bc06645b8358ab803996e28,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0.0,Uniswap V2,UNI-V2,18,127,141991,327000000000,94661,10596028,deprecated,4398340
5,10785740,2020-09-03 02:48:40,0x9a529f5290ac1d0caf5ac9992fe7b6634ca8b8f6d517dc2847ee5a9d905edba7,8,0x59379f1af9e00b7cb90e13906c7476f975a75dcbb288b0fd4b98d6d8f645b865,0xdc11c23a38590fad6ad6f2727f02bceb85ee3607,0xc5be99a02c6857f9eac67bbce58df5572498f40c,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,99811240900486.0,Uniswap V2,UNI-V2,18,115,212367,330000000000,126578,9074479,deprecated,4398272
6,10792980,2020-09-04 05:29:39,0x467c02e1ff6ae6739521f2a6d1fc7cc07f587e13f4079f4251ebaca6e52ec1e0,5086378,0xe474e6c10dd0cb3f064860c3f8c3a9891e52e85173d68aa9989fe1d5b4e2c848,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xdc11c23a38590fad6ad6f2727f02bceb85ee3607,1.611252e+19,SushiToken,SUSHI,18,134,207128,168000000000,36169,9133268,deprecated,4391032
7,10793356,2020-09-04 06:52:46,0x49edd0607fab506f609f15a7f7af6eb740fc3017053956542cb7acecaf917b9d,10,0x77b48feb51bde19756725c942f4ddb5a035374509056ab296b2c3b03b85f978a,0xdc11c23a38590fad6ad6f2727f02bceb85ee3607,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,2.551252e+19,SushiToken,SUSHI,18,82,187437,196000000000,141916,4261258,deprecated,4390656
8,10793356,2020-09-04 06:52:46,0x49edd0607fab506f609f15a7f7af6eb740fc3017053956542cb7acecaf917b9d,10,0x77b48feb51bde19756725c942f4ddb5a035374509056ab296b2c3b03b85f978a,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xdc11c23a38590fad6ad6f2727f02bceb85ee3607,2.7374802601153106e+18,Uniswap V2,UNI-V2,18,82,187437,196000000000,141916,4261258,deprecated,4390656
9,10793405,2020-09-04 07:01:50,0xc23e7a155956e74064eaf1b5060f8a66b92e04ff4aa1bf8616672739d26a2ae7,12,0x20105da6317e9036a847dab85f1e7d3c69abde8266b5fdf4aa688f087c4004d2,0xdc11c23a38590fad6ad6f2727f02bceb85ee3607,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,2.7374802601153106e+18,Uniswap V2,UNI-V2,18,80,212403,170000000000,126602,6690217,deprecated,4390607
