,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10763738,2020-08-30 18:09:58,0x6a27f6b7076eb8ef7f42121d3bfbfcd4e89ce1927b567ca669d4896aa724fe38,0,0x47baebd8615729b1afa9bccdedcbe2d4d8cbd84e2ce08fbf56862327b50a798a,0xd58b1b5d2148f744e9eb3a87f20bebf3ca5f8974,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xde8107999c93238f7ae2bceceb05ba0adf86e4ee,5.162138069454294e+18,YFValue,YFV,18,169,217636,228000000000,168323,10326161,deprecated,4420987
1,10763813,2020-08-30 18:27:03,0x32c09407b54a234deb1c4f10fd6c12f971cf16bb6278ccb723be7d91d76871d5,4,0x2c6c0718e6d549d9d37024b875c19376efe97c8e69886384ce95d8bacdf1684a,0xde8107999c93238f7ae2bceceb05ba0adf86e4ee,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x1e88eed0087bc390ca40cd4ed2589326fb28eb31,4.1621380694542935e+18,YFValue,YFV,18,155,258538,140000000000,149548,11690941,deprecated,4420912
2,10763813,2020-08-30 18:27:03,0x32c09407b54a234deb1c4f10fd6c12f971cf16bb6278ccb723be7d91d76871d5,4,0x2c6c0718e6d549d9d37024b875c19376efe97c8e69886384ce95d8bacdf1684a,0x1e88eed0087bc390ca40cd4ed2589326fb28eb31,0x742569fd5266486fd2a50171dbdc88b8ee893ee9,0xde8107999c93238f7ae2bceceb05ba0adf86e4ee,8.305966463448446e+20,Balancer Pool Token,BPT,18,155,258538,140000000000,149548,11690941,deprecated,4420912
3,10763846,2020-08-30 18:35:30,0x310df407fd05a97cc7f7be23a5ba9cf0103e14acf9f7c7e124e6875903a31b6b,6,0xf24fe3249d3e5ad02e15929c4e84f5916cfefce2e9150765adcbd40e6c0ea31c,0xde8107999c93238f7ae2bceceb05ba0adf86e4ee,0x742569fd5266486fd2a50171dbdc88b8ee893ee9,0x70b83a7f5e83b3698d136887253e0bf426c9a117,8.305966463448446e+20,Balancer Pool Token,BPT,18,136,199317,243000000000,117878,9011128,deprecated,4420879
4,10772779,2020-09-01 03:10:07,0x596cabb78d9fa8d34e0684692edbbe852dd371bdf307f0d591e3be637c292680,7,0x1b2d51e3cbf509e34dae7c9c2514d06c59565279abb6af53156fda84aa040bed,0x70b83a7f5e83b3698d136887253e0bf426c9a117,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xde8107999c93238f7ae2bceceb05ba0adf86e4ee,7.817513182667798e+16,YFValue,YFV,18,139,279384,245000000000,166919,9770035,deprecated,4411946
5,10772779,2020-09-01 03:10:07,0x596cabb78d9fa8d34e0684692edbbe852dd371bdf307f0d591e3be637c292680,7,0x1b2d51e3cbf509e34dae7c9c2514d06c59565279abb6af53156fda84aa040bed,0x70b83a7f5e83b3698d136887253e0bf426c9a117,0x1b8e12f839bd4e73a47addf76cf7f0097d74c14c,0xde8107999c93238f7ae2bceceb05ba0adf86e4ee,3760227.0,Value USD,vUSD,9,139,279384,245000000000,166919,9770035,deprecated,4411946
6,10892136,2020-09-19 10:29:46,0xb11b8086c28ee8ff4cece37f50d3ca87ab38bfac072980b950ec107ca1f10743,8,0x5800486699d9f0aeaa8c668713c04bd3a0a6adee5769133a19a4b5ca5d319fe6,0x70b83a7f5e83b3698d136887253e0bf426c9a117,0x742569fd5266486fd2a50171dbdc88b8ee893ee9,0xde8107999c93238f7ae2bceceb05ba0adf86e4ee,8.305966463448446e+20,Balancer Pool Token,BPT,18,137,343984,70000000000,195123,11802450,deprecated,4292589
7,10892136,2020-09-19 10:29:46,0xb11b8086c28ee8ff4cece37f50d3ca87ab38bfac072980b950ec107ca1f10743,8,0x5800486699d9f0aeaa8c668713c04bd3a0a6adee5769133a19a4b5ca5d319fe6,0x70b83a7f5e83b3698d136887253e0bf426c9a117,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xde8107999c93238f7ae2bceceb05ba0adf86e4ee,6.173604091157885e+17,YFValue,YFV,18,137,343984,70000000000,195123,11802450,deprecated,4292589
8,10892136,2020-09-19 10:29:46,0xb11b8086c28ee8ff4cece37f50d3ca87ab38bfac072980b950ec107ca1f10743,8,0x5800486699d9f0aeaa8c668713c04bd3a0a6adee5769133a19a4b5ca5d319fe6,0x70b83a7f5e83b3698d136887253e0bf426c9a117,0x1b8e12f839bd4e73a47addf76cf7f0097d74c14c,0xde8107999c93238f7ae2bceceb05ba0adf86e4ee,29695065.0,Value USD,vUSD,9,137,343984,70000000000,195123,11802450,deprecated,4292589
9,10911994,2020-09-22 11:22:04,0x6f16cc17ac6194f53be30f6e5ac022d874804bfa1b91adae5ccb333d72334f1d,11,0xcdf3dfc5935f15d35c61ce10570a92413a639cdeb28f482f27f240d3b46bcf81,0xde8107999c93238f7ae2bceceb05ba0adf86e4ee,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0x07eb8cb8aedb581a2d73cc29f6c7860226808ca2,1.6955355409424666e+18,YFValue,YFV,18,139,277447,113000000000,168430,9631529,deprecated,4272731
