,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10750834,2020-08-28 18:31:11,0x0e3ec6b9e882c3ba03f9ac24c03a125bfdbb36699f4cd91538fef72c1a6c24c7,24174,0x0822f395d4ec8fd0148bec493481b2133957b61916177fd54e1a4eb97167cff3,0x55fe002aeff02f77364de339a1292923a15844b8,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdf5963680bc2495d63e75e657c9edfb0e771fc29,50008000000.0,USD Coin,USDC,6,4,100000,213825000000,57381,308076,deprecated,4433827
1,10750921,2020-08-28 18:49:02,0x1fd53491fd3d856d0ecc236ed73991b547fc915a33d876c291c59daecc026cf0,2700384,0x80e9125b371caebfec3f799a1d1c66ac3cdcf7cbc1b07599755dfec0f6e2c119,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xdf5963680bc2495d63e75e657c9edfb0e771fc29,16099522881.0,USD Coin,USDC,6,8,207128,166000000000,42393,2252058,deprecated,4433740
2,10750942,2020-08-28 18:53:20,0x3f1fb4b62f1287daef299cd9d85592a9f39e62ff96db497d322e765b59621379,2,0x574a8768fafbb473541cc31c9412cada52dbaf6d2fbf9163041d4c1acf4fa929,0xdf5963680bc2495d63e75e657c9edfb0e771fc29,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,7877275473.0,USD Coin,USDC,6,75,210283,138000000000,153653,7301608,deprecated,4433719
3,10750942,2020-08-28 18:53:20,0x3f1fb4b62f1287daef299cd9d85592a9f39e62ff96db497d322e765b59621379,2,0x574a8768fafbb473541cc31c9412cada52dbaf6d2fbf9163041d4c1acf4fa929,0x0000000000000000000000000000000000000000,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xdf5963680bc2495d63e75e657c9edfb0e771fc29,329882596225001.0,Uniswap V2,UNI-V2,18,75,210283,138000000000,153653,7301608,deprecated,4433719
4,10750962,2020-08-28 18:56:57,0xbb3aadbb1a713435b4438fa4df0dedfe2032e69fb66424c8eb579957839ead92,3,0xd9e464ecf065952eeb9bdaaf5e36b5ccca7c717fc90416641e14c7e2317b86bb,0xdf5963680bc2495d63e75e657c9edfb0e771fc29,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,329882596225001.0,Uniswap V2,UNI-V2,18,48,212385,138000000000,126590,3104459,deprecated,4433699
5,10752358,2020-08-29 00:11:06,0xb837fdac45e4fbf8a4c5042ba4b527bbdcaba2e2ef9c3f9bd60f439f2dc1accb,5,0xfa3c096b4bd8619b675aac1a642ab2d0ebf39e2a214dd55e47419253c04d3c09,0xdf5963680bc2495d63e75e657c9edfb0e771fc29,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,1978801181.0,USD Coin,USDC,6,38,210270,77000000000,165657,4509145,deprecated,4432303
6,10752358,2020-08-29 00:11:06,0xb837fdac45e4fbf8a4c5042ba4b527bbdcaba2e2ef9c3f9bd60f439f2dc1accb,5,0xfa3c096b4bd8619b675aac1a642ab2d0ebf39e2a214dd55e47419253c04d3c09,0x0000000000000000000000000000000000000000,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xdf5963680bc2495d63e75e657c9edfb0e771fc29,82638294369429.0,Uniswap V2,UNI-V2,18,38,210270,77000000000,165657,4509145,deprecated,4432303
7,10752367,2020-08-29 00:13:06,0xc92da837a03f85774e14077290934e4d1116769823b6485c204ddafe3d12c22a,6,0xa45f071e6a017fc0c377797d52edd7881cd74f6ffbed5feda7fe25eccc01e1e7,0xdf5963680bc2495d63e75e657c9edfb0e771fc29,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,19761482346.0,USD Coin,USDC,6,194,193796,57194891116,150681,11161137,deprecated,4432294
8,10752367,2020-08-29 00:13:06,0xc92da837a03f85774e14077290934e4d1116769823b6485c204ddafe3d12c22a,6,0xa45f071e6a017fc0c377797d52edd7881cd74f6ffbed5feda7fe25eccc01e1e7,0x0000000000000000000000000000000000000000,0xb4e16d0168e52d35cacd2c6185b44281ec28c9dc,0xdf5963680bc2495d63e75e657c9edfb0e771fc29,825770812066136.0,Uniswap V2,UNI-V2,18,194,193796,57194891116,150681,11161137,deprecated,4432294
9,10752371,2020-08-29 00:13:52,0x6100f1ce1f55df563d0f751ccf4470cac641cf66de22390e1fe13c7d57ad8fb6,7,0x1cb04a9e7f0826883ae378d074228e86a7887e8d92813452db0e7fba5459da84,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xdf5963680bc2495d63e75e657c9edfb0e771fc29,6.986885998652721e+19,SushiToken,SUSHI,18,107,219127,77000000000,131085,6286538,deprecated,4432290
