,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10762827,2020-08-30 14:51:23,0x92a3986775a8809456dd4ddf1293bd4de2c1116fab1606c8513c609973686a97,12,0x2da0eddd73fb66405102309c64ff479e97ed62e5bd1b9fca1646412751ab31aa,0x175a5d19bf7239087dc3751e2230e1df01c2d313,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0xe1319e65dc836956c372ffdd70e6363c93e60f6d,4.260457114333286e+20,UMA Voting Token v1,UMA,18,125,183412,184000000000,107275,10894192,deprecated,4421572
1,10763438,2020-08-30 17:06:03,0xeeb3f1633c6942ffb42a08477a9f14576ed343dc3ddc904b356118171a537d23,1,0xb0a9809435e1ecd9c51b8b580d6fe2ed1527543d95d65dbd0b06aa4db1dd4029,0xe1319e65dc836956c372ffdd70e6363c93e60f6d,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0x88d97d199b9ed37c29d846d00d443de980832a22,4.260457114333286e+20,UMA Voting Token v1,UMA,18,109,167040,247000000000,123589,6076580,deprecated,4420961
2,10764330,2020-08-30 20:20:47,0x8d8641825f68972748ae183501d1fb5e9fa23aefa300ead833554756508260e8,2,0xa6979a4382b317dc75f017229df0a932159bc698f229b9b9128929ed616d87dc,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xe1319e65dc836956c372ffdd70e6363c93e60f6d,6.424353116215635e+21,Dai Stablecoin,DAI,18,122,152554,141000000000,113294,9081792,deprecated,4420069
3,10765905,2020-08-31 02:12:31,0xe1515a985962d48bd9943a83be8126ac81fa8fd6c7987b20306efda19537a20a,4,0x068c8e3513cd6cdecdadf3494e31d3ae10a7c64cc441e4f46b116670b2060ba3,0xe1319e65dc836956c372ffdd70e6363c93e60f6d,0x6b175474e89094c44da98b954eedeac495271d0f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,4e+21,Dai Stablecoin,DAI,18,83,211621,148000000000,181851,5219227,deprecated,4418494
4,10765905,2020-08-31 02:12:31,0xe1515a985962d48bd9943a83be8126ac81fa8fd6c7987b20306efda19537a20a,4,0x068c8e3513cd6cdecdadf3494e31d3ae10a7c64cc441e4f46b116670b2060ba3,0xac317d14738a454ff20b191ba3504aa97173045b,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,0xe1319e65dc836956c372ffdd70e6363c93e60f6d,1.385423785870255e+21,Swipe,SXP,18,83,211621,148000000000,181851,5219227,deprecated,4418494
5,10772260,2020-09-01 01:12:34,0xf73139c4aeaa9cf0035f3f07bd0534e9873e23f45526b536803400bf1a32d2f8,5,0xa5af05516199a62f19678cdef1b1311a1488307d28967ac3cabc55e4d0a07e85,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,0xd533a949740bb3306d119cc777fa900ba034cd52,0xe1319e65dc836956c372ffdd70e6363c93e60f6d,1.394136840978647e+21,Curve DAO Token,CRV,18,201,164925,221000000000,124363,11928304,deprecated,4412139
6,10772262,2020-09-01 01:13:11,0x889084e4eea4ee67ee0865d1f7fc21bc1490bf8bb3b41df68b6010ad7bec71b8,6,0xa86e7605484a5864bc67e65b0a65f5b30f022395789a333aeb8e114a3cb962e5,0xe1319e65dc836956c372ffdd70e6363c93e60f6d,0x6b175474e89094c44da98b954eedeac495271d0f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,2.424353116215635e+21,Dai Stablecoin,DAI,18,52,209282,223000000000,137741,4704146,deprecated,4412137
7,10772262,2020-09-01 01:13:11,0x889084e4eea4ee67ee0865d1f7fc21bc1490bf8bb3b41df68b6010ad7bec71b8,6,0xa86e7605484a5864bc67e65b0a65f5b30f022395789a333aeb8e114a3cb962e5,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,0xd533a949740bb3306d119cc777fa900ba034cd52,0xe1319e65dc836956c372ffdd70e6363c93e60f6d,5.326689793558657e+20,Curve DAO Token,CRV,18,52,209282,223000000000,137741,4704146,deprecated,4412137
8,10772927,2020-09-01 03:41:44,0x4259711ffa8d83bc0281e2316801db6e60d98a44d262ce454c4eb948b60d869a,8,0x17389f1fec8ec06f9490ddb850a5bb384aa7eeab53439b7b899b6b8a35aacd69,0xe1319e65dc836956c372ffdd70e6363c93e60f6d,0xd533a949740bb3306d119cc777fa900ba034cd52,0x3da1313ae46132a397d90d95b1424a9a7e3e0fce,1.9268058203345125e+21,Curve DAO Token,CRV,18,154,165856,264000000000,98481,9868101,deprecated,4411472
9,10774897,2020-09-01 11:05:12,0x9f9d4aa22d0f2963e355b05afdef76e6e929e14900ae53cf240cafb51fb60bbe,10,0x889fef582c17298375b4f6e1f6bc63a710b569f11c7548481b11966b003951e5,0xe1319e65dc836956c372ffdd70e6363c93e60f6d,0x8ce9137d39326ad0cd6491fb5cc0cba0e089b6a9,0xac317d14738a454ff20b191ba3504aa97173045b,1.385423785870255e+21,Swipe,SXP,18,35,168089,476000000000,112527,1869081,deprecated,4409502
