,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10778637,2020-09-02 00:42:32,0x16748c29180b801982f26ab82da429d904734ef07565e340f8e7eaff038b8ae1,1,0x7a6ea52c4231579cd8945c2e30cbc12011bda1af8f448ee80f6db43089d3eade,0xe3e93fbb27691200a36d9d83af652f98841dee45,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0.0,Uniswap V2,UNI-V2,18,131,61705,480000001459,41137,11305631,deprecated,4405257
1,10778771,2020-09-02 01:12:42,0x3cc7dbaa43def53bdca51b441e5909807a93553e70b2c3602eb7b2be29667b2c,2,0x921db8dde012394fe9f5fed5a203cb365b23c4924241a3acf792146b6c73e9f3,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xe3e93fbb27691200a36d9d83af652f98841dee45,8.866376926130866e+19,SushiToken,SUSHI,18,94,151552,483000000000,112397,9106584,deprecated,4405123
2,10778882,2020-09-02 01:36:27,0x2979052b125f3dd18ad4ce9e2ab3b9046f0d73ba5f28b2606cf7cbdae7100f4b,5,0xe347bf3e00188d576fe43e7cf73aaa52613ca6ab19412ff9ea8e89631c2d42bd,0xe3e93fbb27691200a36d9d83af652f98841dee45,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,8.682903282204824e+19,SushiToken,SUSHI,18,192,187437,480000000000,137398,11931255,deprecated,4405012
3,10778882,2020-09-02 01:36:27,0x2979052b125f3dd18ad4ce9e2ab3b9046f0d73ba5f28b2606cf7cbdae7100f4b,5,0xe347bf3e00188d576fe43e7cf73aaa52613ca6ab19412ff9ea8e89631c2d42bd,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xe3e93fbb27691200a36d9d83af652f98841dee45,1.018326100038325e+19,Uniswap V2,UNI-V2,18,192,187437,480000000000,137398,11931255,deprecated,4405012
4,10778891,2020-09-02 01:37:49,0xfa68ba124496609d892b910b9134855a19b5fe44d31ae84551ba635c7fc0f01c,6,0x023b17701f872db7048e1f7ec2ad8dc32611e6f6b48621b1b98117ea796ad7c1,0xe3e93fbb27691200a36d9d83af652f98841dee45,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,1.018326100038325e+19,Uniswap V2,UNI-V2,18,68,212403,480000000000,73078,4429751,deprecated,4405003
5,10851613,2020-09-13 04:59:22,0x440ace212510acd04d5d1b87bd1a72f938a06c3a40bafa4c3e2d60bd4980e3cb,706,0x17d616d7c494fce266150ecd145365f2e3a6792c3c86288741287641b7ae7af2,0xba7fad09230db0cfa7974da8e37534cec985bc8c,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xe3e93fbb27691200a36d9d83af652f98841dee45,1.61483e+18,SushiToken,SUSHI,18,23,61388,126000000000,36157,1488885,deprecated,4332281
6,11900933,2021-02-21 14:56:14,0xe3d6f2bbbdec68249f4572f2a1ad4e6fccdc055b8afeed65df18e0af81ef1237,10,0x46c038c7ba111fe94486ce546cb3c93c43d190c24d57d217a38fafc46024813f,0xe3e93fbb27691200a36d9d83af652f98841dee45,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x8a1ba492c2a0b5af4c910a70d53bf8bb76c9a4c0,3.44956643926042e+18,SushiToken,SUSHI,18,53,79875,149000000000,64875,7725993,deprecated,3282961
7,11900951,2021-02-21 14:59:45,0xbf4048215d07e0742d0dc8321d4967a86734f68de05ac42a4469a126d40d9f91,11,0x4846f65a248f2c1ce30e0516c2cf33879750fac867ef0c35cab508046ec4e145,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xe3e93fbb27691200a36d9d83af652f98841dee45,1.4524111758719468e+20,SushiToken,SUSHI,18,148,204244,136000000000,136163,10520707,deprecated,3282943
8,11900951,2021-02-21 14:59:45,0xbf4048215d07e0742d0dc8321d4967a86734f68de05ac42a4469a126d40d9f91,11,0x4846f65a248f2c1ce30e0516c2cf33879750fac867ef0c35cab508046ec4e145,0xe3e93fbb27691200a36d9d83af652f98841dee45,0x795065dcc9f64b5614c407a6efdc400da6221fb0,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0.0,SushiSwap LP Token,SLP,18,148,204244,136000000000,136163,10520707,deprecated,3282943
9,11900963,2021-02-21 15:02:02,0x6f5efaaed17179a1ef5743cbd7ff4bc2bceb125cf7d24f44ab7fb3d1a365a6ad,12,0x32d33f5e5b5b075dd740ddf7e501cb53b7740c62fd2100666d4c6427d2f7e956,0xe3e93fbb27691200a36d9d83af652f98841dee45,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x8a1ba492c2a0b5af4c910a70d53bf8bb76c9a4c0,1.4524111758719468e+20,SushiToken,SUSHI,18,158,67852,141000000000,52852,11839676,deprecated,3282931
10,11905394,2021-02-22 07:05:22,0x130b0d70d6023278292839b36610eeacd01f4644fe32a000b17ef5442815d6cf,13,0xf6dcedc53ff1f96a641382c774cd44238ecf74148ec665964b8db25e1a05961b,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xe3e93fbb27691200a36d9d83af652f98841dee45,1.3541211969967914e+17,SushiToken,SUSHI,18,127,193041,100000000000,130868,10770465,deprecated,3278500
