,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10247263,2020-06-11 23:11:28,0x962bf2853af334983ba22c3d64265f0feb0ba555f2bbfab343dbc9083ada688c,0,0xfd8f22b285659011faa822e29adc2c8a0211e699d703a503f6c99e000f3bf936,0x46117468b7c3ec05fd819158732ffef70eaed4be,0x514910771af9ca656af840dff83e8264ecf986ca,0xe5f5cc98df281dfabbf87f7617811dfe7b09c6ce,1.4e+20,ChainLink Token,LINK,18,16,200000,29000000000,36589,1840839,deprecated,4937119
1,10621067,2020-08-08 19:24:14,0x7ee511a28765a925f52a70ed02c75131f2e864f97b3972252980d29be9d6f961,2575433,0x7b73bae7ef6ea6d3bec515cc31d84423bec0099ce44197d7df5b6b16c730ad51,0xd551234ae421e3bcba99a0da6d736074f22192ff,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,0xe5f5cc98df281dfabbf87f7617811dfe7b09c6ce,1.8711e+19,BandToken,BAND,18,17,188680,106000000000,129643,1065721,deprecated,4563315
2,10759157,2020-08-30 01:20:02,0x0a204fbb44cb03f815e0a17501261276ec9b20cd2dfd793f1375048bf4725dbd,0,0x9de439736d9edcd592d83a39a758138d9b44db4083d495f14c566abd7c8e43ce,0xe2f021411a15f677100a79f1bf6afd89d00c778b,0x10bae51262490b4f4af41e12ed52a0e744c1137a,0xe5f5cc98df281dfabbf87f7617811dfe7b09c6ce,5025490857.0,Soft Link,SLINK,9,198,168619,106700000000,127669,12339831,deprecated,4425225
3,10759189,2020-08-30 01:26:01,0x24239136314dc58732e59b61ec578d52756290ce1da9996b6677d65c805eb35d,1,0x1ed0f33a7f1d66fa03c2bad098fe32a94a3700adc7e50c230f45c7b92e53681d,0xe5f5cc98df281dfabbf87f7617811dfe7b09c6ce,0x10bae51262490b4f4af41e12ed52a0e744c1137a,0xf784e1a67407c1f184dc0bb596b3083bf2bf11e5,5025490857.0,Soft Link,SLINK,9,186,74760,108900000000,38400,11870464,deprecated,4425193
4,10792540,2020-09-04 04:01:26,0x465f02ad27533352e50a8ab3097cd54928ec9534a1d4835079d3c47002e228f1,0,0x24e1de66de245328287753d1b9a415a50043abb5fcb89feb16c84d1709e368f1,0xde71d6593e6fdae5ab33199573377d8f65b43add,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,0xe5f5cc98df281dfabbf87f7617811dfe7b09c6ce,4.391092666e+19,BandToken,BAND,18,108,200000,242000000000,84643,6411274,deprecated,4391842
5,10812925,2020-09-07 06:39:32,0xb8f6922549ae2a4504cc2ddbadc7915502be5ae196644490c5e23e2ea4ae74ae,2,0x447ac8100767daabcb962e10f644b5aa7bd4a1c34e2f31413448e0896fd72c1e,0xe5f5cc98df281dfabbf87f7617811dfe7b09c6ce,0xba11d00c5f74255f56a5e366f4f77f5a186d7f55,0x62237fddbf63901e83c5ec034746e8dd535cd8af,4.3e+19,BandToken,BAND,18,80,160483,99220001358,114631,6121128,deprecated,4371457
6,10979654,2020-10-02 23:58:58,0xa3762eb6cc5a4eef169d2eb7c61e31711706737119f3d9e10c1f6322a303ed67,0,0x9a082073f4150082eb29a24c24d189343973929e314445f9299d9f680d2f19a6,0x8094007323cfbe4d672afdfd0257578f70bc8156,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xe5f5cc98df281dfabbf87f7617811dfe7b09c6ce,8.787760126e+19,Uniswap,UNI,18,109,200000,53000000000,40518,5357261,deprecated,4204728
7,11186698,2020-11-03 21:43:07,0x5b877486035654014af670a5305fdad1ee0a50ca8aa43dc9515e5ee155dd7504,0,0xd2ea17a84d03bd5c1c9ac02f3c48a56acf9af2a912bc67604ba9e71e2d44bb03,0x614d015bd97463b05a44e8426b9ca1bea9768530,0x514910771af9ca656af840dff83e8264ecf986ca,0xe5f5cc98df281dfabbf87f7617811dfe7b09c6ce,3.3e+19,ChainLink Token,LINK,18,29,200000,21000000000,21589,964139,deprecated,3997684
8,11596583,2021-01-05 19:58:52,0x137efb46bc39b68240be96092185b48693d2784ccb03c0c333db3ed85dd698d8,184,0x6053385eb56d30e3f1c0483102f4ea04839cc48ef21a3c4607d2c66a6c37b449,0xb7be95e346fc5fddee6510f4feffd29e29589d4e,0x8762db106b2c2a0bccb3a80d1ed41273552616e8,0xe5f5cc98df281dfabbf87f7617811dfe7b09c6ce,9.79e+21,Reserve Rights,RSR,18,62,80925,120000000000,53950,3678347,deprecated,3587799
9,12022368,2021-03-12 07:23:31,0xeebfe2342650b7aad4af5b71894e0a46f426555c698f91a4fada9380b41e9c32,3,0xf55324ac8893768c103ed72edb2f0096e32c0aead33438928b51dd06b3cd860c,0xe5f5cc98df281dfabbf87f7617811dfe7b09c6ce,0x514910771af9ca656af840dff83e8264ecf986ca,0x9ad657b47a088fef17a005c450ff3b0907a9176e,1.73e+20,ChainLink Token,LINK,18,278,54883,151250000801,21589,12335676,deprecated,3162014
