,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10773078,2020-09-01 04:18:44,0xf43a95fa3e934a9bb91f644239bf5fafc4d6330ae61236a23db5a306fb05468c,0,0x8e3ce4e8d1678bc81788dc7e669b4a47f964150348c2942bc1199a1cd4177788,0x88d97d199b9ed37c29d846d00d443de980832a22,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0xe6fba855266316ac3a408da31f4a894876c866b6,2.2444950622452994e+19,UMA Voting Token v1,UMA,18,71,244358,294000001235,195448,4528375,deprecated,4410702
1,10773166,2020-09-01 04:38:22,0xcd0aa34a3a3c73285c5a5c91d3f96cb8e93864671d9569988c8e97979ac8229c,2,0x3a636fed2dc70464c3fc7b4c1592957ac1d64ffb1dee7b178a794bf1fb99dd34,0xe6fba855266316ac3a408da31f4a894876c866b6,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0x88d97d199b9ed37c29d846d00d443de980832a22,2.2444950622452994e+19,UMA Voting Token v1,UMA,18,155,204347,315000000000,152804,11037007,deprecated,4410614
2,10773166,2020-09-01 04:38:22,0xcd0aa34a3a3c73285c5a5c91d3f96cb8e93864671d9569988c8e97979ac8229c,2,0x3a636fed2dc70464c3fc7b4c1592957ac1d64ffb1dee7b178a794bf1fb99dd34,0x0000000000000000000000000000000000000000,0x88d97d199b9ed37c29d846d00d443de980832a22,0xe6fba855266316ac3a408da31f4a894876c866b6,4.794043768393873e+18,Uniswap V2,UNI-V2,18,155,204347,315000000000,152804,11037007,deprecated,4410614
3,10773186,2020-09-01 04:42:48,0x89a224b76d812ba557f6cea2cc1b8b592298a2dd1761762997ac3e99cb0b303c,5,0x855d089cf8e704ee299f5c7410aac3a1e5d07b7917d3287a19638d88102efe95,0xe6fba855266316ac3a408da31f4a894876c866b6,0x88d97d199b9ed37c29d846d00d443de980832a22,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,4.794043768393873e+18,Uniswap V2,UNI-V2,18,135,212403,316000001459,126602,11849450,deprecated,4410594
4,10776009,2020-09-01 15:11:31,0x6f2dae1116262dcd261c0c08f4b8ec07a51bed4f779592b04e371820e3bda89d,6,0x61c8ff00a9aba450e83f77309df7a47de0622c794ea5300b6fab3718f65db1ab,0x88d97d199b9ed37c29d846d00d443de980832a22,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0xe6fba855266316ac3a408da31f4a894876c866b6,9.123473150374521e+18,UMA Voting Token v1,UMA,18,114,177085,478000000000,135246,9895653,deprecated,4407771
5,10776044,2020-09-01 15:19:23,0xdd532e64ca1387a5ba86bb66541fea31bc4ddb6729c16bde9091bd4476a62b52,7,0xdd83719d2ffa7702fda348944198feefa0e744c0f8768ca4f4a2144acbf1726e,0xe6fba855266316ac3a408da31f4a894876c866b6,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0x88d97d199b9ed37c29d846d00d443de980832a22,9.10655516407067e+18,UMA Voting Token v1,UMA,18,110,204659,477000001459,148262,12117994,deprecated,4407736
6,10776044,2020-09-01 15:19:23,0xdd532e64ca1387a5ba86bb66541fea31bc4ddb6729c16bde9091bd4476a62b52,7,0xdd83719d2ffa7702fda348944198feefa0e744c0f8768ca4f4a2144acbf1726e,0x0000000000000000000000000000000000000000,0x88d97d199b9ed37c29d846d00d443de980832a22,0xe6fba855266316ac3a408da31f4a894876c866b6,2.0187487663418975e+18,Uniswap V2,UNI-V2,18,110,204659,477000001459,148262,12117994,deprecated,4407736
7,10776058,2020-09-01 15:21:16,0x2d55030fd76c587b84c3b17346d938f0654a559f1861eefeeefe295f2644d55f,9,0x81d5070f32bdffc2e626d650852e680e0fc2d41dc2e25f382b911472f36a6bb1,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xe6fba855266316ac3a408da31f4a894876c866b6,4.349406731120659e+18,SushiToken,SUSHI,18,109,219145,477000000000,81773,7631848,deprecated,4407722
8,10776058,2020-09-01 15:21:16,0x2d55030fd76c587b84c3b17346d938f0654a559f1861eefeeefe295f2644d55f,9,0x81d5070f32bdffc2e626d650852e680e0fc2d41dc2e25f382b911472f36a6bb1,0xe6fba855266316ac3a408da31f4a894876c866b6,0x88d97d199b9ed37c29d846d00d443de980832a22,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,2.0187487663418975e+18,Uniswap V2,UNI-V2,18,109,219145,477000000000,81773,7631848,deprecated,4407722
9,10776532,2020-09-01 16:59:45,0x232775fa7bd5931ba812ddc3aee92d7f0ea9ce7258b044ebe58a9c1022dce04b,10,0x353c0e9330a2160b63d3dabfa48dbfaa0f6e4c8f374344f50489e0ce4d75f1c2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xe6fba855266316ac3a408da31f4a894876c866b6,9.641224737715313e+19,SushiToken,SUSHI,18,159,134803,477000000000,97409,11926939,deprecated,4407248
