,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10774334,2020-09-01 08:58:32,0x4e491ba37830567fdc4e03e24ab713970fab43411c5c0476b174a8b41ae506e6,0,0x2a5adaf4f6e50396b80a46f04ffa64914f1157828b542708315679134103ffcf,0x33906431e44553411b8668543ffc20aaa24f75f9,0xc4c2614e694cf534d407ee49f8e44d125e4681c4,0xe75c51d69c6fc4e204fc3d3c872f4f48b53a36ea,2.9e+21,Chain Games,CHAIN,18,195,180534,458000000000,138838,8066552,deprecated,4409837
1,10864971,2020-09-15 06:25:25,0xa58138252ba991f21a59f20a92b6db1e27a37d7dc87cab55ca1757596cec889a,5187675,0x6fea9bd6b1cd32f7cd731a9c966921b9ea59e997bc4444c9f9ba0def5524ecb9,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xdac17f958d2ee523a2206206994597c13d831ec7,0xe75c51d69c6fc4e204fc3d3c872f4f48b53a36ea,6000000.0,Tether USD,USDT,6,62,207128,184000000000,56197,10909952,deprecated,4319200
2,10865010,2020-09-15 06:33:16,0x8341151e5c13eabf7390a590b9f351181ba76cd71053c7b6e80bb4c947f641b4,5187741,0xfd7874d9d31640b1fc04f881cbbb6ae5e3cf7e88f8c2685b955c57e4cdfce1a1,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xdac17f958d2ee523a2206206994597c13d831ec7,0xe75c51d69c6fc4e204fc3d3c872f4f48b53a36ea,396000000.0,Tether USD,USDT,6,130,207128,207000000000,41197,5631560,deprecated,4319161
3,10866513,2020-09-15 12:03:54,0xb5982395e2e4bce9fc10ab65fdc61c028127ea7f8afdf1988f9ec97bb67ef793,2,0xcad0ae8bdc468eeea07de4cdc15f6f2932d906499c2d8cd8ab146bd638d0f951,0xe75c51d69c6fc4e204fc3d3c872f4f48b53a36ea,0xdac17f958d2ee523a2206206994597c13d831ec7,0x01388f9242964e2aaadef6379eb92276acb5520e,402000000.0,Tether USD,USDT,6,36,129338,229000000000,96383,2587452,deprecated,4317658
4,10866513,2020-09-15 12:03:54,0xb5982395e2e4bce9fc10ab65fdc61c028127ea7f8afdf1988f9ec97bb67ef793,2,0xcad0ae8bdc468eeea07de4cdc15f6f2932d906499c2d8cd8ab146bd638d0f951,0x01388f9242964e2aaadef6379eb92276acb5520e,0xf8c3527cc04340b208c854e985240c02f7b7793f,0xe75c51d69c6fc4e204fc3d3c872f4f48b53a36ea,2.50253545905071e+20,Frontier Token,FRONT,18,36,129338,229000000000,96383,2587452,deprecated,4317658
5,10866552,2020-09-15 12:14:30,0x70a7aba8d264a52d9b42c230d5419cbd2254daf7debeb49b9eefb7adcb22a824,5,0xc101e43fba4892325440f1c49a3c4b54d71846013574fccb6a438f4d9b41baec,0xe75c51d69c6fc4e204fc3d3c872f4f48b53a36ea,0xf8c3527cc04340b208c854e985240c02f7b7793f,0x01388f9242964e2aaadef6379eb92276acb5520e,2.50253545905071e+20,Frontier Token,FRONT,18,149,280790,253000000000,230755,9656667,deprecated,4317619
6,10886593,2020-09-18 14:14:22,0x3aeae34f7b35857432e22da49eb75ad2ec81700baeb9a48166549e7e63d8c5a2,8,0x3eedc07cf8b8b4cd0a3ef5fb3e848b2ba16b2459d9c9e9bba8cfef2650b842e4,0xb38be7fd90669abcdfb314dbddf6143aa88d3110,0xc3771d47e2ab5a519e2917e61e23078d0c05ed7f,0xe75c51d69c6fc4e204fc3d3c872f4f48b53a36ea,2e+21,Gather,GTH,18,116,175730,264000000000,134471,8594430,deprecated,4297578
7,10889538,2020-09-19 00:58:13,0xa6967568dea19c2ba012cc3f3c3b397f6ea66f2e14af72386f6eb9e9d9ff5150,10,0xacc775919be51f8c667e11ca7ec7b8f825f4a06b8acd80d2bc0e865aa59145f3,0xe75c51d69c6fc4e204fc3d3c872f4f48b53a36ea,0xc3771d47e2ab5a519e2917e61e23078d0c05ed7f,0xb38be7fd90669abcdfb314dbddf6143aa88d3110,2e+21,Gather,GTH,18,126,156033,119000000000,113583,8679616,deprecated,4294633
8,10889603,2020-09-19 01:12:01,0x3e0099732f54844ed1b68de2d6e39b87635bf72af570bccfdda0835c843e673a,12,0x7bfcc789ae13254bd62a09be407dc5527e591351469adc4ae4bc26a2c2397391,0xe75c51d69c6fc4e204fc3d3c872f4f48b53a36ea,0xc4c2614e694cf534d407ee49f8e44d125e4681c4,0x33906431e44553411b8668543ffc20aaa24f75f9,2.9e+21,Chain Games,CHAIN,18,103,175391,119000000000,119165,7973816,deprecated,4294568
9,10909816,2020-09-22 03:14:58,0xa164ed33965fbfb7deb391f4eb4223160c3244bc02f8ed1bfff8e78a90e8223b,12528,0x9cdaeae9d84a7333c20dddc81ce62eae1f2a3288ab7796e4359db207006b8364,0xc6f4ed55921e0b73c5b3a916f005d80216cf17da,0x579353231f3540b218239774422962c64a3693e7,0xe75c51d69c6fc4e204fc3d3c872f4f48b53a36ea,1.11e+20,Bitcratic Revenue,BCTR,18,56,76944,97000000000,51296,5908431,deprecated,4274355
