,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10785840,2020-09-03 03:07:46,0x931876b384e2c0621d80a4446748ac2f4fa982556874f052c154eb915547a3a1,0,0x9bd8c73eb703819cec63c18037b8cae256c6e2a111e055d45ea2811258ceeed4,0x5dcf967a43f86d5515bf55f749ec98c4042d5d1d,0xd9a947789974bad9be77e45c2b327174a9c59d71,0xe7878f161f680d01f9c22cbded6237079d641491,9.408610439151891e+21,Ystar,YSR,18,42,171307,347000000000,130075,2250732,deprecated,4398161
1,10785901,2020-09-03 03:21:14,0x349474e578d5ea388cc37a27ee650489cf601cbb92aa7b773a832d611be7ccdd,2,0xc4bcf28c7fa7cde9af339347c2b1fde5b58e914d36e206be7624a6427b918f07,0xe7878f161f680d01f9c22cbded6237079d641491,0xd9a947789974bad9be77e45c2b327174a9c59d71,0x5dcf967a43f86d5515bf55f749ec98c4042d5d1d,9.408610439151891e+21,Ystar,YSR,18,33,197604,347000000000,138863,1661346,deprecated,4398100
2,10785901,2020-09-03 03:21:14,0x349474e578d5ea388cc37a27ee650489cf601cbb92aa7b773a832d611be7ccdd,2,0xc4bcf28c7fa7cde9af339347c2b1fde5b58e914d36e206be7624a6427b918f07,0x0000000000000000000000000000000000000000,0x5dcf967a43f86d5515bf55f749ec98c4042d5d1d,0xe7878f161f680d01f9c22cbded6237079d641491,9.198812653455971e+19,Uniswap V2,UNI-V2,18,33,197604,347000000000,138863,1661346,deprecated,4398100
3,10800244,2020-09-05 08:17:37,0xc6467283100d9cc966ce26dc9ecacbae9d0090db49a8778b81f0d0fb28edbc70,3,0x12e4d551cd3ca3d1ea2c6dea00389052f458d464991d683e0762e5a560f95e36,0x5dcf967a43f86d5515bf55f749ec98c4042d5d1d,0xd9a947789974bad9be77e45c2b327174a9c59d71,0xe7878f161f680d01f9c22cbded6237079d641491,1.8532567315122183e+22,Ystar,YSR,18,86,188437,240800000000,130075,3637394,deprecated,4383757
4,10802338,2020-09-05 15:53:28,0xed161bab4cf481f38349d2229b0185733db76b25be65822e6b25b917369731be,4,0x5da82e35250a6afc4095abc424f4a33e386a7234398f684f40b52caef4416ecd,0xe7878f161f680d01f9c22cbded6237079d641491,0xd9a947789974bad9be77e45c2b327174a9c59d71,0x5dcf967a43f86d5515bf55f749ec98c4042d5d1d,9.048758475919124e+21,Ystar,YSR,18,9,208311,252900000000,146661,892149,deprecated,4381663
5,10802338,2020-09-05 15:53:28,0xed161bab4cf481f38349d2229b0185733db76b25be65822e6b25b917369731be,4,0x5da82e35250a6afc4095abc424f4a33e386a7234398f684f40b52caef4416ecd,0x0000000000000000000000000000000000000000,0x5dcf967a43f86d5515bf55f749ec98c4042d5d1d,0xe7878f161f680d01f9c22cbded6237079d641491,9.471106824961235e+19,Uniswap V2,UNI-V2,18,9,208311,252900000000,146661,892149,deprecated,4381663
6,10835446,2020-09-10 17:47:16,0x801aaafdbd58088f933f8b702ac66d33256c1149013eb601cebcf1b3a4023071,8,0x7845b08a87ed8454b8f575d2177310598cf1ff5dc9fe6acec93a0ec7681be708,0xe7878f161f680d01f9c22cbded6237079d641491,0x5dcf967a43f86d5515bf55f749ec98c4042d5d1d,0x79b53f312a8238cd5193de45e3dfc19806c47565,1.86699194e+20,Uniswap V2,UNI-V2,18,150,134905,220000000000,109905,9348093,deprecated,4348555
7,10864114,2020-09-15 03:13:06,0x82074ea508336c8e10813913717d1c23f7531d9cc561196190d6ee58dc82de76,9,0xd4b645c730f546a069594ce15a8fe6362c62f44270a4a9c024709f6fd1eb3703,0x79b53f312a8238cd5193de45e3dfc19806c47565,0x96f9632b25f874769969ff91219fccb6cedf26d2,0xe7878f161f680d01f9c22cbded6237079d641491,3.7852142993471585e+18,YstarFarming,YF,18,44,129909,141000000000,100709,3657036,deprecated,4319887
8,10879218,2020-09-17 10:47:02,0x73750577aecf07da0ce05eff0657582ea33733989cbb2b92dc3d0d4addaad745,55,0x0ce453bd042d9eb9f6a28861111835ed159a44eba4d358483708fb1b472cd9dc,0xc866c88556898dd7ad29d5f1413bb9a2aeb79373,0xd9a947789974bad9be77e45c2b327174a9c59d71,0xe7878f161f680d01f9c22cbded6237079d641491,1e+22,Ystar,YSR,18,103,62889,710000000000,41926,3886189,deprecated,4304783
9,10882942,2020-09-18 00:21:50,0x006991dfa1782f95427eb89fc36af11d5d9766962d4cffbfd594af29a00f65cf,10,0x14dfb2c294e8c814635051a799a30b4151615d2cd58318b5dc3881c38d9f0288,0x79b53f312a8238cd5193de45e3dfc19806c47565,0x5dcf967a43f86d5515bf55f749ec98c4042d5d1d,0xe7878f161f680d01f9c22cbded6237079d641491,1.86699194e+20,Uniswap V2,UNI-V2,18,30,169309,278000001459,125109,3090375,deprecated,4301059
