,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10759341,2020-08-30 01:55:40,0xfdae3c26157527e55505038987e451c43a7eab8283c22406579641dfaa208593,0,0x56452ba4631d399e04408f0be849fbffda92e382cc1d50d0f491ae5a93627b01,0xd58b1b5d2148f744e9eb3a87f20bebf3ca5f8974,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xeafb5f409eadb8ee1bf9eaa25b4e825f7a432269,2.5149667931596653e+17,YFValue,YFV,18,164,244281,108777478645,168323,9879976,deprecated,4425292
1,10759404,2020-08-30 02:07:38,0x6db8da07c34750790fa8e528f68dbb29bd886b179b04a21c5a7eff58c84a523a,1,0xf038b3aa070a3aa9aabefde16e2b9a83296645058a8154110fbc51352973f8b4,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xeafb5f409eadb8ee1bf9eaa25b4e825f7a432269,6.646622445160976e+18,SushiToken,SUSHI,18,58,151552,144000000000,124413,10117641,deprecated,4425229
2,10759665,2020-08-30 03:09:51,0x3f780b7b26d910d4a6ce67c56ef99ef5e1b660104f61239bf903598c2e89dc35,4,0x8b7cffec1d79cdc08678da634835c988e830724a7786297ecc0601a04f73e548,0xd58b1b5d2148f744e9eb3a87f20bebf3ca5f8974,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xeafb5f409eadb8ee1bf9eaa25b4e825f7a432269,4.55948428887015e+19,YFValue,YFV,18,173,209341,145000001459,162710,11689502,deprecated,4424968
3,10759674,2020-08-30 03:12:44,0x6cff286e70814cbe6fe6a86dda56d1636734c10f212aab6731a82d6130a9329c,5,0x5739214cd012a5d47531314839b7f020eeba84c3ef3003942ab49496b6bf0998,0x6e07a1c50d4db0979a0a65bc8b13744a8a1501de,0xcee1d3c3a02267e37e6b373060f79d5d7b9e1669,0xeafb5f409eadb8ee1bf9eaa25b4e825f7a432269,2.731184611273718e+18,yffi.finance,YFFI,18,99,164772,154000000000,112210,6170227,deprecated,4424959
4,10777083,2020-09-01 18:57:42,0x1aed541040937a8cdbf24919599e3eccad051af5281798303c63b3f8fab51ae3,13,0x8e407252b655f27a40fed8413068768996fed1dffbb9641e6d4b8bd4ecd3bb87,0xe92346d9369fe03b735ed9bdeb6bdc2591b8227e,0xe54f9e6ab80ebc28515af8b8233c1aee6506a15e,0xeafb5f409eadb8ee1bf9eaa25b4e825f7a432269,1.414454715656572e+21,Spaghetti,PASTA,18,112,176667,479000000000,134871,10541826,deprecated,4407550
5,10777186,2020-09-01 19:24:24,0x894ceacaa8b84529053945fce2f108d3e038dc2c1abbfae864a9b450651d055c,14,0xf8c2a5cb66261be9d14bb315991d3950845c1298ca6b8b5d6d19aca81b768024,0xeafb5f409eadb8ee1bf9eaa25b4e825f7a432269,0xcee1d3c3a02267e37e6b373060f79d5d7b9e1669,0x6e07a1c50d4db0979a0a65bc8b13744a8a1501de,2.731184611273718e+18,yffi.finance,YFFI,18,179,154996,480000000000,112640,10838514,deprecated,4407447
6,10777225,2020-09-01 19:34:39,0xf803c24fd705c1597d3074fb6b2010908d04c33689f954d7f2f5c330a89cb783,15,0x8fbf45d5e8b384e077d5c864d591c8257c08e594f2699a7ff0bb507a0eb635f0,0xe92346d9369fe03b735ed9bdeb6bdc2591b8227e,0xe54f9e6ab80ebc28515af8b8233c1aee6506a15e,0xeafb5f409eadb8ee1bf9eaa25b4e825f7a432269,3.508677933569567e+21,Spaghetti,PASTA,18,140,159905,479000000000,107855,11443061,deprecated,4407408
7,10778199,2020-09-01 23:00:08,0x35104dbab983f3d317194dfb4b5d1e70a93739c6d1180d6aabada90b2226c57b,16,0x987f50032c8e7cbe52e5cdda70dcb96695a4c502be08431c321f17441f69944a,0xeafb5f409eadb8ee1bf9eaa25b4e825f7a432269,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0x63df4d996029077fb689011b817cdd29a2b06c87,6.646622445160976e+18,SushiToken,SUSHI,18,164,76771,401000000000,36181,9551870,deprecated,4406434
8,10781595,2020-09-02 11:46:25,0xc579dfce26223c2798243561b0aa2cbe7b96567602a8b2dbdea0f714588ca16d,19,0xd9dd84a976e1eb8bd00008c061d8086035a9c46e3466cef1e1fd96bc1231e690,0xeafb5f409eadb8ee1bf9eaa25b4e825f7a432269,0xe54f9e6ab80ebc28515af8b8233c1aee6506a15e,0xe92346d9369fe03b735ed9bdeb6bdc2591b8227e,4.824669996241616e+21,Spaghetti,PASTA,18,142,176030,455400000000,119440,7797378,deprecated,4403038
9,10781672,2020-09-02 12:03:55,0x06c54d53077700b5d92770d6caedb8b1923afa555a7bb08d8f65bc2098ccb046,22,0x141d8e2c2ae95416961f808db09e1dab581745b4af1fbe3d8a56f4cebee33f03,0xeafb5f409eadb8ee1bf9eaa25b4e825f7a432269,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xcb4f983e705caeb7217c5c3785001cb138115f0b,4.584633956801747e+19,YFValue,YFV,18,163,168150,482771160383,112582,7615058,deprecated,4402961
