,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10782454,2020-09-02 14:46:32,0x67e320a471277caff5219ffca42265b7c75edb073159ff3fcebf8fc780ce4508,0,0x4ad1adf2728c9c55437b8e9f73a92ed6fb03cd05a439c5ac52c3d9bcb0ed0c64,0x63fb9c6869d4d4f7728c1e799e42b27859b3e768,0xef327568556310d344c49fb7ce6cbfe7b2bb83e6,0xec1ecef40552f427e04df0805ed331a7ffa2736c,1.531851952778614e+17,YFA finance,YFA,18,186,167433,482000000377,126607,11974463,deprecated,4401730
1,10783032,2020-09-02 16:53:15,0x625b553bb2caff5083272d05bb80410638462cdcfbfee05ac85137791cf7a6dc,2,0x9e5f813e627a335007bb8f7c219c259ca399208c477a7d88e935df9efc3c4649,0x63fb9c6869d4d4f7728c1e799e42b27859b3e768,0xef327568556310d344c49fb7ce6cbfe7b2bb83e6,0xec1ecef40552f427e04df0805ed331a7ffa2736c,1.8101322472930902e+17,YFA finance,YFA,18,4,150671,476300000233,111607,408083,deprecated,4401152
2,10783058,2020-09-02 16:58:34,0xfa26917087d6a2e1e1d85d7b1610e56dd2f2e6a61e03208478e95d2c1df7270a,3,0x486a494b39fb7a1fecfaf399be54601cd801a0f01f42808be924c5108e252035,0x63fb9c6869d4d4f7728c1e799e42b27859b3e768,0xef327568556310d344c49fb7ce6cbfe7b2bb83e6,0xec1ecef40552f427e04df0805ed331a7ffa2736c,2.074631090345088e+17,YFA finance,YFA,18,111,150671,476300000233,111607,8604410,deprecated,4401126
3,10783122,2020-09-02 17:11:08,0x199e7d6fbfc1467ec44089ba0698410b0630546553ffc9bf610196eea939b56b,65,0x3ba2f69817c62d224b7e71dad1528ed5fd34aff293c681ae8a77dee0f62a63ad,0xb99dda4d373450f38ee968c56884f485bd37fb0e,0x85ca6bf48fbfdc4bd9deea4e4fe8259a65dac9d8,0xec1ecef40552f427e04df0805ed331a7ffa2736c,1.811042500487988e+18,YFA-finance,YFA,18,241,78459,433000000000,37306,11854858,deprecated,4401062
4,10783468,2020-09-02 18:26:06,0xafefcc26cbdaaff00f23e124f06b1d2ff1f59dbc9a727e82a5aa8151bb6b06f1,4,0xe6d6b5ce801e53a626cfa9919522689e7ab164eb94d16c4ce88a2b0f646baaed,0x63fb9c6869d4d4f7728c1e799e42b27859b3e768,0xef327568556310d344c49fb7ce6cbfe7b2bb83e6,0xec1ecef40552f427e04df0805ed331a7ffa2736c,4.4814646585274355e+17,YFA finance,YFA,18,135,150671,476300000233,111607,9966096,deprecated,4400716
5,10783489,2020-09-02 18:31:59,0xb2ad3e179b0ced12a767dba49097d9c9b95607e8ccc8725b10be2f6e5cf9c1fb,5,0x000feedaa3dba64734be5aa7aeb7bb928709443e8a6e9b545c15191a282a7bba,0x63fb9c6869d4d4f7728c1e799e42b27859b3e768,0xef327568556310d344c49fb7ce6cbfe7b2bb83e6,0xec1ecef40552f427e04df0805ed331a7ffa2736c,7.632377689596351e+17,YFA finance,YFA,18,86,150671,476300000233,111607,6894822,deprecated,4400695
6,10783509,2020-09-02 18:37:54,0xaf86439f70234315c13a5ac5621951ac9a24a64c582f1abec21f043d45a679ff,6,0x59840f736b9e64e37142c49f0dac1e937f574f631a5bb0339f3fc9f48d5e8388,0x63fb9c6869d4d4f7728c1e799e42b27859b3e768,0xef327568556310d344c49fb7ce6cbfe7b2bb83e6,0xec1ecef40552f427e04df0805ed331a7ffa2736c,9.37116905163445e+17,YFA finance,YFA,18,35,150658,476300000233,111595,2565202,deprecated,4400675
7,10783520,2020-09-02 18:39:49,0xda91bc81ae2d2326256c576db02e272ca9f8d2deb9eb0ab04b6ed5abec4979e7,7,0x1334118ff560e1ab466316133ab98757946262901ce35a8ebb40c0cdf6f3fc1e,0x63fb9c6869d4d4f7728c1e799e42b27859b3e768,0xef327568556310d344c49fb7ce6cbfe7b2bb83e6,0xec1ecef40552f427e04df0805ed331a7ffa2736c,8.389631376490985e+17,YFA finance,YFA,18,105,150671,476300000233,111607,9041935,deprecated,4400664
8,10783586,2020-09-02 18:57:32,0x5d288efa53b6a063e430ccda3d7d79a08e003056693e466f4fcae99ecca84dcc,9,0x88d097653c80196e782ecdeb8cddb08a486358163a5ecb2f0ae2b068ae6c7cab,0x63fb9c6869d4d4f7728c1e799e42b27859b3e768,0xef327568556310d344c49fb7ce6cbfe7b2bb83e6,0xec1ecef40552f427e04df0805ed331a7ffa2736c,5.448759821657936e+17,YFA finance,YFA,18,40,150671,476300000233,111607,5334204,deprecated,4400598
9,10783669,2020-09-02 19:15:49,0xa4ac45b898bb01fc2a28ca0f8176f662af34f5d0b2ac5724b546435a5d8957cd,11,0xcb70406010bc334a67ac37e3de1878a626ea778b13e58001dd895cd49bf7b211,0x63fb9c6869d4d4f7728c1e799e42b27859b3e768,0xef327568556310d344c49fb7ce6cbfe7b2bb83e6,0xec1ecef40552f427e04df0805ed331a7ffa2736c,7.717211267704643e+17,YFA finance,YFA,18,55,150671,476300000233,111607,2535094,deprecated,4400515
