,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10716505,2020-08-23 12:13:51,0xd8c12ff700cd395b60b78be82abeaf39d761d2d485da844f3e3f5ff9b89f0760,2614690,0x4052368534c035ba7b019d989fb9f53076d129fd1a487c94b46c8d1d2bff79df,0x564286362092d8e7936f0549571a803b203aaced,0xdac17f958d2ee523a2206206994597c13d831ec7,0xee9312a8409276837b0f92495c8f47ac4254b4e1,43530394.0,Tether USD,USDT,6,7,207128,98000000000,56209,467890,deprecated,4467412
1,10719656,2020-08-23 23:41:33,0x43bcb93b02d0279faf51f96a9f24579f7026798bde9327b1639f2812e8993277,5,0xb6a579eb0fb6e40eb892d7c2a86c77c724d1b19c4522d08c7addc6d8a40358e6,0xee9312a8409276837b0f92495c8f47ac4254b4e1,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6842bfd15fbc2615d1e0bb7a974c2a06da42664e,43530394.0,Tether USD,USDT,6,62,84313,55000000000,41209,3354029,deprecated,4464261
2,10724728,2020-08-24 18:32:48,0xa0408b804148bc2c74bae36c33365291111b77feb499a31f6dda5e6bf036fb8d,6,0x207889e1eb45210e5b7fc19dc50cb0e3c75d6a36c7c3c81b9ade49e12a5b4acd,0x6317c5e82a06e1d8bf200d21f4510ac2c038ac81,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xee9312a8409276837b0f92495c8f47ac4254b4e1,1.5599336843225168e+19,YFValue,YFV,18,170,206457,139000000000,158320,12379167,deprecated,4459189
3,10726201,2020-08-24 23:45:12,0xee8c614bf3a0a7fcf295d8b337883291e735d0a8a7af0d4cd045098c0dcf5844,2624857,0x2b189a50f51fde89ef8812294aee6911ff2fb3ca1dd5bd913a521e5f313a5dd3,0x564286362092d8e7936f0549571a803b203aaced,0xdac17f958d2ee523a2206206994597c13d831ec7,0xee9312a8409276837b0f92495c8f47ac4254b4e1,781643128.0,Tether USD,USDT,6,128,207128,77000000000,56209,6176148,deprecated,4457716
4,10726207,2020-08-24 23:47:10,0xb8a0e792fb9a9bfa2ae17116eeb578afd09d8b0bc5d679a9dc036ef4526816dc,7,0xbfbab54ee0ff767e17bd047bae98b1b82ed43b87da393ebd84b906e7a9797adc,0xee9312a8409276837b0f92495c8f47ac4254b4e1,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6842bfd15fbc2615d1e0bb7a974c2a06da42664e,0.0,Tether USD,USDT,6,106,49042,64000000000,32695,8934239,deprecated,4457710
5,10726216,2020-08-24 23:49:56,0x857fa4d6083a18d764889673bef760e611ce2f341a7c603ada17ed447962d3da,8,0x077a7c53d329c0c92eb8b8bd015410e843bfde7996ab2536f9c0ecde49f314a8,0xee9312a8409276837b0f92495c8f47ac4254b4e1,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6842bfd15fbc2615d1e0bb7a974c2a06da42664e,781643128.0,Tether USD,USDT,6,23,61813,64000000000,26209,2526624,deprecated,4457701
6,10732537,2020-08-25 23:24:51,0x8070cf81f3eb9232ef8891036333edc11585f64f97873bfe8a8a7285302880f1,4982978,0xd01d2b7d7345c3d379263fc8c10fcde1ac3af2d5f8a52cda759329b088ce89b7,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xdac17f958d2ee523a2206206994597c13d831ec7,0xee9312a8409276837b0f92495c8f47ac4254b4e1,1587514225.0,Tether USD,USDT,6,128,207128,72000000000,56209,10844189,deprecated,4451380
7,10732550,2020-08-25 23:28:01,0xb1d33da7ae3d7670f6fa96108d753a0fdaf56d314c7fbb5c8aab6103d5f77cd0,9,0xa48fe6388d24c0ff61ccb94996701944ca2004593d650ac38448cfdfb117731f,0xee9312a8409276837b0f92495c8f47ac4254b4e1,0xdac17f958d2ee523a2206206994597c13d831ec7,0x6842bfd15fbc2615d1e0bb7a974c2a06da42664e,1587514225.0,Tether USD,USDT,6,41,61813,60000000000,26209,1485279,deprecated,4451367
8,10776557,2020-09-01 17:08:30,0xe0edff3d5c6df327105acfbd0ccc401991569d307a1c090aee4eeb61281a5874,10,0xf649d0df595528e35b65583b8a55d75c215e31add0372f13c82a0dafa5063e2a,0xe20d1742b1e01a2beb257c3826eb4ce96e1752e7,0x0501e7a02c285b9b520fdbf1badc74ae931ad75d,0xee9312a8409276837b0f92495c8f47ac4254b4e1,1.1521797715248615e+20,Walnut.Finance,WTF,18,129,177347,485000000000,123465,9782058,deprecated,4407360
9,10781056,2020-09-02 09:39:48,0x8d15e30a444beaa4e7f57b0df89da439f34d5ff424ce5a300607503c8ac84058,11,0xed020a65bf552f78f16944b627709135640ff959b50b249aed6cba84fc1f8bcc,0x7d829fcc84f9dca5a3e6d9fb73545bacf350146a,0xc75f15ada581219c95485c578e124df3985e4ce0,0xee9312a8409276837b0f92495c8f47ac4254b4e1,3.4585562211223096e+18,zzz.finance,ZZZ,18,11,166927,275000000000,126154,2087262,deprecated,4402861
