,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10759923,2020-08-30 04:01:02,0x658a4711f6579ea91169836acf5a92a6ecd62534fb2a8517470926cd50e5e270,0,0x087beea00dd2fe4875aaf2d3eac4416c45e63eeff69ee6b8e9d3ce05aedc552a,0xddf9b7a31b32ebaf5c064c80900046c9e5b7c65f,0x2ba592f78db6436527729929aaf6c908497cb200,0xef37031d6ae15d039fe6144c6ddc3dab2833576e,2.8e+18,Cream,CREAM,18,80,178682,240000000000,137155,6180101,deprecated,4424334
1,10899339,2020-09-20 12:55:48,0xb042feee4388b19897022b33c3fd55a74c834ba9c6f9c3f0882bddb590232eee,19,0xc38541647447b6b773e2673b6460859cb8759ed9ed5514ec00c8841565b4034c,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xef37031d6ae15d039fe6144c6ddc3dab2833576e,4e+20,Uniswap,UNI,18,193,90069,136000000000,81881,11682262,deprecated,4284918
2,10899385,2020-09-20 13:05:23,0xb61c261ac933d293e040de052723c8a420997ef63c5399e98e3a116eaf2f224c,20,0x1ce84cfada2d2239d465acc777f91d52b91eff9e3a0558a943ea1721723f3940,0xef37031d6ae15d039fe6144c6ddc3dab2833576e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x389d6c8db2d0197c7b476c6f86618a5d2b96eb21,2.2e+20,Uniswap,UNI,18,119,83259,150000000000,55506,7778143,deprecated,4284872
3,10899422,2020-09-20 13:13:15,0xece1609109a0156e37ab212628e4c4973390ff6b3058934debb2cb295e34bf8e,22,0x04e8302ef48e797b7c53980ce1e1517f8b5dbeb754380e6906e01a8ffa515cad,0xef37031d6ae15d039fe6144c6ddc3dab2833576e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd3d2e2692501a5c9ca623199d38826e513033a17,1.8e+20,Uniswap,UNI,18,146,271399,138000000000,217056,11848328,deprecated,4284835
4,10899422,2020-09-20 13:13:15,0xece1609109a0156e37ab212628e4c4973390ff6b3058934debb2cb295e34bf8e,22,0x04e8302ef48e797b7c53980ce1e1517f8b5dbeb754380e6906e01a8ffa515cad,0x514906fc121c7878424a5c928cad1852cc545892,0xa0246c9032bc3a600820415ae600c6388619a14d,0xef37031d6ae15d039fe6144c6ddc3dab2833576e,1.024255763528723e+19,FARM Reward Token,FARM,18,146,271399,138000000000,217056,11848328,deprecated,4284835
5,11027912,2020-10-10 13:22:00,0x69e93aad440d17639911bef8f22b0f9aa2d6bc28d0cd6126aed5e724ef75b7c4,24,0xb82e10fb4bd3f2a52c39389d95ba7b1265a06cc1ab634b2f47ac1c46ee97ee8b,0xef37031d6ae15d039fe6144c6ddc3dab2833576e,0xa0246c9032bc3a600820415ae600c6388619a14d,0x514906fc121c7878424a5c928cad1852cc545892,1.024255763528723e+19,FARM Reward Token,FARM,18,93,239159,60000000000,185022,6028804,deprecated,4156345
6,11027929,2020-10-10 13:25:46,0x6c673ad9a25054f44eaadf505dfb2cd250afc5d98ef493a4a0ddeaefc1fd8fd4,25,0x15f6b8f0f6942266ef4403e8f7047e53208e7a77644e6ed5d9c242e91a2d3c69,0xfc74ecdee4e9fff2f2ef4cdf4f1c777b2ef0e905,0x0763fdccf1ae541a5961815c0872a8c5bc6de4d7,0xef37031d6ae15d039fe6144c6ddc3dab2833576e,5.055100151572582e+21,SUKU,SUKU,18,33,167191,60000000000,126392,1950233,deprecated,4156328
7,11027940,2020-10-10 13:29:35,0x9b302e08ff6fab3785c124289123c4ae10fc862e021b15674cd470129d88d84f,26,0xfafbd904249e1755c65b7dac3fc0b589793d38422a33a663bb0c48a7c53c7c33,0xef37031d6ae15d039fe6144c6ddc3dab2833576e,0x2ba592f78db6436527729929aaf6c908497cb200,0xddf9b7a31b32ebaf5c064c80900046c9e5b7c65f,2.8e+18,Cream,CREAM,18,68,165679,66000000000,110336,3971613,deprecated,4156317
8,11031496,2020-10-11 02:25:30,0x51f3233f38bfa6045742a2b4835a669f48b21483aa596d4ecaf797dcffb51c9b,29,0xe4beea7d5263fdc49d3b70051b38b2db143c964a186342ea6c903161c2b3846e,0xef37031d6ae15d039fe6144c6ddc3dab2833576e,0x0763fdccf1ae541a5961815c0872a8c5bc6de4d7,0xfc74ecdee4e9fff2f2ef4cdf4f1c777b2ef0e905,5.055100151572582e+21,SUKU,SUKU,18,47,170880,38000000000,115064,3249431,deprecated,4152761
9,11031510,2020-10-11 02:27:21,0x9133b6a77bc03753415ef931e8f097fca68d64c3befe31e6f3fa2a437e5672f3,30,0x64c4962fa2d011caff3159be794c59987b020132c05eef97a5b5846ed4fe18cc,0xe3d5291a2e4c1766ecf060f354d2ce38add96914,0x81313f7c5c9c824236c9e4cba3ac4b049986e756,0xef37031d6ae15d039fe6144c6ddc3dab2833576e,3.814297606665187e+19,HippoFinance,HIPPO,18,112,164837,38000000000,112269,5274975,deprecated,4152747
10,11059883,2020-10-15 10:43:17,0x5240b7b9832df6c1c505c634e836ffc47f7cbb63399d30c054211f8369421f93,31,0x8511b3305a612b0e918cddfb8a8ca796e212f6982dd6708e398e501495e691b6,0xe3d5291a2e4c1766ecf060f354d2ce38add96914,0x81313f7c5c9c824236c9e4cba3ac4b049986e756,0xef37031d6ae15d039fe6144c6ddc3dab2833576e,1.1302381140439667e+19,HippoFinance,HIPPO,18,33,148062,80000000000,109273,1255864,deprecated,4124374
11,11061404,2020-10-15 16:15:23,0xb040d288610db572319cf037a8d7678fe2842cc07d1667d9bc1fc0f90ab5e319,33,0x06b961ed3aef24c703303c71a572a9fc48f81b8e4c2769f97314bbbd7ec8807c,0xef37031d6ae15d039fe6144c6ddc3dab2833576e,0x81313f7c5c9c824236c9e4cba3ac4b049986e756,0xe3d5291a2e4c1766ecf060f354d2ce38add96914,4.944535720709154e+19,HippoFinance,HIPPO,18,44,168026,80000000000,112469,1864502,deprecated,4122853
12,11061415,2020-10-15 16:17:26,0xe8ed6ae16a0c3dfc49e4babc676bd842688fc0913dc92ac2d57c1d06ecf74958,34,0x7d88fbc303952a14058e98b6a119f1a4c74a0d55564120d00e3bd37ba1576a82,0x93d2707e73b4f096c274929bb2e4f631c7e61502,0x5580ab97f226c324c671746a1787524aef42e415,0xef37031d6ae15d039fe6144c6ddc3dab2833576e,6.804748924051801e+18,JUL,JUL,18,134,165056,80000000000,124481,5570843,deprecated,4122842
13,11085309,2020-10-19 08:15:23,0xc65747974cee094cf18dc1306a970afcc19b34374717d17159d6ca9e6f7cdbb6,35,0xfcc1707774ec3c372b1a0ee828e804af132825f5feda73db80a88d0d6818ffd8,0xffbe70f5224ec77421edb59cb095248b40d5346b,0xcd254568ebf88f088e40f456db9e17731243cb25,0xef37031d6ae15d039fe6144c6ddc3dab2833576e,4.777418728763167e+19,YFOS.finance,YFOS,18,35,164791,42000000000,124243,2314993,deprecated,4098948
14,11089584,2020-10-19 23:51:26,0x7fe032ec50e71d9c59f6519310fb88163af38e8dd3eb6f0a548dd8cc3720bd51,37,0x7017034cf5e551a94e0f04cdd167a33798b9d6143c5d0bf1a916dd4d1cc7f002,0xef37031d6ae15d039fe6144c6ddc3dab2833576e,0xcd254568ebf88f088e40f456db9e17731243cb25,0xffbe70f5224ec77421edb59cb095248b40d5346b,4.777418728763167e+19,YFOS.finance,YFOS,18,199,168139,24100000000,112572,11201263,deprecated,4094673
15,11089596,2020-10-19 23:54:42,0x389163639c6fb83ef5475d1382fed8bb6d517abe116072bf146703fad6556aac,39,0x4bb58526aab0b15802ca99b4e2aed9035a6de6c75d733406fdb15f44a8904fa5,0xef37031d6ae15d039fe6144c6ddc3dab2833576e,0x5580ab97f226c324c671746a1787524aef42e415,0x93d2707e73b4f096c274929bb2e4f631c7e61502,6.804748924051801e+18,JUL,JUL,18,114,168353,27000000000,112767,7310444,deprecated,4094661
16,11106185,2020-10-22 13:10:00,0xc90169c043aa2b497bac32ec6027e06c1cbb383b85b9b084808a30f1a653b4c7,41,0xd1e2fecad56c025d5c1deeb112bf34db4648cc28917cba8dd39f16f911c43252,0x128ab6c2d883eed81a900510d0f885933a9352df,0x706cb9e741cbfee00ad5b3f5acc8bd44d1644a74,0xef37031d6ae15d039fe6144c6ddc3dab2833576e,12995428.0,YFOX.FINANCE,YFOX,6,236,164909,80000000000,124349,11443722,deprecated,4078072
