,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10776707,2020-09-01 17:39:03,0x354914734edd4f9423480383ed3a4bfb60d476b213bf657e07fbcd99dc37d487,4,0x90fb63464873ca954f1de8398267d778a94af3ae7c3c9429729000e3652c5f37,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xefc75889029478d1bcad4a69e057808f6178ada2,2.2973740116029567e+19,SushiToken,SUSHI,18,176,151565,476000000000,112409,11478084,deprecated,4406998
1,10854333,2020-09-13 15:01:10,0x4d04861f4cb21dded8ba0fed85754cb0d801885ac7e27fe86da78a79dfd1661b,5,0xd57835ced2d608758eb12ee9b733d97bb05940b48efd91855a006195d5076b55,0x3b3d4eefdc603b232907a7f3d0ed1eea5c62b5f7,0x0ae055097c6d159879521c384f1d2123d1f195e6,0xefc75889029478d1bcad4a69e057808f6178ada2,1e+19,STAKE,STAKE,18,194,163897,120000000000,135730,7091878,deprecated,4329372
2,11706666,2021-01-22 17:32:48,0xcfcdd83f197fef61e56cdf4487df4dad74ce738ff934edd78ff17e920e8d4511,6,0x13da3ac852085c6e68d2f5cf7e4c05781ecee64519da104e16e97893310f4a32,0xffa98a091331df4600f87c9164cd27e8a5cd2405,0x83e6f1e41cdd28eaceb20cb649155049fac3d5aa,0xefc75889029478d1bcad4a69e057808f6178ada2,2e+20,PolkastarterToken,POLS,18,49,162331,96000000000,134306,5152912,deprecated,3477039
3,11873904,2021-02-17 10:48:13,0x455e7f05b278c10666f3af6692dfd07fea048264e04978523b3c808e91d39276,7,0x635c187cf3b7173a6342a1a87260d074f6177db7308be9ef102d999daedfcd7f,0x33906431e44553411b8668543ffc20aaa24f75f9,0xc4c2614e694cf534d407ee49f8e44d125e4681c4,0xefc75889029478d1bcad4a69e057808f6178ada2,4e+21,Chain Games,CHAIN,18,175,182523,100000000000,140646,11852175,deprecated,3309801
4,11874066,2021-02-17 11:21:39,0x656bc917c1ba16f464267b38e70144d2c7d5dbfb1ca2dbb7fbe92916e4f0feaa,9,0x3a890e689ec90cff34f936140f6cb67d3636a4721c8e11f969090d2d3f446736,0xefc75889029478d1bcad4a69e057808f6178ada2,0xc4c2614e694cf534d407ee49f8e44d125e4681c4,0x9b7fcaebe9a69eceeab72142ed35a238775d179a,4e+21,Chain Games,CHAIN,18,67,167494,86700000000,129609,4810970,deprecated,3309639
5,11880409,2021-02-18 10:55:17,0x4a1150236ff7c118a63493e144ff997e33245013c0feadf7959ba51c98e1a9cd,10,0x9169a18d438a83eff06a821713fa1a4d8816f5d39c83c6c7fa0b2589ad2eda30,0xe495fdfabc7c51c0851e76543c0f552205414894,0x947aeb02304391f8fbe5b25d7d98d649b57b1788,0xefc75889029478d1bcad4a69e057808f6178ada2,5e+21,MANDALA EXCHANGE TOKEN,MDX,18,42,174376,136000000000,133240,2165093,deprecated,3303296
6,12277136,2021-04-20 12:58:49,0x25a627b7d5ad5533155d649e48ae3bf2cc44ecfd2bb2aaf6872d3aedd80518ee,13,0x0a98f718c91c0416c9d85c55143c4015eb570aa4087397e4fd9d3c546a82dda8,0xcbc1ce4a9f18c6e8a0a328708ba6ab484f84bb47,0x56a980328aee33aabb540a02e002c8323326bf36,0xefc75889029478d1bcad4a69e057808f6178ada2,4.503076576458708e+17,POODLE,POODL,9,155,208357,274000000000,152813,8937948,deprecated,2906569
7,12282352,2021-04-21 07:55:04,0x7c0a98d6f3fdfe934d5950ee22d687ffbab3940960ad6d17c0b23ae34743c6f4,923577,0x85836760d6f25cac6a082d3124af626a1ed6bcd7ba5e827d8bd28f8641d39eb0,0x708396f17127c42383e3b9014072679b2f60b82f,0xdac17f958d2ee523a2206206994597c13d831ec7,0xefc75889029478d1bcad4a69e057808f6178ada2,1000000000.0,Tether USD,USDT,6,12,207128,200000000000,63197,953679,deprecated,2901353
8,12285385,2021-04-21 19:18:46,0x59755e0cf20008de1ce2eefee94e522650375f3844f0a73183204bf4b072b347,14,0xca12bca9f250cb9fb01adb19452e64a2aa038d7ae953565ea01b880b77aae320,0xefc75889029478d1bcad4a69e057808f6178ada2,0xdac17f958d2ee523a2206206994597c13d831ec7,0x80e3677da3347596bd70e83e913fcc892b38bc50,0.0,Tether USD,USDT,6,30,61056,166000000000,40395,1891837,deprecated,2898320
9,12285500,2021-04-21 19:43:42,0x5ae0a235f736a4fc30991747668f8c522b0cb27921fcf4aea595a10f15f1ecb6,16,0xaf590a9686c87d185e86bb755ecaebd04a4ac8ce92ac401473b6614ab9df4688,0xefc75889029478d1bcad4a69e057808f6178ada2,0xdac17f958d2ee523a2206206994597c13d831ec7,0x80e3677da3347596bd70e83e913fcc892b38bc50,1000000000.0,Tether USD,USDT,6,267,94795,137000000000,48197,13732890,deprecated,2898205
