,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10780273,2020-09-02 06:47:51,0x4d8eafbd2234b146fcd25ec821ed311988dcc53bd396ae31bb584944ed9181fd,1,0x9758eb1723b621b6e83eac623e98e83d398fef5f6d74b06d08afc86487193211,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xf0b131a9eaa9e2c8f1d26d200d47bc1eda50fb66,3.6814040099454616e+19,SushiToken,SUSHI,18,130,151565,440000000000,112409,10883710,deprecated,4403832
1,10780453,2020-09-02 07:25:33,0x7c9ea27eb860842d3a76ba8ecef2fbbc9aef3245107f27536a7c369e42c8c35a,4,0x3ca7cbc61a1c55622a5dc654295f2bcc9761c6622fe78f7282270cae52d2066c,0xf0b131a9eaa9e2c8f1d26d200d47bc1eda50fb66,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,3.6814040099454616e+19,SushiToken,SUSHI,18,123,187464,480000000000,129924,7005731,deprecated,4403652
2,10780453,2020-09-02 07:25:33,0x7c9ea27eb860842d3a76ba8ecef2fbbc9aef3245107f27536a7c369e42c8c35a,4,0x3ca7cbc61a1c55622a5dc654295f2bcc9761c6622fe78f7282270cae52d2066c,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xf0b131a9eaa9e2c8f1d26d200d47bc1eda50fb66,4.5524303293324815e+18,Uniswap V2,UNI-V2,18,123,187464,480000000000,129924,7005731,deprecated,4403652
3,10780515,2020-09-02 07:40:17,0xda640d3b654e6887b30cf9c5b3a8eccec6e5eae39ef1eb5e45cbffcab6e5f329,6,0x5a5229cabb1e6aa4b346099556ed1151699038559222288268eca6beaa690b3a,0xf0b131a9eaa9e2c8f1d26d200d47bc1eda50fb66,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,4.5524303293324815e+18,Uniswap V2,UNI-V2,18,203,132117,471000000000,73078,12196602,deprecated,4403590
4,10780715,2020-09-02 08:22:40,0xc3c19805b0b9b9eb766f97d48eb57567d74596fa2aa8d3c6fb26cc84ade95bf1,2009609,0x968555981577f8b9fe312925d27a080c3de0b774d7abbbc8d003aae7971c4a8f,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xf0b131a9eaa9e2c8f1d26d200d47bc1eda50fb66,2.27144e+19,SushiToken,SUSHI,18,276,300000,515550000000,51169,10290925,deprecated,4403390
5,10780741,2020-09-02 08:28:30,0x4bf647bb763bf7b948d8e35d4f3276a87564cb968b18929dbaf4082e050a90f3,8,0x96205feaac0123856a1de77f92a157e6dadf21a4b325ff692ebb102f166abb8a,0xf0b131a9eaa9e2c8f1d26d200d47bc1eda50fb66,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,2.27144e+19,SushiToken,SUSHI,18,26,192358,471000000000,141904,1912397,deprecated,4403364
6,10780741,2020-09-02 08:28:30,0x4bf647bb763bf7b948d8e35d4f3276a87564cb968b18929dbaf4082e050a90f3,8,0x96205feaac0123856a1de77f92a157e6dadf21a4b325ff692ebb102f166abb8a,0x0000000000000000000000000000000000000000,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xf0b131a9eaa9e2c8f1d26d200d47bc1eda50fb66,2.7474364173502433e+18,Uniswap V2,UNI-V2,18,26,192358,471000000000,141904,1912397,deprecated,4403364
7,10780814,2020-09-02 08:46:22,0x2ffac2c25ef56efd38bd809b61f4973d65c55bf540dedd1229c0969c0ffb54bc,10,0x7a4af4a8ca5a143424c8d8457e0ad633f0967c42c79825fec7d8144280061ed4,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xf0b131a9eaa9e2c8f1d26d200d47bc1eda50fb66,1.71239903559666e+17,SushiToken,SUSHI,18,160,219145,480000000000,131097,10145468,deprecated,4403291
8,10780814,2020-09-02 08:46:22,0x2ffac2c25ef56efd38bd809b61f4973d65c55bf540dedd1229c0969c0ffb54bc,10,0x7a4af4a8ca5a143424c8d8457e0ad633f0967c42c79825fec7d8144280061ed4,0xf0b131a9eaa9e2c8f1d26d200d47bc1eda50fb66,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,2.7474364173502433e+18,Uniswap V2,UNI-V2,18,160,219145,480000000000,131097,10145468,deprecated,4403291
9,10782676,2020-09-02 15:38:20,0xca5a12dab90a8663081f189ae5adab992e481e3dd03925ac4b13bf0ea946b937,2011912,0x25ce1975fdec47c8e36377a51f5e13b5deebd4e17881a332a1ecccb345cc7688,0x0d0707963952f2fba59dd06f2b425ace40b492fe,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0xf0b131a9eaa9e2c8f1d26d200d47bc1eda50fb66,1.149e+17,YFII.finance,YFII,18,78,300000,577500000000,51140,4324604,deprecated,4401429
