,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10690964,2020-08-19 13:59:36,0x46eb6722d535333025561a3ebb263624bcfb0fe1f0b9c29b355d40a42f1c5337,4922228,0x51fe22991e88356b55e38753be8d040c7f964981fae6d32a94499612af9eab34,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0xf0f90154f30a5bc000b810388d71fca6ee134f46,1.83133491e+20,Synthetix Network Token,SNX,18,120,207128,167000000000,91958,5343662,deprecated,4493278
1,10767789,2020-08-31 09:10:31,0x45d06040a0f686258120aac278b0df08e53f275c1a5a37956249cbead5efe386,1,0xc09f598b2ed36996594c171f82846deb12bfd88903aaef5de8e004bcda2c5ff4,0xd90a1ba0cbaaaabfdc6c814cdf1611306a26e1f8,0xcc4304a31d09258b0029ea7fe63d032f52e44efe,0xf0f90154f30a5bc000b810388d71fca6ee134f46,2.1527992661156256e+20,TrustSwap Token,SWAP,18,172,216450,157300000000,130835,9251708,deprecated,4416453
2,10769222,2020-08-31 14:29:32,0xc0974c980853c3d4288d4ca0461642b67082f2abec3b84f4ffa7329daa1e2bee,5,0x0a318e3d23214abdadd253f59500001cf545439343aadec3d4cf84d49df95850,0x3671a927539bd1f077336011567e7c57eb523407,0xfe2786d7d1ccab8b015f6ef7392f67d778f8d8d7,0xf0f90154f30a5bc000b810388d71fca6ee134f46,1.6474662335228435e+21,Parsiq Token,PRQ,18,157,230065,259000000000,127754,11968873,deprecated,4415020
3,10880399,2020-09-17 15:03:23,0xabcf049b6d92ddc4aecc92cdcc2c4aed8e3e22b35adac82622ca78ae8722e2c9,7,0xd2e2b0b8fa407cd94ca1ad174d08c5073aa5434ff6dc288b248df5f449e12daf,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xf0f90154f30a5bc000b810388d71fca6ee134f46,4e+20,Uniswap,UNI,18,180,121525,491000000000,81017,10793389,deprecated,4303843
4,10895610,2020-09-19 23:19:28,0xd00b53592de80fee0bdf91132877bc5217878c43f914765c4f1f31bee12244e4,8,0x7c3f82c8a330b648d945ccf120cce61301b6ff819641f1d25f48df4b62834516,0xf0f90154f30a5bc000b810388d71fca6ee134f46,0xc011a73ee8576fb46f5e1c5751ca3b9fe0af2a6f,0x07eb6fd52d3e7ce5c3e72df1fbfadeb4f30603c3,1.83133491e+20,Synthetix Network Token,SNX,18,78,141118,92000000000,78192,8808909,deprecated,4288632
5,10995548,2020-10-05 11:43:41,0xa31c500687f4184e74c40cb7ffa0e1d54fd309d9f2187ac476331b821d60586d,10,0x678c745ef2bb4d81178bc555835731f886b14b6e6025889574177534b7586adc,0x98f90bfc702ec548d21b5a566a4df6853e2890d4,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,0xf0f90154f30a5bc000b810388d71fca6ee134f46,2.6050278236675195e+22,Akropolis,AKRO,18,72,264639,50000000000,210431,7380203,deprecated,4188694
6,11014345,2020-10-08 10:16:41,0xd64b03a2227f8dbab44f58ef8e08a41f93513b4c7e7be80bfea6940c2efa1f75,27,0xbc5d2b191c2a8676de2b56df1227cafbfc53544a22b1a7dc591c86356e0309d2,0x64eb1a806a0f205cfa23fbc0b28ad268fe071943,0x362bc847a3a9637d3af6624eec853618a43ed7d2,0xf0f90154f30a5bc000b810388d71fca6ee134f46,1.64746623352284e+21,Parsiq Token,PRQ,18,20,2550000,50000000000,2512366,6186071,deprecated,4169897
7,11026032,2020-10-10 06:19:05,0x8fcd183a30467b1c97f4a3962e971b276e51b02977dd761f86430758521c4701,12,0x85406e9aaf057f9a79dadfce6a3f1976165abd59f2792a14d808efc14e2298a3,0xd90a1ba0cbaaaabfdc6c814cdf1611306a26e1f8,0xcc4304a31d09258b0029ea7fe63d032f52e44efe,0xf0f90154f30a5bc000b810388d71fca6ee134f46,7.239172822808915e+20,TrustSwap Token,SWAP,18,205,157429,34000000000,117655,12379205,deprecated,4158210
8,11039513,2020-10-12 07:48:03,0xfc22126f9801e524dd32d953ede86e61400a592126163ec852be0415220acbc6,5433032,0x1bbcb26c4f27a89016daf3bc0de41e4978363519177b7c1f354b459190b11e20,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0xdac17f958d2ee523a2206206994597c13d831ec7,0xf0f90154f30a5bc000b810388d71fca6ee134f46,996000000.0,Tether USD,USDT,6,106,207128,64000000000,56185,4681488,deprecated,4144729
9,11047102,2020-10-13 11:44:28,0x426d423f347994b3f14fe6810ebb6aee681e4ce15c3e0d05f0e54484e7a7e6bc,14,0x70d9fdd503922b41288257ecbbb89495731125b5c33667246e92022c70a93dbe,0xf0f90154f30a5bc000b810388d71fca6ee134f46,0xdac17f958d2ee523a2206206994597c13d831ec7,0x07eb6fd52d3e7ce5c3e72df1fbfadeb4f30603c3,996000000.0,Tether USD,USDT,6,80,84295,53000000000,41197,6269431,deprecated,4137140
