,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10726822,2020-08-25 02:00:57,0x34ad02330b3f68fe5f212d7e13daf5546d582e1cb2efaab7304f7ecd9030cc19,11,0x601710a92f7ee960e4dd2b8d97627036dae72563c6024cf953c83e1f225eae13,0xa20d94e8afb114e38d1f1dc26e4aae0a4faf099b,0xdac17f958d2ee523a2206206994597c13d831ec7,0xf1342829dad2569f8aa95fd1d59139417ad800a3,150000000.0,Tether USD,USDT,6,21,112394,70000000000,56197,2148028,deprecated,4457439
1,10727057,2020-08-25 02:57:19,0xda56f27a0bbcba86dbb090f50d163e324a023e9702fc4a32ef2181918d808e6f,1,0xf8175d48c28203a9d8ee0d205bc2a61633f6062b142ce4de8fd87fd9c84fc477,0xf1342829dad2569f8aa95fd1d59139417ad800a3,0xdac17f958d2ee523a2206206994597c13d831ec7,0xbeabef3fc02667d8bd3f702ae0bb2c4edb3640cc,150000000.0,Tether USD,USDT,6,107,153699,78000000000,119098,11273425,deprecated,4457204
2,10727057,2020-08-25 02:57:19,0xda56f27a0bbcba86dbb090f50d163e324a023e9702fc4a32ef2181918d808e6f,1,0xf8175d48c28203a9d8ee0d205bc2a61633f6062b142ce4de8fd87fd9c84fc477,0x0000000000000000000000000000000000000000,0xbeabef3fc02667d8bd3f702ae0bb2c4edb3640cc,0xf1342829dad2569f8aa95fd1d59139417ad800a3,3.745319889400078e+17,Mooniswap V1 (ETH-USDT),MOON-V1-ETH-USDT,18,107,153699,78000000000,119098,11273425,deprecated,4457204
3,10767548,2020-08-31 08:23:32,0xc7edb2459e117e5e0a744e55706eefac5baf9d0b0d7e64a2c1cca838bd634e35,2,0x0c1edd5b352beaae863fbbbc65369ff36b5173784c6465df6620aff6881b9b67,0x88d97d199b9ed37c29d846d00d443de980832a22,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0xf1342829dad2569f8aa95fd1d59139417ad800a3,1.4539914252102836e+19,UMA Voting Token v1,UMA,18,53,244332,235000000000,195424,2183701,deprecated,4416713
4,10767627,2020-08-31 08:37:58,0x81a64b59c7e42255a0641b37e295b8e1c062c7a9569ce83f878576a4fefddbab,4,0x24c1f1fa39ace119e91354bfd8c7c76438a3bc6ae13a24d7648f2490d888bbe0,0xf1342829dad2569f8aa95fd1d59139417ad800a3,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0x88d97d199b9ed37c29d846d00d443de980832a22,1.2105587101117825e+19,UMA Voting Token v1,UMA,18,56,199375,180000000000,160266,5141792,deprecated,4416634
5,10767627,2020-08-31 08:37:58,0x81a64b59c7e42255a0641b37e295b8e1c062c7a9569ce83f878576a4fefddbab,4,0x24c1f1fa39ace119e91354bfd8c7c76438a3bc6ae13a24d7648f2490d888bbe0,0x0000000000000000000000000000000000000000,0x88d97d199b9ed37c29d846d00d443de980832a22,0xf1342829dad2569f8aa95fd1d59139417ad800a3,2.3315488107449585e+18,Uniswap V2,UNI-V2,18,56,199375,180000000000,160266,5141792,deprecated,4416634
6,10767828,2020-08-31 09:19:12,0xea1428a51bc076c7d81603ca8d9fe74bcd1d171b4a7e4150269197644bd5bfbb,6,0x9b7805037450f2a3287dbd02df0e96ef391efd8e9b48a5f7fbff325f7dbb6ca7,0xf1342829dad2569f8aa95fd1d59139417ad800a3,0x88d97d199b9ed37c29d846d00d443de980832a22,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,2.3315488107449585e+18,Uniswap V2,UNI-V2,18,212,212403,173000000000,126602,9402311,deprecated,4416433
7,10767838,2020-08-31 09:21:29,0x2855bbc32c8d8f52c6dfb25b737ad11957dd7a2767ef44ba4ff0e5b3b98ec3be,7,0x3a624ee057d0852a1ce7ff558d2526298e665470385f50f256795d4b13e8b3d5,0xf1342829dad2569f8aa95fd1d59139417ad800a3,0x04fa0d235c4abf4bcf4787af4cf447de572ef828,0x88d97d199b9ed37c29d846d00d443de980832a22,2.4343017022223816e+18,UMA Voting Token v1,UMA,18,92,190894,180000000000,160278,7737810,deprecated,4416423
8,10767838,2020-08-31 09:21:29,0x2855bbc32c8d8f52c6dfb25b737ad11957dd7a2767ef44ba4ff0e5b3b98ec3be,7,0x3a624ee057d0852a1ce7ff558d2526298e665470385f50f256795d4b13e8b3d5,0x0000000000000000000000000000000000000000,0x88d97d199b9ed37c29d846d00d443de980832a22,0xf1342829dad2569f8aa95fd1d59139417ad800a3,4.7083882541875616e+17,Uniswap V2,UNI-V2,18,92,190894,180000000000,160278,7737810,deprecated,4416423
9,10767850,2020-08-31 09:22:47,0xb9e34385cf406f5f4f519409c5a8b63ba07127c0306622d930b203e375f72521,8,0xfcaf36e9324beecf7d7dcecc53dc45a2bc10528901cecad45b46e8e8bbb23128,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xf1342829dad2569f8aa95fd1d59139417ad800a3,2.874558281146696e+16,SushiToken,SUSHI,18,104,219145,173000000000,131097,11873100,deprecated,4416411
10,10767850,2020-08-31 09:22:47,0xb9e34385cf406f5f4f519409c5a8b63ba07127c0306622d930b203e375f72521,8,0xfcaf36e9324beecf7d7dcecc53dc45a2bc10528901cecad45b46e8e8bbb23128,0xf1342829dad2569f8aa95fd1d59139417ad800a3,0x88d97d199b9ed37c29d846d00d443de980832a22,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,4.7083882541875616e+17,Uniswap V2,UNI-V2,18,104,219145,173000000000,131097,11873100,deprecated,4416411
11,10776294,2020-09-01 16:10:22,0x531493978b0d873750ab51a8134cc0b9f8eaba377e1b429a5714523c97021c41,2686883,0x2b84155187f4439b2c1099ed41ef47845b673c3c7ea30f89fce46ca1a35ea550,0x564286362092d8e7936f0549571a803b203aaced,0xdac17f958d2ee523a2206206994597c13d831ec7,0xf1342829dad2569f8aa95fd1d59139417ad800a3,150000000.0,Tether USD,USDT,6,108,173914,575000000000,56197,6688527,deprecated,4407967
12,10776335,2020-09-01 16:19:00,0xa5f24b8172736c9204aa1676b70dbaf31b72103399723e04caff0861732b04d5,10,0x557579ca9f19c50641c06e3d28a2b535aa8856553b4bd3b8ea686820b5882edb,0xf1342829dad2569f8aa95fd1d59139417ad800a3,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,99954649.0,Tether USD,USDT,6,49,177203,477000000000,147813,2726656,deprecated,4407926
13,10776335,2020-09-01 16:19:00,0xa5f24b8172736c9204aa1676b70dbaf31b72103399723e04caff0861732b04d5,10,0x557579ca9f19c50641c06e3d28a2b535aa8856553b4bd3b8ea686820b5882edb,0x0000000000000000000000000000000000000000,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xf1342829dad2569f8aa95fd1d59139417ad800a3,3793493939155.0,Uniswap V2,UNI-V2,18,49,177203,477000000000,147813,2726656,deprecated,4407926
14,10776359,2020-09-01 16:23:14,0x8322ffdb68872a043e730d72bebc7c8638dd3cf5b0d09639692eba7d973ff113,12,0xf233bf8864bfb47a2a6f321166ed88d29edd1cb051537d65f320f82a4297a5c5,0xf1342829dad2569f8aa95fd1d59139417ad800a3,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0x9dd5b5c71842a4fd51533532e5470298bfa398fd,3793492939055.0,Uniswap V2,UNI-V2,18,64,218749,476000001459,145833,5037772,deprecated,4407902
15,10778810,2020-09-02 01:19:33,0x8eea30639543e6796a593d07f0cfee8ba7676c0eeeb43a91d5b8f0f1ef48258a,13,0xc8d82f12d721e6cd312740a7d5fb5314afaae01815b9cb358ffc5c41195264ea,0x9dd5b5c71842a4fd51533532e5470298bfa398fd,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0xf1342829dad2569f8aa95fd1d59139417ad800a3,6.527830344855808e+18,KIMCHI.finance,KIMCHI,18,73,214552,475000000000,143035,4662048,deprecated,4405451
16,10778810,2020-09-02 01:19:33,0x8eea30639543e6796a593d07f0cfee8ba7676c0eeeb43a91d5b8f0f1ef48258a,13,0xc8d82f12d721e6cd312740a7d5fb5314afaae01815b9cb358ffc5c41195264ea,0x9dd5b5c71842a4fd51533532e5470298bfa398fd,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xf1342829dad2569f8aa95fd1d59139417ad800a3,3793491939055.0,Uniswap V2,UNI-V2,18,73,214552,475000000000,143035,4662048,deprecated,4405451
17,10778875,2020-09-02 01:35:26,0xa5ffb811a94899b47ef917386e80d7f9e6cf2af43bd7bde41071d2ac3d94526f,14,0x1dcbaafcba4b6f2bea2ae08070fdca1dde6fb6f6fa7c6256931742153bafcf10,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xf1342829dad2569f8aa95fd1d59139417ad800a3,1.1334681269246945e+19,SushiToken,SUSHI,18,191,177601,475000000000,69077,11833885,deprecated,4405386
18,10778875,2020-09-02 01:35:26,0xa5ffb811a94899b47ef917386e80d7f9e6cf2af43bd7bde41071d2ac3d94526f,14,0x1dcbaafcba4b6f2bea2ae08070fdca1dde6fb6f6fa7c6256931742153bafcf10,0xf1342829dad2569f8aa95fd1d59139417ad800a3,0x88d97d199b9ed37c29d846d00d443de980832a22,0xc2edad668740f1aa35e4d8f227fb8e17dca888cd,0.0,Uniswap V2,UNI-V2,18,191,177601,475000000000,69077,11833885,deprecated,4405386
19,10778919,2020-09-02 01:43:34,0xd8115415d06866b271437bb467aca1ff7b43c3d4a28e2181165589c27ad7b1d7,17,0x3b1c6fa7fc1dcb353cbfb33124dc8ee61734f28eaa683b284f644b528ab21a24,0xf1342829dad2569f8aa95fd1d59139417ad800a3,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0xc8d02f2669ef9aabe6b3b75e2813695aed63748d,6.527830344855808e+18,KIMCHI.finance,KIMCHI,18,103,158548,480000000000,134757,10192104,deprecated,4405342
20,10778919,2020-09-02 01:43:34,0xd8115415d06866b271437bb467aca1ff7b43c3d4a28e2181165589c27ad7b1d7,17,0x3b1c6fa7fc1dcb353cbfb33124dc8ee61734f28eaa683b284f644b528ab21a24,0xf1342829dad2569f8aa95fd1d59139417ad800a3,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xc8d02f2669ef9aabe6b3b75e2813695aed63748d,5.689802100141835e+18,SushiToken,SUSHI,18,103,158548,480000000000,134757,10192104,deprecated,4405342
21,10778919,2020-09-02 01:43:34,0xd8115415d06866b271437bb467aca1ff7b43c3d4a28e2181165589c27ad7b1d7,17,0x3b1c6fa7fc1dcb353cbfb33124dc8ee61734f28eaa683b284f644b528ab21a24,0x0000000000000000000000000000000000000000,0xc8d02f2669ef9aabe6b3b75e2813695aed63748d,0xf1342829dad2569f8aa95fd1d59139417ad800a3,6.03165893998731e+18,Uniswap V2,UNI-V2,18,103,158548,480000000000,134757,10192104,deprecated,4405342
