,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10775173,2020-09-01 12:04:33,0xaa43aa076c8abda44e404c1de65648e3ccb925d3bb0c51f2fe7a54769e720542,0,0x37dedc2edfbe3789d7a1a8513b53a0d230c373915026b65ecf02f3041eed8678,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xf13d433f30985cef47b208bbc13460b2b8a64a78,4.153674317931252e+20,Dai Stablecoin,DAI,18,28,165969,450000000000,125298,2065688,deprecated,4408778
1,10775324,2020-09-01 12:41:36,0x0927de5c8d9bd6120513f8a0c3ef058fddfe75dcdfd4846f0cf8e048d6c9d7d9,5,0x1c63d5e38e8b0b0e8ddeb8d84394399dd4a7f506f2bfa6a33e5580e23d18b6eb,0xf13d433f30985cef47b208bbc13460b2b8a64a78,0x6b175474e89094c44da98b954eedeac495271d0f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,4.15288777716924e+20,Dai Stablecoin,DAI,18,226,185317,476000000000,130984,10159036,deprecated,4408627
2,10775324,2020-09-01 12:41:36,0x0927de5c8d9bd6120513f8a0c3ef058fddfe75dcdfd4846f0cf8e048d6c9d7d9,5,0x1c63d5e38e8b0b0e8ddeb8d84394399dd4a7f506f2bfa6a33e5580e23d18b6eb,0x0000000000000000000000000000000000000000,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0xf13d433f30985cef47b208bbc13460b2b8a64a78,1.6789632240707369e+19,Uniswap V2,UNI-V2,18,226,185317,476000000000,130984,10159036,deprecated,4408627
3,10892314,2020-09-19 11:08:14,0x421ab0a0b40c6728742d69859f2f53ebc152db0055b5f02c8540c7940b1a6723,6,0x5a7206d7464a79fbf186d5d1d44cd01773d07e8f7f400342e57e6f8922a9621b,0xf13d433f30985cef47b208bbc13460b2b8a64a78,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0xa1484c3aa22a66c62b77e0ae78e15258bd0cb711,1.6789632240707369e+19,Uniswap V2,UNI-V2,18,151,176197,88000000000,141997,10093702,deprecated,4291637
4,10892438,2020-09-19 11:38:17,0x65a9fab82e93c0f53c54d0a445f155e9822cf0d27ceade5ab486b220b2dc7cf5,7,0xed1f47f8c86ffc14791ed2aa0f8c766871da99a243ea72be98c71131b8a44c8c,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0x6b175474e89094c44da98b954eedeac495271d0f,0xf13d433f30985cef47b208bbc13460b2b8a64a78,3.759260761421911e+20,Dai Stablecoin,DAI,18,103,149207,107000001459,98282,7629973,deprecated,4291513
5,10892587,2020-09-19 12:09:18,0xd5049d6e79a4e90cbc1341895d430954b3f1d8433c580afd18adda0a797a31cd,9,0xe3586619cae77f33b2d207eb43d1ae541a1972c23155367c2a6afac81cbf09cf,0xf13d433f30985cef47b208bbc13460b2b8a64a78,0x6b175474e89094c44da98b954eedeac495271d0f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,3.499696069737298e+20,Dai Stablecoin,DAI,18,102,185264,146000000000,130936,6622481,deprecated,4291364
6,10892587,2020-09-19 12:09:18,0xd5049d6e79a4e90cbc1341895d430954b3f1d8433c580afd18adda0a797a31cd,9,0xe3586619cae77f33b2d207eb43d1ae541a1972c23155367c2a6afac81cbf09cf,0x0000000000000000000000000000000000000000,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0xf13d433f30985cef47b208bbc13460b2b8a64a78,1.529350802278602e+19,Uniswap V2,UNI-V2,18,102,185264,146000000000,130936,6622481,deprecated,4291364
7,10892597,2020-09-19 12:10:51,0x0edb7aee8a2cc2f04d20a620f6706acedd40afddbdbef77e438f9d6261288be9,10,0xbcc1cb68b3772fb2efe264cd1a58c7507d8ca5bb7277afc4c6090eaa0420965d,0xf13d433f30985cef47b208bbc13460b2b8a64a78,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0xa1484c3aa22a66c62b77e0ae78e15258bd0cb711,1.529350802278602e+19,Uniswap V2,UNI-V2,18,194,150454,168000000000,116254,11366380,deprecated,4291354
8,11306285,2020-11-22 06:00:50,0x999a900ffea66aadcf6a7a3c9daf02d3281cd076126bdf1c696fecad632af82d,11,0xa1bac89b173e5fa35931aead85bae67bc8c47728bdc3ee36996e388a451c6860,0xa1484c3aa22a66c62b77e0ae78e15258bd0cb711,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0xf13d433f30985cef47b208bbc13460b2b8a64a78,3.208314026349339e+19,Uniswap V2,UNI-V2,18,100,300000,51000001459,133682,5795093,deprecated,3877666
9,11306285,2020-11-22 06:00:50,0x999a900ffea66aadcf6a7a3c9daf02d3281cd076126bdf1c696fecad632af82d,11,0xa1bac89b173e5fa35931aead85bae67bc8c47728bdc3ee36996e388a451c6860,0xa1484c3aa22a66c62b77e0ae78e15258bd0cb711,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xf13d433f30985cef47b208bbc13460b2b8a64a78,2.0035838257453863e+19,Uniswap,UNI,18,100,300000,51000001459,133682,5795093,deprecated,3877666
10,11306295,2020-11-22 06:03:15,0xc16c904e298628cf48e89591f3a97e8e39293be41ff4d8f085aa8d919f4d29d8,13,0x29d35c4c336c9d9131b6f495d1fb51c5c6ff83397ff470824cf58bbedccf56e7,0xf13d433f30985cef47b208bbc13460b2b8a64a78,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,3.208314026349339e+19,Uniswap V2,UNI-V2,18,172,282131,44000000000,146404,11642045,deprecated,3877656
11,11306295,2020-11-22 06:03:15,0xc16c904e298628cf48e89591f3a97e8e39293be41ff4d8f085aa8d919f4d29d8,13,0x29d35c4c336c9d9131b6f495d1fb51c5c6ff83397ff470824cf58bbedccf56e7,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x6b175474e89094c44da98b954eedeac495271d0f,0xf13d433f30985cef47b208bbc13460b2b8a64a78,8.905161383986406e+20,Dai Stablecoin,DAI,18,172,282131,44000000000,146404,11642045,deprecated,3877656
12,11306320,2020-11-22 06:09:48,0x713deeaf8c79713f78f5c97685908aa0a7baed2af1b7dbb4c1f765c7167d62cf,15,0x82ce0087f585c6c8a623c105ff4b87bd9cdecec8fdff2076c89dad94c762e943,0xf13d433f30985cef47b208bbc13460b2b8a64a78,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd3d2e2692501a5c9ca623199d38826e513033a17,2.0035838257453863e+19,Uniswap,UNI,18,168,165489,44000001459,110163,9377393,deprecated,3877631
13,11306326,2020-11-22 06:10:24,0xdce78fb83d80e6d9d2142de925780a4d425735eea4a9c4d0a78b449a5b023135,16,0x9115abe24dc538f0c8f920183d50858d42c94f595e56e5115b0aa274d1d64899,0xf13d433f30985cef47b208bbc13460b2b8a64a78,0x6b175474e89094c44da98b954eedeac495271d0f,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,9.165512616433032e+20,Dai Stablecoin,DAI,18,114,161212,49000000000,94259,10734767,deprecated,3877625
