,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10733077,2020-08-26 01:28:29,0x687b47ab5b77c517a48c0814e19e746941966441a8a9c74012a0035bfd875913,1058643,0x89bf7345926bedbc93d96a12a9b39cfa6f0698b12c8c3ee55eaead4d6302b8ac,0xe93381fb4c4f14bda253907b18fad305d799241a,0xdac17f958d2ee523a2206206994597c13d831ec7,0xf243343c6e5fe82bbb0e54df6bed440641260900,1000650000.0,Tether USD,USDT,6,63,100000,76000000000,56197,3266955,deprecated,4451613
1,10733283,2020-08-26 02:10:15,0xe6403fde45077b1626b7836b90d026963fc6844cfddbe0cad9fa367660db6a89,0,0x845b9ea2de26a40f8e651237a6f97a5de7c5d0e7a776ab4cb08711d583363225,0xf243343c6e5fe82bbb0e54df6bed440641260900,0xdac17f958d2ee523a2206206994597c13d831ec7,0xe41a31e61db2416b8edb29b6e7a2bb2a191c142c,1000650000.0,Tether USD,USDT,6,238,100000,70000000000,41209,11461232,deprecated,4451407
2,10759246,2020-08-30 01:37:52,0x975fafdba762f89f196b964d054eee6c039bd5f452c95817cc90c23b617a6146,1,0x00cf819e531260d5fe50b068e4f0d391d4aec72028a20561901fa615c43e42a4,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xdac17f958d2ee523a2206206994597c13d831ec7,0xf243343c6e5fe82bbb0e54df6bed440641260900,81162707.0,Tether USD,USDT,6,162,171656,120000000000,118369,9639239,deprecated,4425444
3,10769740,2020-08-31 16:21:27,0x761c27a33601115477532030f24da6d9fd5d3b891d6b248d71dffb1dc59ae4d1,5,0x035a34682b71f24fbea346ad671590335f66dda29e2a15d7c29c6ad9a5f4fe52,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xf243343c6e5fe82bbb0e54df6bed440641260900,2.8596275818466666e+20,SushiToken,SUSHI,18,1,151552,470000000000,124413,145413,deprecated,4414950
4,10769777,2020-08-31 16:28:05,0x306bc7694f2f76bb6121332927b658a93c142d37ebdac6a280a6518bc53889a6,6,0x9e05a3857eb28a1dd4d0f7dccb37afa20ecd672af973d9f56ae02b2ac943c696,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xf243343c6e5fe82bbb0e54df6bed440641260900,9.339789166728988e+19,SushiToken,SUSHI,18,9,134790,380000000000,109413,419616,deprecated,4414913
5,10772171,2020-09-01 00:53:46,0x8d58aa8ea066a3b1508632567e5637eae157fa14115b046572fdeb980c0f4f68,9,0x7de57c6b0b9b13996be888a2bc8f5e8d2f4326e171d3b9e65767d51b3b63cba1,0xf243343c6e5fe82bbb0e54df6bed440641260900,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,3.7936064985195656e+20,SushiToken,SUSHI,18,3,155063,330000000000,112701,219081,deprecated,4412519
6,10772380,2020-09-01 01:45:43,0xd9e4ce8e9ec42dd26d29be4d80589db27fc3e036191e20efb8cdb611ab92eae4,10,0xd24ed44ca981de6bc5f0032f0a0c6c2dca213d3ef3a93c1fd6173aed4754228f,0xcc3d1ecef1f9fd25599dbea2755019dc09db3c54,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,0xf243343c6e5fe82bbb0e54df6bed440641260900,368493858.0,Serum,SRM,6,74,165852,340000000000,125193,1823621,deprecated,4412310
7,10772390,2020-09-01 01:48:04,0x591f2ccccc58fd71ade77306a67861e44562b18ab8a4b9494bb0b8781c80b635,11,0x26bc5dcc8fd762c778dd35bceac13c3bd61d945d0f6c91e35f0854873bf0024f,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xf243343c6e5fe82bbb0e54df6bed440641260900,1.3168145359929211e+20,SushiToken,SUSHI,18,25,151552,330000000000,124413,1547476,deprecated,4412300
8,10772438,2020-09-01 01:55:51,0x024b9e8c28e48bbd19906c5ecd5bf0d9d187e7da9c5df0b2c2280513e67ab321,12,0x9f05eff37c245c3f2564885f1dc95335c8ebe9ab4260c05abe2cb8d1a50250f1,0xa5904961f61bae7c4dd8478077556c91bf291cfd,0xaba8cac6866b83ae4eec97dd07ed254282f6ad8a,0xf243343c6e5fe82bbb0e54df6bed440641260900,1.1040950132971748e+25,YAMv2,YAMv2,24,34,164797,260000000000,124250,1605613,deprecated,4412252
9,10772863,2020-09-01 03:29:15,0x72c364cf7d554cf312b0916bfacc1e9186864a4d45dcc8c1c625e4c934ae756d,14,0x08d717735681c6379f2845bcb4597bff57b753cf3c81e3a2d9163f466648ac13,0xf243343c6e5fe82bbb0e54df6bed440641260900,0x476c5e26a75bd202a9683ffd34359c0cc15be0ff,0xcc3d1ecef1f9fd25599dbea2755019dc09db3c54,368493858.0,Serum,SRM,6,37,169031,310000000000,113383,1973483,deprecated,4411827
