,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10649579,2020-08-13 05:01:03,0xb6b99002f0a167f24c2350f4ed8a0580910ccc20b30389d8d4e4ba6bfce94c15,2537287,0x8c1a571561f850ba56c461e27b853632fd2ef4a2b75304a2d74b06f55b90febd,0x564286362092d8e7936f0549571a803b203aaced,0x408e41876cccdc0f92210600ef50372656052a38,0xf323ee9369f743cd786459eb1cacc8d068ff46ed,1.658532e+21,Republic,REN,18,6,101011,396000000000,53183,572504,deprecated,4534481
1,10778975,2020-09-02 01:54:25,0x51d4638f11451b62b68fa9a7c57319657af297a719bc6d6b95a91fe47ed05387,0,0xc878731b73bb714fd93ebdd22a036507758a28bb54162ab8699637d16c2cfa36,0xa301245e9f8fc01a3cbcfb6ba267f5600614191f,0x7f0ecd046e2105c40b5ad41d7ca85ff12cfee0e9,0xf323ee9369f743cd786459eb1cacc8d068ff46ed,6.678705513824485e+18,CRUG.Finance,CRUG,18,118,152067,471000000000,112858,10516920,deprecated,4405085
2,10790747,2020-09-03 21:21:54,0xf2284f537d34507be6721afd92ef168ce0b22588a46fd845e773f95e3b00ef94,0,0xf77659a16f7510b367f6a5828dc457d528ca1611ff5adf916be53f4638220ce0,0x9bcf2600606b0a431bf30140904ea3e68b6b48ca,0x514910771af9ca656af840dff83e8264ecf986ca,0xf323ee9369f743cd786459eb1cacc8d068ff46ed,6.288066586e+19,ChainLink Token,LINK,18,68,200000,203000000000,36589,7924851,deprecated,4393313
3,10790846,2020-09-03 21:45:00,0xd7742bc9fb7588603eb0c9163830cca73a15c6d4eaa28469d967919a5372c819,0,0xb1ad1cf33ec877b91c9d8cd4aaf97a4caacfd70a6c4961d48df5cbbab0fc12b0,0x0c00e8da6eaabe7660edb2e44806e6ae77420a0a,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0xf323ee9369f743cd786459eb1cacc8d068ff46ed,3000000.0,USD Coin,USDC,6,23,200000,202000000000,42369,1063742,deprecated,4393214
4,10803455,2020-09-05 19:54:25,0x9e551aeb77117adfdcd0104ed898aad45ce4d4782a4d254ac756179def1a6896,3,0xdd672a7a6b3d4ca54cd3cbdd8104b39fd4c4cec5df9554eb1420c64ac0c2c3a4,0xf323ee9369f743cd786459eb1cacc8d068ff46ed,0x514910771af9ca656af840dff83e8264ecf986ca,0xf3de27f304b2a6050385801814cf41a2623f03d5,6.288066586e+19,ChainLink Token,LINK,18,78,77383,389000000000,36589,9354179,deprecated,4380605
5,10817712,2020-09-08 00:16:43,0x9dd0335dd0359ae1bd9ad40fac4c6a5b1f39579a265d8ef8803d578b38b71525,5,0xe9840c259615c7975cd97d7576e2510cfd1c11f53accce1a57214e2d7afb89a2,0x6c35c40447e8011a63ab05f088fa7cd914d66904,0xf911a7ec46a2c6fa49193212fe4a2a9b95851c27,0xf323ee9369f743cd786459eb1cacc8d068ff46ed,11052073536835.0,Antiample,XAMP,9,135,153778,79000000000,114388,12334563,deprecated,4366348
6,10818456,2020-09-08 03:04:50,0x8d2f8fb4b5f97725e0028d494c1edb1474c294506cd38d8bccdee4a078682a4c,9,0x3ad376678739a9d0bc81a240155ea42b1da7554a0c6eb29e927714ccdeb39370,0xf323ee9369f743cd786459eb1cacc8d068ff46ed,0xf911a7ec46a2c6fa49193212fe4a2a9b95851c27,0xadd7dd05a82730cf7970e217eb2a1b39a7c6100b,11050000000000.0,Antiample,XAMP,9,38,119745,79000001459,64830,3404074,deprecated,4365604
7,10818456,2020-09-08 03:04:50,0x8d2f8fb4b5f97725e0028d494c1edb1474c294506cd38d8bccdee4a078682a4c,9,0x3ad376678739a9d0bc81a240155ea42b1da7554a0c6eb29e927714ccdeb39370,0xa4c9b58d1ce7ea0d9b351185e0c333683ebde00b,0xa4c9b58d1ce7ea0d9b351185e0c333683ebde00b,0xf323ee9369f743cd786459eb1cacc8d068ff46ed,2.55783798550725e+17,Yield Farming Known as Ash,YFKA,18,38,119745,79000001459,64830,3404074,deprecated,4365604
8,10818518,2020-09-08 03:19:42,0x5e2f5dbdd0d0c067da51524570f9d239aaad28b45f8f2717ec71dd08b6dded0f,11,0x83b180f4a98caaf63c9dfd57efe27acc7124582839c9d321924e4b55a9dc165b,0xf323ee9369f743cd786459eb1cacc8d068ff46ed,0x408e41876cccdc0f92210600ef50372656052a38,0x8bd1661da98ebdd3bd080f0be4e6d9be8ce9858c,4.5853e+20,Republic,REN,18,95,202738,79000000000,174013,11896942,deprecated,4365542
9,10818518,2020-09-08 03:19:42,0x5e2f5dbdd0d0c067da51524570f9d239aaad28b45f8f2717ec71dd08b6dded0f,11,0x83b180f4a98caaf63c9dfd57efe27acc7124582839c9d321924e4b55a9dc165b,0x6c35c40447e8011a63ab05f088fa7cd914d66904,0xf911a7ec46a2c6fa49193212fe4a2a9b95851c27,0xf323ee9369f743cd786459eb1cacc8d068ff46ed,10635815128517.0,Antiample,XAMP,9,95,202738,79000000000,174013,11896942,deprecated,4365542
