,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10775391,2020-09-01 12:54:10,0x4e76da74bf01de1412c8b090884c8110ba5994ce5211b36356048dbdae7bafd8,0,0x1e27a12406c3097351d979f4372ee89ae945db6a63d0063df34797d900509a22,0xeb305caf30172e44372b801d15ebf20f0e7ef14e,0x978e500e1a13fe0a52882d5bdaabc9bef7dc95ad,0xf4f6e1c401830615a8a96f3b59ed70bca6ad9944,1.874215061746296e+20,YFI-b,YFIb,18,102,165287,459000000000,124688,8088644,deprecated,4408546
1,10776044,2020-09-01 15:19:23,0x4b05c50eb6effe29d6988b46bffb218044ef392b334287414596fbbc409f21e5,1,0xdd83719d2ffa7702fda348944198feefa0e744c0f8768ca4f4a2144acbf1726e,0xeb305caf30172e44372b801d15ebf20f0e7ef14e,0x978e500e1a13fe0a52882d5bdaabc9bef7dc95ad,0xf4f6e1c401830615a8a96f3b59ed70bca6ad9944,3.679475331616978e+20,YFI-b,YFIb,18,108,148525,477000001459,109688,11939194,deprecated,4407893
2,10776049,2020-09-01 15:20:07,0x69123925c2d5e6a8dc13cb84656ccee514283cc53d1455ff8109e92b404adbfe,2,0x1319944a6e7d35a785d04e085db01cbbd7f53d86c651c6d30550f28a50a155e5,0xeb305caf30172e44372b801d15ebf20f0e7ef14e,0x978e500e1a13fe0a52882d5bdaabc9bef7dc95ad,0xf4f6e1c401830615a8a96f3b59ed70bca6ad9944,3.552405694350128e+20,YFI-b,YFIb,18,126,148525,477000000000,97672,8861209,deprecated,4407888
3,10776072,2020-09-01 15:24:16,0xd0e757475d0f681613fb04fe23ce1dcdcecc67f46c8ad54d2d435f7631666d5c,4,0x72bf69c86c457f44a45f91d1942e359e9b6cab545982ecb97e636c55de7f5da5,0xeb305caf30172e44372b801d15ebf20f0e7ef14e,0x978e500e1a13fe0a52882d5bdaabc9bef7dc95ad,0xf4f6e1c401830615a8a96f3b59ed70bca6ad9944,4.051942399272636e+20,YFI-b,YFIb,18,150,148525,476000000000,109688,10845257,deprecated,4407865
4,10776828,2020-09-01 18:06:21,0x5fa7091d5299dd291e2298e0e2e2f21032857040f3cd3b12da1cb8ab5ed13d05,5,0x81b2df99127eadd9e8318e8af66858113c2452cd89c1720aba6def2040d4c4e6,0xf4f6e1c401830615a8a96f3b59ed70bca6ad9944,0x978e500e1a13fe0a52882d5bdaabc9bef7dc95ad,0x5e1a81b8c0dffe76863c467ea2c3207c3695369b,1.3158038486986038e+21,YFI-b,YFIb,18,102,77092,477000000000,36395,8312618,deprecated,4407109
5,10802090,2020-09-05 14:59:19,0x8ca041c8a1cbe4ecea7649ee08bf26566156bcacd864cdf7178146236d0e46da,2,0xcae134678d9bf09ba3e8ef80d1fe0a6fcda612d634f59ade9940ea4750c0deed,0xd152f549545093347a162dce210e7293f1452150,0xf24e9adc1548c3c6e5ece209a97218d707665fd1,0xf4f6e1c401830615a8a96f3b59ed70bca6ad9944,4e+20,yfmoney.finance,YFM,18,141,956229,450000000000,936845,10921344,deprecated,4381847
6,10808868,2020-09-06 15:42:14,0x814b8b5c5b5b7afb17565c8a5d62352707fcfe8599455eaa4ce27163d0ba284e,11,0x939d57abb0d7000636ddf158613a853427bd25730ec58edf51b29a8c9f038764,0x049963a8c68d225dc03f32c299fcb1939173dfd3,0x96d62cdcd1cc49cb6ee99c867cb8812bea86b9fa,0xf4f6e1c401830615a8a96f3b59ed70bca6ad9944,1.5946530976693718e+20,Yearn Finance Protocol,YFP,18,115,164848,99000000000,124295,10093128,deprecated,4375069
7,10815164,2020-09-07 14:43:25,0x84131a3469511cdcb2351106f49c0dd24f92123fd838edef15bb51598ef38146,12,0x1fcf3b9875f4ab91ca65eca5913045bc5f35c198008701fc1d20941ca608777d,0xf4f6e1c401830615a8a96f3b59ed70bca6ad9944,0xf24e9adc1548c3c6e5ece209a97218d707665fd1,0x5e1a81b8c0dffe76863c467ea2c3207c3695369b,4e+20,yfmoney.finance,YFM,18,100,76785,134000000000,36190,7441343,deprecated,4368773
8,10815167,2020-09-07 14:44:36,0x1f8cdf5afd69e89b1a5c9114350b30e1f5e76e9ad0eaf692c7945beb8aa2198a,13,0x4d0dfb586a223baac52c162ac7893aed263215c8ae70a0c4f45f2d1565782087,0xf4f6e1c401830615a8a96f3b59ed70bca6ad9944,0x96d62cdcd1cc49cb6ee99c867cb8812bea86b9fa,0x5e1a81b8c0dffe76863c467ea2c3207c3695369b,0.0,Yearn Finance Protocol,YFP,18,29,54084,134000000000,27548,5281999,deprecated,4368770
9,10815180,2020-09-07 14:47:05,0x50fa69c518a8bff6a55f6faaf2124befc3df308d5b8ab5050ba04ce8d09c2e91,14,0x9a268304e933518c458fb48420a4f6e5f9c537fc52ababdda2aee93284a76555,0xf4f6e1c401830615a8a96f3b59ed70bca6ad9944,0x96d62cdcd1cc49cb6ee99c867cb8812bea86b9fa,0x5e1a81b8c0dffe76863c467ea2c3207c3695369b,1.5946530976693718e+20,Yearn Finance Protocol,YFP,18,88,54084,134000000000,21056,4251912,deprecated,4368757
