,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,4888590,2018-01-11 03:19:33,0x4e2a909451d374cc9d3f28fe9e3ebe655041a74aacf82618fdd0f81f71701baa,158188,0xc2e1b161bb826abda90b4b9474f175de9366ba5969b1b17a5ad1dca616f717be,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0x618e75ac90b12c6049ba3b27f5d5f8651b0037f6,0xf5794ca615b5b9f414b822c80479b72dab45e9f5,2000000.0,QASH,QASH,6,94,90000,189000000000,52292,3490437,deprecated,10295788
1,4888754,2018-01-11 04:03:35,0x7ccdb86ca047ee802ffbd6d613e00c4747597c81aea7250975fbbe23c1316215,158307,0x4a3abce5c7b5e9081079ee1bf90b1e14bb30c0d06eba4b48db6ea9296a693f93,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0x618e75ac90b12c6049ba3b27f5d5f8651b0037f6,0xf5794ca615b5b9f414b822c80479b72dab45e9f5,11987547198.0,QASH,QASH,6,3,90000,199800000000,37420,451501,deprecated,10295624
2,5314935,2018-03-24 19:39:05,0x75b58d463e9b8be78b8a7069902b36d5169017aabfbf0e7bda67b425487c2896,12,0xc4152ab31e2cae0d4785e7c0b1bc3ba7f044d1fd21a15d7bd212b4d0b337ae18,0x964f35fae36d75b1e72770e244f6595b68508cf5,0xdd974d5c2e2928dea5f71b9825b8b646686bd200,0xf5794ca615b5b9f414b822c80479b72dab45e9f5,1.0000443228383732e+18,KyberNetwork,KNC,18,33,263446,4000000000,204747,1665459,deprecated,9869443
3,5404092,2018-04-08 15:57:06,0x5442c6ee59d37e6dcd6ad9346bf2848b0d45d499f07c021c5e4e974aa4cb8bc7,105435,0xd57ff6fbdef3d0b0ffa8ec090ac11b827cbabc6eb8c48c44a0362c222e97863e,0xf73c3c65bde10bf26c2e1763104e609a41702efe,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0xf5794ca615b5b9f414b822c80479b72dab45e9f5,1e+19,Sai Stablecoin v1.0,SAI,18,13,250000,12000000000,52298,649651,deprecated,9780286
4,5404223,2018-04-08 16:30:48,0x57f05ebc56f7efd68b2c1f8b7eb154e4a7f651dd8b247e70dc075cfddae502e5,105451,0x49adfa7aec35b008e9aea2577e2f111f0237959c87e02ca8bf340330b507e56d,0xf73c3c65bde10bf26c2e1763104e609a41702efe,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0xf5794ca615b5b9f414b822c80479b72dab45e9f5,1.079870376947e+22,Sai Stablecoin v1.0,SAI,18,22,250000,12000000000,37490,680868,deprecated,9780155
5,5405077,2018-04-08 19:49:36,0x359a315e04d8033ebec2ce31023b5f41ac380baf66c98f4e8c3b4e0fa5642e59,333869,0x196623223c6e58dbfd002e410e3799f3ac2e8665202e4f448c2dc149d18abaa0,0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0xf5794ca615b5b9f414b822c80479b72dab45e9f5,9.9980589e+20,EOS,EOS,18,12,90000,30000000000,55907,482420,deprecated,9779301
6,5414512,2018-04-10 09:28:30,0x05a3625e9838e19f4956aee33aa8629c780428a1bd774ec9e6a59996d3384a53,163,0x6ef6f59582602b2c76c7f9df4cb03217f629a593da1f8932fde6fda6e08224c0,0x61d80088c69f0874963dcd655de7e0b851ceef61,0xf3e014fe81267870624132ef3a646b8e83853a96,0xf5794ca615b5b9f414b822c80479b72dab45e9f5,7.77e+18,VIN,VIN,18,37,2000000,1000999999,1712596,3368862,deprecated,9769866
7,5423059,2018-04-11 19:38:01,0x45bab3df98489bd690306a6dcc1bcbb46cca282b0b6c08a0e4386a2018e29cbd,13,0x23a7fd138088a99499a8dc9c72283af8e7610c8c6303a68788a10bb76bf6adba,0xf5794ca615b5b9f414b822c80479b72dab45e9f5,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0x9b9448a4d0397dacb28b8abd6fd5413fb6cfa4a9,8e+18,Sai Stablecoin v1.0,SAI,18,40,52298,21000000000,52298,1209551,deprecated,9761319
8,5423099,2018-04-11 19:49:22,0x6a2cd636358ef370728a2d9db3c9ce9be4f517fa727e61ec567f78b934a0d08e,107420,0x248156aafcc2f160b80e8e133019eae973fbb6eec49601fe48f4a7601389aebf,0xf73c3c65bde10bf26c2e1763104e609a41702efe,0x89d24a6b4ccb1b6faa2625fe562bdd9a23260359,0xf5794ca615b5b9f414b822c80479b72dab45e9f5,1.38217000691e+22,Sai Stablecoin v1.0,SAI,18,11,250000,12000000000,37490,375515,deprecated,9761279
9,5429501,2018-04-12 21:37:08,0x873b8cfc65bc9679a2ac3a07b00247a59ea92511178490df50ec198db464498a,14,0x46050c9b0122b080a146163a2143701219b7e966c96f2d97e34d1353656b1adc,0x964f35fae36d75b1e72770e244f6595b68508cf5,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0xf5794ca615b5b9f414b822c80479b72dab45e9f5,4.252663084020207e+20,EOS,EOS,18,41,249991,1000000000,193326,1897760,deprecated,9754877
