,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,4293002,2017-09-20 01:03:58,0x61883a423866fb1a7a397a354e1529cd48cf53c6e8234f6bb6cb019794573424,3519,0xf2ba92a5773cbec35fc1c60edb495707b5d2348a2bccbbbe7956b6d2d1250ac3,0x862cb5b6eeaafb26ebb137e0c3c5d7728800439a,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0xf7fde6e62522c4251aff03d46a306aa1ba5e04f1,6.379821519961066e+16,OMG Network,OMG,18,19,3020000,4000000000,2924733,4160772,deprecated,10891383
1,4449488,2017-10-29 04:01:01,0x69542c4ebd6438206578246382e3146e5e8a2b8434239bca44065d7a8c758dac,4718,0x3b5bc660ac1842af1bdd257cc1487d70d8871b846c21f274631614fe36220f84,0xb59fdff77a6175dfa4fe7af4281a52f61611eaa2,0xab95e915c123fded5bdfb6325e35ef5515f1ea69,0xf7fde6e62522c4251aff03d46a306aa1ba5e04f1,1.9207472158205257e+20,XENON,XNN,18,39,3200000,500000000,3131435,4507580,deprecated,10734897
2,4484627,2017-11-03 20:37:58,0xe499b5759282352fdd1688a9c4d6998c5126b0480b569ad2f5afb79f01116132,342,0x1a10aa3bdbebf390d0e6251e8d4745d0799a698e224cc35e38eb0b529456d2f4,0xf7fde6e62522c4251aff03d46a306aa1ba5e04f1,0x2956356cd2a2bf3202f771f50d3d14a367b48070,0x3994b774754703e78b2f3e273cfd8978e7a984cb,1.575e+17,Ether Token,WETH,18,58,161838,1000000,161838,5887511,deprecated,10699758
3,4484627,2017-11-03 20:37:58,0xe499b5759282352fdd1688a9c4d6998c5126b0480b569ad2f5afb79f01116132,342,0x1a10aa3bdbebf390d0e6251e8d4745d0799a698e224cc35e38eb0b529456d2f4,0x3994b774754703e78b2f3e273cfd8978e7a984cb,0xe41d2489571d322189246dafa5ebde1f4699f498,0xf7fde6e62522c4251aff03d46a306aa1ba5e04f1,2.5e+20,ZRX,ZRX,18,58,161838,1000000,161838,5887511,deprecated,10699758
4,4484627,2017-11-03 20:37:58,0xe499b5759282352fdd1688a9c4d6998c5126b0480b569ad2f5afb79f01116132,342,0x1a10aa3bdbebf390d0e6251e8d4745d0799a698e224cc35e38eb0b529456d2f4,0xf7fde6e62522c4251aff03d46a306aa1ba5e04f1,0xe41d2489571d322189246dafa5ebde1f4699f498,0xa258b39954cef5cb142fd567a46cddb31a670124,1.125e+18,ZRX,ZRX,18,58,161838,1000000,161838,5887511,deprecated,10699758
5,4485126,2017-11-03 22:29:42,0xc19773ba7f1c397f578a4792019142abfb57baeaa53b25193537afe66fe9ac00,40,0x8da546654491e1d6ad6b3dafc4bd5fadb609b4bd6a62004f22f0e970d15c8904,0x2a5a252c7e8bdd00fa965f575976898e9dbf575b,0x0e0989b1f9b8a38983c2ba8053269ca62ec9b195,0xf7fde6e62522c4251aff03d46a306aa1ba5e04f1,203066000000.0,Po.et,POE,8,44,167252,2000000000,167252,1790441,deprecated,10699259
6,4485126,2017-11-03 22:29:42,0xc19773ba7f1c397f578a4792019142abfb57baeaa53b25193537afe66fe9ac00,40,0x8da546654491e1d6ad6b3dafc4bd5fadb609b4bd6a62004f22f0e970d15c8904,0xf7fde6e62522c4251aff03d46a306aa1ba5e04f1,0x2956356cd2a2bf3202f771f50d3d14a367b48070,0x2a5a252c7e8bdd00fa965f575976898e9dbf575b,3.3302824e+16,Ether Token,WETH,18,44,167252,2000000000,167252,1790441,deprecated,10699259
7,4485126,2017-11-03 22:29:42,0xc19773ba7f1c397f578a4792019142abfb57baeaa53b25193537afe66fe9ac00,40,0x8da546654491e1d6ad6b3dafc4bd5fadb609b4bd6a62004f22f0e970d15c8904,0xf7fde6e62522c4251aff03d46a306aa1ba5e04f1,0xe41d2489571d322189246dafa5ebde1f4699f498,0xa258b39954cef5cb142fd567a46cddb31a670124,3.70031378e+17,ZRX,ZRX,18,44,167252,2000000000,167252,1790441,deprecated,10699259
8,4495438,2017-11-05 14:03:47,0x3a609187bc1598da1bbaa603e5a97833405acdda27e822f330b35b98a393ec35,44,0x4adaf1bd9c6d90a43ab145b2787a2b20a8428b4b0d8a2fa2bff3632f66920674,0xf7fde6e62522c4251aff03d46a306aa1ba5e04f1,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x0bc3b80ba20c32f7b93761ab0a23e0ae937c3b06,6.379821519961066e+16,OMG Network,OMG,18,31,152158,4000000000,37158,1370118,deprecated,10688947
9,4495446,2017-11-05 14:05:50,0xf20e0c588c2a7c29a9b5508f783b03645efd9cb5ec2d7ec49eee21ff18296d6e,45,0x86c5f4df6e883843ee6ad76c3f902c0d0abce47a2a13b923dd80a8bbdf261404,0xf7fde6e62522c4251aff03d46a306aa1ba5e04f1,0xab95e915c123fded5bdfb6325e35ef5515f1ea69,0x0bc3b80ba20c32f7b93761ab0a23e0ae937c3b06,1.9207472158205257e+20,XENON,XNN,18,34,151765,4000000000,36765,1490679,deprecated,10688939
10,4495521,2017-11-05 14:25:42,0x7e041c6978b91e8b719ff155610baecbb78fe8c4594f67af403fc48d4275507b,47,0x15d5303139a8155655f08e4cfe0681a4661c8e393d917d60cf6e62064977d231,0xff239844502fd87f10f999256d5362292f8cb3ec,0x0abdace70d3790235af448c88547603b945604ea,0xf7fde6e62522c4251aff03d46a306aa1ba5e04f1,2e+21,district0x,DNT,18,98,198649,4000000000,198649,4308204,deprecated,10688864
11,4495521,2017-11-05 14:25:42,0x7e041c6978b91e8b719ff155610baecbb78fe8c4594f67af403fc48d4275507b,47,0x15d5303139a8155655f08e4cfe0681a4661c8e393d917d60cf6e62064977d231,0xf7fde6e62522c4251aff03d46a306aa1ba5e04f1,0x2956356cd2a2bf3202f771f50d3d14a367b48070,0xff239844502fd87f10f999256d5362292f8cb3ec,2.8e+17,Ether Token,WETH,18,98,198649,4000000000,198649,4308204,deprecated,10688864
