,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,4717154,2017-12-12 01:30:05,0x21c7d5e25f19d367224d33d3ac334e44818381d7c73eb3277efa6cbc9bf08648,513473,0x7746c3da8736b0e3c901c0b43190226ab9f7ca3512f2cad1963a7df8a3f1940e,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0xfccfc8e97f78220d5650dbeb807cafa02cfee5b7,5e+19,Decentraland,MANA,18,14,104498,70000000000,52249,466527,deprecated,10466706
1,4717240,2017-12-12 01:51:51,0xdb7766cfa1f7d26df6979c6ec66d9443d04111f81f0393156f93fc6e08a1d2ce,513737,0x741d0976f3993951019b402fffb3055e7cdd296c83859f21161b97475d0d2b2c,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0xfccfc8e97f78220d5650dbeb807cafa02cfee5b7,1.134714e+21,Decentraland,MANA,18,10,74498,70000000000,37249,295267,deprecated,10466620
2,4718282,2017-12-12 06:17:39,0xc6fdb51e4eb8ae0caa483136c5982590b0986d8fcb6f5ebf0dcf510e9900aa55,4335,0x40bc5d742a2dc532eaf7c1995841bae3d04aa7123430d51f7d1fa3d6166aa58a,0xfccfc8e97f78220d5650dbeb807cafa02cfee5b7,0x0f5d2fb29fb7d3cfee444a200298f468908cc942,0xcca95e580bbbd04851ebfb85f77fd46c9b91f11c,1.184e+21,Decentraland,MANA,18,103,120000,30000000000,57380,7606293,deprecated,10465578
3,4816829,2017-12-29 06:40:20,0xca14bd8ef72a43d6783509a4b7a587eae7bbce6d36c65a169df169e332789092,4,0x8a7fb037b4c31cf4e1bafb6cc2d5d306e6d432e11280531d5a6bb4ee1f5ebb5f,0x088b9099eae5f372405a29a7077faf3a82f94e05,0x9b20dabcec77f6289113e61893f7beefaeb1990a,0xfccfc8e97f78220d5650dbeb807cafa02cfee5b7,3e+22,Fair Token,FAIR,18,9,300000,50000000000,242257,583922,deprecated,10367031
4,4999838,2018-01-30 12:59:01,0x195f8c2455b41fbc3022a881fa30f8b6ccde8668d93591834514a0bd9042384f,183,0x0ded37702133c6a733b02a209380a1a4c5f042ffedfd352e4cadaf409f43806a,0x088b9099eae5f372405a29a7077faf3a82f94e05,0x9b20dabcec77f6289113e61893f7beefaeb1990a,0xfccfc8e97f78220d5650dbeb807cafa02cfee5b7,1.98e+21,Fair Token,FAIR,18,30,6700000,30000000000,4461640,5550156,deprecated,10184022
5,5177518,2018-03-01 13:48:49,0xdabd584c3f5c8fbd5d663fa9c4848b69fb3be0b000e139552e67091d9ffb23ca,267,0xfd7e3c99c5af8943126497dee091a01433898a4ac468da1aa2794c46b9679298,0x088b9099eae5f372405a29a7077faf3a82f94e05,0x9b20dabcec77f6289113e61893f7beefaeb1990a,0xfccfc8e97f78220d5650dbeb807cafa02cfee5b7,1.98e+21,Fair Token,FAIR,18,15,4700000,30000000000,1986515,2707901,deprecated,10006342
6,5354908,2018-03-31 12:50:36,0xf787ad02c8d6b2cb8929c20319799e6a509c95d0adde01a566739fc8a1f7cf5a,282,0x9137918b16b1dddb822a8e35cca3f067095d69ffd727677cf76350c260663bdd,0x088b9099eae5f372405a29a7077faf3a82f94e05,0x9b20dabcec77f6289113e61893f7beefaeb1990a,0xfccfc8e97f78220d5650dbeb807cafa02cfee5b7,2.04e+21,Fair Token,FAIR,18,9,4700000,30000000000,3009571,3299148,deprecated,9828952
7,5525581,2018-04-29 09:14:36,0xe0b591fdf831169dd08be695243ec2e0b5e92b395b0fc51489e2511d4f0a0f6d,3,0xa69217b6d1c335daa359e13e7973cf76fa6db4f4e947e86fe3f7eb66a9a72a2b,0x634211e61ac19baf71153d193b3482d12d669c5c,0xef68e7c694f40c8202821edf525de3782458639f,0xfccfc8e97f78220d5650dbeb807cafa02cfee5b7,1e+18,Loopring,LRC,18,94,62298,2773134336,51787,7259766,deprecated,9658279
8,5569813,2018-05-07 03:14:27,0x82e1c7a8fe42fc16f97c3ab903e8c26b8103e8ce612e36ed90dd3929f292ab55,12,0xeeb55ba5e5172f1321385e81303f35d50275b32924a0e43cc021923ba3985bb2,0xfccfc8e97f78220d5650dbeb807cafa02cfee5b7,0x9b20dabcec77f6289113e61893f7beefaeb1990a,0xdeb364d2dcbe6db126e1ed146e7ec9c442fa39b5,36000.0,Fair Token,FAIR,18,32,78984,41000000000,52656,853972,deprecated,9614047
9,5569851,2018-05-07 03:24:57,0xb4970cf48334f31708fd8c62c79defa68ea49468e41dd9db03cbcaf50b050a13,13,0x07e506d51df0db95ee219710f17dd5d4f1ad338fa6ffc2e896f34112e1019b7c,0xfccfc8e97f78220d5650dbeb807cafa02cfee5b7,0x9b20dabcec77f6289113e61893f7beefaeb1990a,0xdeb364d2dcbe6db126e1ed146e7ec9c442fa39b5,3.6e+22,Fair Token,FAIR,18,11,57252,41000000000,23168,271118,deprecated,9614009
