,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10776137,2020-09-01 15:37:40,0x8cb48b463e06e1c61122625629a8dde80994b1a5ad36bd510d2120ef84749701,0,0xa882a134a1c1ee5fff17cd58a1ea9550c7a4f3e35a140b7437ca2e01c5a2e232,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xfdbcae2fe3f5dcae72d94cb4c7c11ebc7275b573,9.361748875100632e+19,SushiToken,SUSHI,18,51,151565,477000000000,112409,4527637,deprecated,4407864
1,10776596,2020-09-01 17:16:22,0x2f31877c2f7da4c1c3ba477925831ce089b8128671f2f82324e8cbef5f9f9862,11,0x6e81e8fc3336e753c23f0bfbed2f7a68988935b88775226961bcb33fa53717f0,0x9076db2d64d606c80c4552543954cee60217d15a,0x408e41876cccdc0f92210600ef50372656052a38,0xfdbcae2fe3f5dcae72d94cb4c7c11ebc7275b573,3.289262e+22,Republic,REN,18,62,79792,476000000000,38195,6197467,deprecated,4407405
2,10776836,2020-09-01 18:08:05,0x31652b279538ad79a64cb66a84614a8d1e73eb133fb183c961f94f4f9e53cd2a,2,0x13e2ebe25fc6d1d487a8be75e73d42f8a12c5b1d689b6e6dec4b52c6488e598c,0xfdbcae2fe3f5dcae72d94cb4c7c11ebc7275b573,0x408e41876cccdc0f92210600ef50372656052a38,0x8bd1661da98ebdd3bd080f0be4e6d9be8ce9858c,1e+22,Republic,REN,18,151,169149,477000000000,128490,8530565,deprecated,4407165
3,10776843,2020-09-01 18:09:35,0x33282165eebf5ba1f48745e90d1eab01af7bd4ea2f2ace22fef85e318b49d818,3,0x8d91a65a3b767d1f13433430630928069b993173d7d362fb2c1c82c43d386534,0xfdbcae2fe3f5dcae72d94cb4c7c11ebc7275b573,0x408e41876cccdc0f92210600ef50372656052a38,0x8bd1661da98ebdd3bd080f0be4e6d9be8ce9858c,1e+22,Republic,REN,18,83,145839,477000000000,126203,10332423,deprecated,4407158
4,10776843,2020-09-01 18:09:35,0x33282165eebf5ba1f48745e90d1eab01af7bd4ea2f2ace22fef85e318b49d818,3,0x8d91a65a3b767d1f13433430630928069b993173d7d362fb2c1c82c43d386534,0x8bd1661da98ebdd3bd080f0be4e6d9be8ce9858c,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xfdbcae2fe3f5dcae72d94cb4c7c11ebc7275b573,1.1685003437385576e+19,Wrapped Ether,WETH,18,83,145839,477000000000,126203,10332423,deprecated,4407158
5,10777131,2020-09-01 19:13:31,0x9b987fdec425996e0772468b8611f86fbdedabe50e12a81730579e893588ced3,9,0x69f2ccf4d63fe92ad889f8f8bd2355ad6019c330549909c66e167356a83e1797,0xfdbcae2fe3f5dcae72d94cb4c7c11ebc7275b573,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x28f02ddf049745de5833433011b7b33bac085572,4e+18,Wrapped Ether,WETH,18,101,249945,479000000000,141736,9706148,deprecated,4406870
6,10777131,2020-09-01 19:13:31,0x9b987fdec425996e0772468b8611f86fbdedabe50e12a81730579e893588ced3,9,0x69f2ccf4d63fe92ad889f8f8bd2355ad6019c330549909c66e167356a83e1797,0x28f02ddf049745de5833433011b7b33bac085572,0x10dd17ecfc86101eab956e0a443cab3e9c62d9b4,0xfdbcae2fe3f5dcae72d94cb4c7c11ebc7275b573,1.7863224184214724e+22,Balancer Pool Token,BPT,18,101,249945,479000000000,141736,9706148,deprecated,4406870
7,10777149,2020-09-01 19:16:40,0x60e8807c5e1207961b22e4f3b4074be040e200cf8cf926af1df71e65e083becc,10,0xd2efd3308f79575df8d0963d72bd865ddf3b054451062569b259860bea636d53,0xfdbcae2fe3f5dcae72d94cb4c7c11ebc7275b573,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x28f02ddf049745de5833433011b7b33bac085572,4e+18,Wrapped Ether,WETH,18,108,249945,479000000000,126736,7150733,deprecated,4406852
8,10777149,2020-09-01 19:16:40,0x60e8807c5e1207961b22e4f3b4074be040e200cf8cf926af1df71e65e083becc,10,0xd2efd3308f79575df8d0963d72bd865ddf3b054451062569b259860bea636d53,0x28f02ddf049745de5833433011b7b33bac085572,0x10dd17ecfc86101eab956e0a443cab3e9c62d9b4,0xfdbcae2fe3f5dcae72d94cb4c7c11ebc7275b573,1.786321615614516e+22,Balancer Pool Token,BPT,18,108,249945,479000000000,126736,7150733,deprecated,4406852
9,10777607,2020-09-01 21:01:06,0x6c9be62fe31603f6de4199081909176aece60a72d784125aaa175e51e00cc14a,14,0x1de9bb37db028ca05945ebf78cf5d588e3171ddbb93ebec1f53f7b4c030de751,0x3e66b66fd1d0b02fda6c811da9e0547970db2f21,0xba100000625a3754423978a60c9317c58a424e3d,0xfdbcae2fe3f5dcae72d94cb4c7c11ebc7275b573,7.24185218822504e+19,Balancer,BAL,18,141,502275,480000000000,374475,11600993,deprecated,4406394
10,10823920,2020-09-08 23:07:58,0x64dc68e0498aae02f8aaafb3976ab250ae2be5e51c7f3cfbf77752b58ae27ea5,197,0xcdfa0483a1253bc540254ac306500601cafffc4a141954b72d621d11445db836,0xd152f549545093347a162dce210e7293f1452150,0xba100000625a3754423978a60c9317c58a424e3d,0xfdbcae2fe3f5dcae72d94cb4c7c11ebc7275b573,5.657576017735306e+16,Balancer,BAL,18,42,7200000,80000000000,6856671,11065558,deprecated,4360081
11,10843271,2020-09-11 22:26:38,0x3a5498aa0c260c2fc79c46c7b424176eedc32c774c8897cb61aefce019bc7c6d,17,0xfcac44e19cb712b58fe8526082f8c03afefe72feed82675d4e0e049762c6c08b,0xd99ddad712f60c6cc8fda09e0c292aed68047216,0x90d702f071d2af33032943137ad0ab4280705817,0xfdbcae2fe3f5dcae72d94cb4c7c11ebc7275b573,1.4092925664252596e+19,yffs.finance,YFFS,18,80,319247,85000000000,268339,7249779,deprecated,4340730
12,10862076,2020-09-14 19:46:33,0x38732a0b8f2a752a80a0286b38930d7a12a694540501af1405c6bec639d3550f,21,0x67e6bed9c7abf1ee0dcb0b43cfad78a1b1a4b7db7e60c3421fbdd365b398a17f,0xd99ddad712f60c6cc8fda09e0c292aed68047216,0x90d702f071d2af33032943137ad0ab4280705817,0xfdbcae2fe3f5dcae72d94cb4c7c11ebc7275b573,1.328406650032184e+19,yffs.finance,YFFS,18,112,204703,114000000000,156749,11312086,deprecated,4321925
13,10862114,2020-09-14 19:53:53,0x1489c79d9ec7dd8beab4dc628aacd696df2a120257dc027436766333360ae82d,23,0xb28972c51039a18e4550999ad3818c108626499584af336073e3dabd3152825a,0xd99ddad712f60c6cc8fda09e0c292aed68047216,0x90d702f071d2af33032943137ad0ab4280705817,0xfdbcae2fe3f5dcae72d94cb4c7c11ebc7275b573,1.5209287233327653e+19,yffs.finance,YFFS,18,83,231347,112000000000,168765,6649281,deprecated,4321887
14,10862227,2020-09-14 20:19:42,0xdf8b1a26d307a49d11041f11b365b877272cbc410a9cb5380392e34d45d19474,27,0x4f5d1c5395423c32da56a351d0ac5debd4edce3b07b3f870949edce69971efa1,0xd99ddad712f60c6cc8fda09e0c292aed68047216,0x90d702f071d2af33032943137ad0ab4280705817,0xfdbcae2fe3f5dcae72d94cb4c7c11ebc7275b573,2.649799120266848e+19,yffs.finance,YFFS,18,130,218143,124238932521,156761,11974891,deprecated,4321774
