,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10771081,2020-08-31 21:03:46,0x988c0596307b6fcaafaf04f8c6ef08b69177e67e37a366d172a1ebc3b6509d07,0,0x7e0f4307a1969c03d290655817b6e892657ef8c1ac7845c100762294ce29737e,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xfea9b099e309b690ca403fe7522d258c6083fe64,7.950819056653509e+19,SushiToken,SUSHI,18,127,151565,261000000000,112409,8024435,deprecated,4413245
1,10771110,2020-08-31 21:08:58,0x8547d168498005157a8d38286c2e07ac5a3544bbcd320ab1fa0e587e3ef5cbe1,2,0x18c3e1890dd395d55d72c57f18c40aaa2d528149aad522e84c1a312dfc85bab8,0xfea9b099e309b690ca403fe7522d258c6083fe64,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,7.950819056653509e+19,SushiToken,SUSHI,18,96,155076,198000000000,100697,7454439,deprecated,4413216
2,10775109,2020-09-01 11:48:31,0x3f5d4247c7045079636cfef5cd8bb58f333913e8c58785f2406c20726f79f5a2,4,0x016ccd876c8a1c9e05993aa75d296c4d42e3fc2ed5b7faf5d403eb8083c1eee0,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xfea9b099e309b690ca403fe7522d258c6083fe64,1.9056105331648295e+19,SushiToken,SUSHI,18,94,151565,450000000000,124425,6670233,deprecated,4409217
3,10775114,2020-09-01 11:49:41,0x99eb8ddd8c948fbce7d49c7b6de2be2a571d64b924622cb57e4b9913ab1621a7,5,0xd8ab3c8b525a565f8f4cb9a2c71b90fe4b7ce9a28c3b12f29ad7d7440614d9c8,0xce84867c3c02b05dc570d0135103d3fb9cc19433,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xfea9b099e309b690ca403fe7522d258c6083fe64,4.238032877456182e+19,SushiToken,SUSHI,18,168,134803,450000000000,97409,10486503,deprecated,4409212
4,10780255,2020-09-02 06:44:17,0xe09498fc7309b2f31a5a8dfb7bc671fa7b2aa5323228dedf55e021d4bd83527f,6,0x68c07f6e8f47730de6b7ab81b245ba11185ac5859a9cb880e87fabf6b6449c8f,0xfea9b099e309b690ca403fe7522d258c6083fe64,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,0xce84867c3c02b05dc570d0135103d3fb9cc19433,5.1436434106210116e+19,SushiToken,SUSHI,18,133,155076,471000001347,115697,11822211,deprecated,4404071
5,10780273,2020-09-02 06:47:51,0xeb70bad79c1a6aba7cef5d88013cf2fb194636e2e6c04a39b064202640e67a3f,7,0x9758eb1723b621b6e83eac623e98e83d398fef5f6d74b06d08afc86487193211,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0xfea9b099e309b690ca403fe7522d258c6083fe64,7.478884268527498e+19,KIMCHI.finance,KIMCHI,18,16,151440,480000000000,124313,1426156,deprecated,4404053
6,10786671,2020-09-03 06:17:02,0xf0bfc59905e7dde36653a08ca9aa33880c9709951c09bb93074eddb367a0159f,9,0x80410c10fb53eb2f721596a6aa9359d1ba03c1f91ed0c50db6d5c8a6ac7066c9,0xfea9b099e309b690ca403fe7522d258c6083fe64,0x1e18821e69b9faa8e6e75dffe54e7e25754beda0,0xc4da39e646e7f5d233b89ca0f7b75344e7ddb2cc,7.478884268527498e+19,KIMCHI.finance,KIMCHI,18,37,154858,383000000000,112514,1759771,deprecated,4397655
7,10786762,2020-09-03 06:37:31,0xb3612ea09fe48b7462c553f9d22c2644cf1e4564bf14ac8f6b34aeb5c92248b1,10,0xaef063baf47664c874791ed06bb91d93492b383747159d3c9706a61a78c11a55,0xe2a1d215d03d7e9fa0ed66355c86678561e4940a,0xb6ee603933e024d8d53dde3faa0bf98fe2a3d6f1,0xfea9b099e309b690ca403fe7522d258c6083fe64,5.900193666709566e+18,DeFiat,DFT,18,182,213134,390000000000,167506,10172002,deprecated,4397564
8,10842228,2020-09-11 18:33:36,0xe84deef367b10bf18eaa2289f688cd52505814107a956b8a753ab44b17b8aa1c,13,0xc25ae49e6862bba9584715e58e77e49eb8e9ae9f19fab0f790b40df07b546e42,0x4087d0e6e513f260de87408bee9334a5742cfdf4,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,0xfea9b099e309b690ca403fe7522d258c6083fe64,448678467329.0,Cronos Coin,CRO,8,131,343303,82000000000,278147,11396195,deprecated,4342098
9,10842278,2020-09-11 18:45:04,0x79b716a6d1056ec1e5aa58980ab22c5f73207c44356cda43ae7c8df42a5c6306,16,0x0edfdadc53369057033064069b3ce19875eac053dc49bc99e9a8afd26125e788,0xfea9b099e309b690ca403fe7522d258c6083fe64,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b,0x4f2bc163c8758d7f88771496f7b0afde767045f3,100000000000.0,Cronos Coin,CRO,8,115,177885,94000000000,177885,10758868,deprecated,4342048
