,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10448898,2020-07-13 03:54:56,0xdc5fbe94738507d46d144e0db67f3d4979ea0170801f9567ee52cf02e68eee88,2389021,0x265f814002a0d81c29c8a0ce4142d7a989430153cab68aeb55da003a7c55c3e2,0x0681d8db095565fe8a346fa0277bffde9c0edbbf,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0xfeebc19e523bb0a586ba6b0294cee76d8e8d5ff8,4.479865e+20,Matic Token,MATIC,18,37,207128,50000000000,52228,1671687,deprecated,4735720
1,10448952,2020-07-13 04:04:45,0x118bddc2e2ddc368506f0a3fe92d34dd8b2965cda3f9d9d9b5e3c3138fe3ea06,2416634,0x5ec7341f5d8328b615f3f68f29a2369fc4510bcdae3432cbf168de739a5e4f3b,0xd551234ae421e3bcba99a0da6d736074f22192ff,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0xfeebc19e523bb0a586ba6b0294cee76d8e8d5ff8,8.944e+21,Matic Token,MATIC,18,82,207128,50000000000,37228,3012640,deprecated,4735666
2,10449028,2020-07-13 04:24:57,0x029d97bea1359a8ec982515e55d8663b938809c963a5089a9da1df755eaee757,1,0x770e5a9ad3acd437faa088b31d46dae5b366a19467cc9c493a2504c970f0e7a9,0x0000000000000000000000000000000000000000,0x13239ae75da684c73c23712b7da385d130d3eaa1,0xfeebc19e523bb0a586ba6b0294cee76d8e8d5ff8,9.389e+21,,,0,104,374323,36000000000,215251,11302827,deprecated,4735590
3,10449028,2020-07-13 04:24:57,0x029d97bea1359a8ec982515e55d8663b938809c963a5089a9da1df755eaee757,1,0x770e5a9ad3acd437faa088b31d46dae5b366a19467cc9c493a2504c970f0e7a9,0xfeebc19e523bb0a586ba6b0294cee76d8e8d5ff8,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,0x5e3ef299fddf15eaa0432e6e66473ace8c13d908,9.389e+21,Matic Token,MATIC,18,104,374323,36000000000,215251,11302827,deprecated,4735590
4,10760561,2020-08-30 06:19:52,0xb6d134a07c5dd8b45569657e7c83969219517583443595a0dfda86194d9f2da4,2,0xc616acaebdd36295f7905f3dc099c4b5c61a3e99b5632fe78f430eac11667adb,0x73994f935b23511686ce1dd59c295e5100031f4b,0xa8006c4ca56f24d6836727d106349320db7fef82,0xfeebc19e523bb0a586ba6b0294cee76d8e8d5ff8,5715860749.0,Internxt,INXT,8,96,153276,201000000000,113939,7006323,deprecated,4424057
5,10769583,2020-08-31 15:46:11,0x576d6bbf20cdec05a28f593a7ccf92684c67052aa451a91999bdbe35d59496fb,3,0xd06379df8626dd317b58a9399586e3ee1b070974b50d243e4972ef2a38da7075,0xd58b1b5d2148f744e9eb3a87f20bebf3ca5f8974,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xfeebc19e523bb0a586ba6b0294cee76d8e8d5ff8,9.04667538600759e+18,YFValue,YFV,18,155,301991,293000000000,252897,10936406,deprecated,4415035
6,10770357,2020-08-31 18:33:34,0xe1242e618fd2c81fb38e2fff99e817f87bc01217bc6b0fb4a2209eab610aa873,4,0x2bcd8a329d52ab72a82af5ac4f6d5761c3e506b57af6a6119ef8c4162b34a223,0x3aeee5ba053ef8406420dbc5801fc95ec57b0e0a,0x30f271c9e86d2b7d00a6376cd96a1cfbd5f0b9b3,0xfeebc19e523bb0a586ba6b0294cee76d8e8d5ff8,1.625791992858634e+21,Decentr,DEC,18,77,166112,301000000000,125426,6106671,deprecated,4414261
7,10775299,2020-09-01 12:33:36,0xfae2835913b5924cd70b4085d644e2b3d622c4a88aa93d41d9437463a07d0229,6,0x48da2874582f65eeb1972421872b874799e70718bb38d57a94bc1759fb1b3193,0xe29219875b31bf2f4785b096a26a78219d0bc3ec,0xaea5e11e22e447fa9837738a0cd2848857748adf,0xfeebc19e523bb0a586ba6b0294cee76d8e8d5ff8,9.40307744451338e+18,SocialFinance,SOFI,18,95,152801,450000000000,125530,5380958,deprecated,4409319
8,10878459,2020-09-17 08:02:51,0x353a32216bf186c79babbc6d523823752e66ba5be19815501adf9ee92e5ea50c,8,0xaba264d7891961f9cfeb2070ece692289c6ad041a6e60656f73364eee0861a41,0x090d4613473dee047c3f2706764f49e0821d256e,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xfeebc19e523bb0a586ba6b0294cee76d8e8d5ff8,4e+20,Uniswap,UNI,18,48,200000,800000000000,81837,2329350,deprecated,4306159
9,10878944,2020-09-17 09:47:22,0x22406acbfe81ed128c144b182050f106e100ab846a35e65bdc8bc9ac338fae54,10,0xd29a823474ce3d2b58d78bce79b663c896f83f59c9010f503deceea2db062c9a,0xfeebc19e523bb0a586ba6b0294cee76d8e8d5ff8,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0xd3d2e2692501a5c9ca623199d38826e513033a17,4e+20,Uniswap,UNI,18,85,200000,770000000000,98123,4454388,deprecated,4305674
10,10883256,2020-09-18 01:30:46,0x1a4dded5fb772f404101f32372fbb12f9c36442de8c69287d4d2709e9f9f2c58,12,0x1f2193f850dd0db40c11c56d40074af8255dca77f9fef8b8bffcfbc305750fca,0xfeebc19e523bb0a586ba6b0294cee76d8e8d5ff8,0x45f24baeef268bb6d63aee5129015d69702bcdfa,0xd58b1b5d2148f744e9eb3a87f20bebf3ca5f8974,9.04667538600759e+18,YFValue,YFV,18,185,234408,203000000000,180703,7126346,deprecated,4301362
11,10883299,2020-09-18 01:39:43,0xfaa5f0c3bfeb5df81814475e73287ec85a9e9751f70cdfd7193d1af1ced6b64c,14,0xf40836fa60e94cdb515885b9ea205fd3fcba6f96a3e991d8237ccdd2ac0a4857,0xfeebc19e523bb0a586ba6b0294cee76d8e8d5ff8,0x30f271c9e86d2b7d00a6376cd96a1cfbd5f0b9b3,0x3aeee5ba053ef8406420dbc5801fc95ec57b0e0a,1.625791992858634e+21,Decentr,DEC,18,151,169467,194000000000,113779,7440115,deprecated,4301319
12,10883391,2020-09-18 02:00:41,0xb053e5ad31d56c71db173c2e2712b1eb3ce6ebfa672dce3873c22e626ff2af22,16,0x05c2a716cb13fb410123b7482eb2f7ad277922f2f5d64739a842314e215e9f28,0xfeebc19e523bb0a586ba6b0294cee76d8e8d5ff8,0xa8006c4ca56f24d6836727d106349320db7fef82,0x73994f935b23511686ce1dd59c295e5100031f4b,5715860749.0,Internxt,INXT,8,180,167271,193000000000,111783,12097233,deprecated,4301227
13,10929534,2020-09-25 03:59:46,0xe7746cd296e3720c5ea6eaf9c1b373e37225c1334e21829a2541d8c073a3ef86,757839,0x7c36144dd0c10cd2ea55736b08cc0500f8fd6ccef0f475f87f1c80db6c1a6f14,0x75e89d5979e4f6fba9f97c104c2f0afb3f1dcb88,0xd321ca7cd7a233483b8cd5a11a89e9337e70df84,0xfeebc19e523bb0a586ba6b0294cee76d8e8d5ff8,8.8315e+20,VI,VI,18,197,51318,106800000000,51318,9744895,deprecated,4255084
14,10964009,2020-09-30 13:22:19,0x9848241d569a1d46bcdd155d4d9b1556ce7ed8a71c8ba6db21b4cfdf4d8895eb,18,0xebc9d8a9dc3b986e12386471c09e9409854d76bd3c55252429dd8d32119d4dd7,0x32ce7e48debdccbfe0cd037cc89526e4382cb81b,0x62359ed7505efc61ff1d56fef82158ccaffa23d7,0xfeebc19e523bb0a586ba6b0294cee76d8e8d5ff8,1.4782418106337888e+17,cVault.finance,CORE,18,146,168430,98000000000,139517,8701481,deprecated,4220609
