,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10775312,2020-09-01 12:38:19,0xcdde85727ff94a59811d2daa9e661183a2b9e3969e9e7d419d7669a162c1cf5f,91,0xbbd104cb82ed34779ee5cc150cf238b93d276d0d33c6a7161da533a1d6048640,0x7e4daeb8921582aaa4cbb40825629368db46ccec,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0xff8771d67c88910753617470f0985cd342e01366,1.1097996395546214e+18,YFII.finance,YFII,18,175,76728,476000000000,36152,8444444,deprecated,4408888
1,10775567,2020-09-01 13:31:55,0x051283c2698bff854c5198f168fdc66f04f77fadfc450506650b4f003a30fd04,1,0xbc721ae4ab5e9a32a51ab81f481ac020b6d53a05290df8430f810dae54d728c3,0xff8771d67c88910753617470f0985cd342e01366,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0x8973be4402bf0a39448f419c2d64bd3591dd2299,1.1097996395546214e+18,YFII.finance,YFII,18,40,209536,450000535717,177098,2896022,deprecated,4408633
2,10775567,2020-09-01 13:31:55,0x051283c2698bff854c5198f168fdc66f04f77fadfc450506650b4f003a30fd04,1,0xbc721ae4ab5e9a32a51ab81f481ac020b6d53a05290df8430f810dae54d728c3,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xdac17f958d2ee523a2206206994597c13d831ec7,0xff8771d67c88910753617470f0985cd342e01366,7510093824.0,Tether USD,USDT,6,40,209536,450000535717,177098,2896022,deprecated,4408633
3,10775587,2020-09-01 13:35:48,0x11687edcad3cbb70caa228281aadd99273c588fc5a18728c548e2b1a48127e0c,4,0x4968d6c6dacf476b208da322b433cb34c975d1846f7fda8c1231278b0f7d81ac,0xff8771d67c88910753617470f0985cd342e01366,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,7510093824.0,Tether USD,USDT,6,127,201391,463000000000,145569,10540918,deprecated,4408613
4,10775587,2020-09-01 13:35:48,0x11687edcad3cbb70caa228281aadd99273c588fc5a18728c548e2b1a48127e0c,4,0x4968d6c6dacf476b208da322b433cb34c975d1846f7fda8c1231278b0f7d81ac,0x8973be4402bf0a39448f419c2d64bd3591dd2299,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0xff8771d67c88910753617470f0985cd342e01366,1.0454793318257503e+18,YFII.finance,YFII,18,127,201391,463000000000,145569,10540918,deprecated,4408613
5,10775608,2020-09-01 13:38:47,0x23bc1766da9a4e6e0af29497967a7687359960720558030e218c838cdba549e1,5,0xed8d65b9c9042e748199fed823a417edbd6f03517733c36c4957dbb06d47d581,0xff8771d67c88910753617470f0985cd342e01366,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0x8973be4402bf0a39448f419c2d64bd3591dd2299,1.0454793318257503e+18,YFII.finance,YFII,18,101,222964,460000000000,165082,6130821,deprecated,4408592
6,10775608,2020-09-01 13:38:47,0x23bc1766da9a4e6e0af29497967a7687359960720558030e218c838cdba549e1,5,0xed8d65b9c9042e748199fed823a417edbd6f03517733c36c4957dbb06d47d581,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xdac17f958d2ee523a2206206994597c13d831ec7,0xff8771d67c88910753617470f0985cd342e01366,7322206155.0,Tether USD,USDT,6,101,222964,460000000000,165082,6130821,deprecated,4408592
7,10775619,2020-09-01 13:41:37,0x62aa67d5818295ea66954d79104422757c88507e05e4305f776dbf73c2385fde,6,0x37bbad33e756c63a8fded5cc0f5d5b366bd2eada203296018643359b8a1be38c,0xff8771d67c88910753617470f0985cd342e01366,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,7322206155.0,Tether USD,USDT,6,123,201417,476000000000,157609,6141477,deprecated,4408581
8,10775619,2020-09-01 13:41:37,0x62aa67d5818295ea66954d79104422757c88507e05e4305f776dbf73c2385fde,6,0x37bbad33e756c63a8fded5cc0f5d5b366bd2eada203296018643359b8a1be38c,0x8973be4402bf0a39448f419c2d64bd3591dd2299,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0xff8771d67c88910753617470f0985cd342e01366,1.0474897558866106e+18,YFII.finance,YFII,18,123,201417,476000000000,157609,6141477,deprecated,4408581
9,10775699,2020-09-01 13:58:31,0xb9428c375e0a542b8a25fcfdf255bf132f4031d5f32c93aa84df8675130ca834,7,0x841ab4560567b7ade3bb9cd974d02d652ed4cc1500becedadb6859f19c88abe8,0xff8771d67c88910753617470f0985cd342e01366,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0x8973be4402bf0a39448f419c2d64bd3591dd2299,1.0474897558866106e+18,YFII.finance,YFII,18,210,168137,469000000000,112570,11477196,deprecated,4408501
10,10775734,2020-09-01 14:07:52,0x9ab00b6c635976f0a0c91000aef751e13780414b1939b66e8853fad0a328ef39,8,0xb57192840f3a03559cea7d5b20a80b4466c11a075b84d1e8dd8aa8e7c0ddfc1d,0x8973be4402bf0a39448f419c2d64bd3591dd2299,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0xff8771d67c88910753617470f0985cd342e01366,1.0399384001203698e+18,YFII.finance,YFII,18,8,151421,477000000000,112280,597324,deprecated,4408466
11,10775748,2020-09-01 14:11:22,0x5fc1cd894b4cf0f40715f782b185c3a077f7caf74f465d285b6c0b86bebec07c,9,0xd51250dd5900396a4a4c457eb6533afd7ec818b6763fb51b9556c77086a086d8,0xff8771d67c88910753617470f0985cd342e01366,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0x8973be4402bf0a39448f419c2d64bd3591dd2299,1.0399384001203698e+18,YFII.finance,YFII,18,56,222964,477000000000,165082,3337763,deprecated,4408452
12,10775748,2020-09-01 14:11:22,0x5fc1cd894b4cf0f40715f782b185c3a077f7caf74f465d285b6c0b86bebec07c,9,0xd51250dd5900396a4a4c457eb6533afd7ec818b6763fb51b9556c77086a086d8,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,0xdac17f958d2ee523a2206206994597c13d831ec7,0xff8771d67c88910753617470f0985cd342e01366,6814834419.0,Tether USD,USDT,6,56,222964,477000000000,165082,3337763,deprecated,4408452
13,10775786,2020-09-01 14:20:23,0x7e0a94bd3340007609f128b61904513c19829310057b577518f8e56ef24f9ab2,12,0xa84a1d8133b2f0c19d8e1e15396b3d205599902944697a25580366896825cc56,0xff8771d67c88910753617470f0985cd342e01366,0xdac17f958d2ee523a2206206994597c13d831ec7,0x0d4a11d5eeaac28ec3f61d100daf4d40471f1852,6814834419.0,Tether USD,USDT,6,100,187976,477000000000,157597,6582428,deprecated,4408414
14,10775786,2020-09-01 14:20:23,0x7e0a94bd3340007609f128b61904513c19829310057b577518f8e56ef24f9ab2,12,0xa84a1d8133b2f0c19d8e1e15396b3d205599902944697a25580366896825cc56,0x8973be4402bf0a39448f419c2d64bd3591dd2299,0xa1d0e215a23d7030842fc67ce582a6afa3ccab83,0xff8771d67c88910753617470f0985cd342e01366,9.770464351136886e+17,YFII.finance,YFII,18,100,187976,477000000000,157597,6582428,deprecated,4408414
