,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,tokenID,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10945159,2020-09-27 14:29:10,0xb89c976beb12111f41c46319f3f5d1ec6e44acb37dc2b4dd63554fc1cc6db8f0,1056,0x68fc0a608d85ea49edf624241a7e7da22e2bfdc8dc2adee781ad48d95a91468a,0x0000000000000000000000000000000000000000,0x27b4bc90fbe56f02ef50f2e2f79d7813aa8941a7,0x251f28593872578a5ead1574eef61154c344b0a2,752,gego.dego,GEGO,0,30,639889,72000000000,423822,2687603,deprecated,4321231
1,10958187,2020-09-29 15:34:04,0x62681ae5edec727841b9401058b60666fee681cc6fa01e5cf8d020b6858f3bf8,1076,0x5967b8a014cbe22da54e1cf99f009e578452ed34b4a0381401a498d4d2f2fc6c,0x251f28593872578a5ead1574eef61154c344b0a2,0x27b4bc90fbe56f02ef50f2e2f79d7813aa8941a7,0xbd277e47d0ecdd5db6c57eda717dd8f5a329edec,752,gego.dego,GEGO,0,164,554323,252000000000,324549,9174010,deprecated,4308203
2,11048111,2020-10-13 15:27:26,0x0f973ca5cc57ea003e270e89573b453c0fdac096f666e734de84fcfc1269fc5a,1269,0xb15c64365401db65a95ee14840073bf6ac63ea826f065a7c838f3d16d0f8146f,0x7c0ace9846a0abdd9222c74d46e3c807bacd3870,0x27b4bc90fbe56f02ef50f2e2f79d7813aa8941a7,0x251f28593872578a5ead1574eef61154c344b0a2,44097,gego.dego,GEGO,0,81,407584,84000000000,241723,6445521,deprecated,4218279
3,13282961,2021-09-23 16:06:02,0xaec4c9b08e7b3af2fd76c44fbaec1c074c85a91a98b05783c99de26b47dcce1d,330,0xcfff74cffeaf359a8b4ad67e2dc01dd53217e6995e3b333d61a8a7ba0f8745b7,0x0000000000000000000000000000000000000000,0x78f190efe7b9198b76207f14d90ba96fb782680e,0x251f28593872578a5ead1574eef61154c344b0a2,1128,Forever Fomo Duck Squad,FFDS,0,114,150304,256981897427,150304,4582589,deprecated,1983429
4,13286845,2021-09-24 06:20:05,0xc036cee27127f6ed0cd0ba69bfc6f1762ec25b21d10f5f4237d1e28d7a8a97eb,179,0x3778385d425fcd76b3addf24c91c9a8593617f5cd32f4b3f12157aaff158433d,0x6722f46a458a35858cdd76f6506f7de9e37e7949,0xce50f3ca1f1dbd6fa042666bc0e369565dda457d,0x251f28593872578a5ead1574eef61154c344b0a2,1179,The Heart Project,HEARTS,0,62,148441,53000000000,89361,4215952,deprecated,1979545
5,13286853,2021-09-24 06:21:33,0x0019c13b638793db06289754a1aa4a0f51d18983bc6df4b0fa05ea951d21c806,180,0xca74481852a792d08ab0a8092a691e0e2c7a009c81a2ffb86e74bf7ffb8d16be,0x6722f46a458a35858cdd76f6506f7de9e37e7949,0xce50f3ca1f1dbd6fa042666bc0e369565dda457d,0x251f28593872578a5ead1574eef61154c344b0a2,409,The Heart Project,HEARTS,0,185,122791,53000000000,77061,9934430,deprecated,1979537
6,13286862,2021-09-24 06:23:53,0xe18babe5a5bef7ebc6481a0b0c739b2878ef7a2a8c88098c0b833c954f6862b1,181,0x962050b28e9894b5553a485fcec65b50f5fcfbb5afdec4b6f0ec9dfef2f129e4,0x6722f46a458a35858cdd76f6506f7de9e37e7949,0xce50f3ca1f1dbd6fa042666bc0e369565dda457d,0x251f28593872578a5ead1574eef61154c344b0a2,684,The Heart Project,HEARTS,0,30,122791,55000000000,77061,1381318,deprecated,1979528
7,13313102,2021-09-28 08:05:38,0x339663c01b48e49b6aeae71c3eb2948404f646fb675429c69fe0bfbcc79a84f7,1,0x9a3e5b6e7735b19ce10d4b38a7d0f66ecdd0aaee21ef297aa24c86f3c48f4c16,0xae73b95132342f5b9ad6c0eeef7210e9d395c3d2,0x78f190efe7b9198b76207f14d90ba96fb782680e,0x251f28593872578a5ead1574eef61154c344b0a2,3851,Forever Fomo Duck Squad,FFDS,0,68,96175,90161650426,86575,4606253,deprecated,1953288
8,13313107,2021-09-28 08:06:39,0x15e56595dda901638ced93adcfb91a7c86401924a82a452273b739a63245c02b,696,0x405e20e8f6f3ed7f10f4007bf036b67ef7ae592981d0d8b10d6bac200cf7391d,0x0000000000000000000000000000000000000000,0xceff847de8289a5d0d28d91c3ceb7fa2e17eb27a,0x251f28593872578a5ead1574eef61154c344b0a2,136,vHIGH Vesting Voucher,avvHIGH,0,320,511784,77218759062,504289,19562064,deprecated,1953283
9,13313108,2021-09-28 08:07:22,0x911fa7dcec5b37dbe49f0b9a15fabe390540d9057bb74768bd16b167506d94fa,697,0x1134199025cc9b4c344b46348e5e3407e73960f997ae023964d3ce3d23e08ce1,0x0000000000000000000000000000000000000000,0xceff847de8289a5d0d28d91c3ceb7fa2e17eb27a,0x251f28593872578a5ead1574eef61154c344b0a2,137,vHIGH Vesting Voucher,avvHIGH,0,156,511784,86548675585,487189,8371194,deprecated,1953282
