,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,tokenID,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,13668290,2021-11-23 02:44:16,0x91127b39fe06fb8b1d8c399595a71ab710d463253a7362a892ed8ba53753ea2c,34,0x354a0c306afad8dca18ac4d520532a24f04a61c352627657a43eed59cb463b7b,0x0000000000000000000000000000000000000000,0x0b4b2ba334f476c8f41bfe52a428d6891755554d,0x443d6aa05f9c7a3c7001625211028bb3ce53ab13,6253,JRNY NFT Club,JNC,0,106,216679,187548925712,196981,7498044,deprecated,1597720
1,13668384,2021-11-23 03:02:40,0xdc8db03810d445d8669f986667041d160f659dacd4dfba483f321cc17cceca16,35,0xec7087f6639ae8d81f653f6316227c3dd3007d1e3cd07ab849e4bbe589134000,0x0000000000000000000000000000000000000000,0x0b4b2ba334f476c8f41bfe52a428d6891755554d,0x443d6aa05f9c7a3c7001625211028bb3ce53ab13,9772,JRNY NFT Club,JNC,0,17,197869,527625355049,179881,4405457,deprecated,1597626
2,13669919,2021-11-23 08:58:14,0xe906dcbfc1af26284674053752ca084442c17aa84a8d136a885889fd36960bd9,176,0xf9bbb724daacd77e7edc3c100b0d9c2b801af2fe61484d91a62955e184f09f23,0x443d6aa05f9c7a3c7001625211028bb3ce53ab13,0x0b4b2ba334f476c8f41bfe52a428d6891755554d,0xb9059bcf0afd466e3f3d53dd870fe4ccd30fc0a5,6253,JRNY NFT Club,JNC,0,151,316163,90771139558,228661,8812446,deprecated,1596091
3,13718873,2021-12-01 04:02:19,0x8d6ec8b858e21ee04e2ea2f429640272d71f33e68fcae0b51043e1848aeda2d9,38,0xad69a2862750ad9cc78b9574abbe15f276444e863bfb37ff941a740b8a9f4455,0x0000000000000000000000000000000000000000,0x999e88075692bcee3dbc07e7e64cd32f39a1d3ab,0x443d6aa05f9c7a3c7001625211028bb3ce53ab13,2955,Wizards &amp; Dragons Game,WnD,0,413,888054,189335459963,585324,25407574,deprecated,1547137
4,13718873,2021-12-01 04:02:19,0x8d6ec8b858e21ee04e2ea2f429640272d71f33e68fcae0b51043e1848aeda2d9,38,0xad69a2862750ad9cc78b9574abbe15f276444e863bfb37ff941a740b8a9f4455,0x0000000000000000000000000000000000000000,0x999e88075692bcee3dbc07e7e64cd32f39a1d3ab,0x443d6aa05f9c7a3c7001625211028bb3ce53ab13,2956,Wizards &amp; Dragons Game,WnD,0,413,888054,189335459963,585324,25407574,deprecated,1547137
5,13730151,2021-12-02 23:18:30,0x989f3af199e142c9abd4f8251275c321425ed3cdaef2f9f5677f134319a79d35,290,0x9b8dd61a0638e63fa1bad61b3696a7b65caa78eb9b8e691ad118c81ca249e27e,0x443d6aa05f9c7a3c7001625211028bb3ce53ab13,0x999e88075692bcee3dbc07e7e64cd32f39a1d3ab,0x09fdc89c40498bc3becaadcf6397c7be2232ff05,2955,Wizards &amp; Dragons Game,WnD,0,463,320892,94306639126,232299,28266365,deprecated,1535859
6,13730264,2021-12-02 23:41:49,0x5b3d8320220c6bddefcec3a6bf5f9cebada5401cc3a3c66fb3124d0259c4445e,6,0x60458ef82ff87fc39c4dae1c0547edbb5e4a037fdee9f5f8e62a27de0d8682dc,0x443d6aa05f9c7a3c7001625211028bb3ce53ab13,0x999e88075692bcee3dbc07e7e64cd32f39a1d3ab,0x80581edf17b5cc6a5a561eed695e53598bd06545,2956,Wizards &amp; Dragons Game,WnD,0,75,307541,82066899204,222029,5805325,deprecated,1535746
7,13747056,2021-12-05 16:19:39,0x1a036541422cdf163d94c3dd53d4e9c81c54d4af443f3859720af400b0b797e4,47,0xa7040b52ae6502623637ad8e695869ec9983745bbb2e839b13650a45da7a9a4f,0x0000000000000000000000000000000000000000,0x1720d3a3984c75e6514316c5aec903651e4abe28,0x443d6aa05f9c7a3c7001625211028bb3ce53ab13,383,Shopverse,SHOP,0,304,250000,143434650210,202098,15970376,deprecated,1518954
8,13750363,2021-12-06 05:06:36,0xd3105ae3951ef84a22dcc042405b978c8eefe2541d170bafb9c5dd5d8202f2d6,48,0x0996958288ad5f0c4898325470b26372b3da7c77f35c51d5dc09b847b0711a1e,0x0000000000000000000000000000000000000000,0x10c4a95e0ff3a79b854683484dc733b9522b607b,0x443d6aa05f9c7a3c7001625211028bb3ce53ab13,5383,RADSANTAS,SNTA,0,247,600000,115935580277,380102,27875269,deprecated,1515647
9,13750363,2021-12-06 05:06:36,0xd3105ae3951ef84a22dcc042405b978c8eefe2541d170bafb9c5dd5d8202f2d6,48,0x0996958288ad5f0c4898325470b26372b3da7c77f35c51d5dc09b847b0711a1e,0x0000000000000000000000000000000000000000,0x10c4a95e0ff3a79b854683484dc733b9522b607b,0x443d6aa05f9c7a3c7001625211028bb3ce53ab13,5384,RADSANTAS,SNTA,0,247,600000,115935580277,380102,27875269,deprecated,1515647
