,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,tokenID,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,13160521,2021-09-04 17:19:03,0xf2be22d0dc3f504c57972e52bbfe0b19fcdee84a996055ff64168f56c6481cd4,261,0xc6c3284fbd1694e4ec391fe931b20c2e333565fabfda461dddd64665ccb660b7,0x0000000000000000000000000000000000000000,0x1dfe7ca09e99d10835bf73044a23b73fc20623df,0x6ed5d6f66916b393335d8568f64f0029b3a2d911,20055,More Loot,MLOOT,0,295,227194,214968249843,146475,26794110,deprecated,2105456
1,13160713,2021-09-04 17:58:04,0x54b4171cf1d20710e3d352e108f0782a500a3fc11f24a97d06a5112e05d24431,262,0x29ec3c325ae336e6367ad1ad063f717fcccbd711d195d3e425caeb17deaf7ab7,0x0000000000000000000000000000000000000000,0x1dfe7ca09e99d10835bf73044a23b73fc20623df,0x6ed5d6f66916b393335d8568f64f0029b3a2d911,22056,More Loot,MLOOT,0,156,231394,121107823655,149275,17307438,deprecated,2105264
2,13191920,2021-09-09 13:55:01,0x3b2f4da3460dddc9f12fd59649648a423576ed0ce7199da97313e3b971c9870f,265,0x85ecb689c0a8912688e5b4c54f65d70f692277515872c9c960b76c7faef8bb30,0x0000000000000000000000000000000000000000,0xad5f6cdda157694439ef9f6dd409424321c74628,0x6ed5d6f66916b393335d8568f64f0029b3a2d911,6556,Fewmans,FEW,0,361,214705,203228374620,143137,27525403,deprecated,2074057
3,13373013,2021-10-07 16:56:25,0x8d9b5b2d903c01e4ef3c8a9627bc9b18cf0901df19de7b18389af43000474fbf,270,0x5e435e6ab1377d58c6a87b9295fea847d177b72d2533c0396653c1a5527e7356,0x0000000000000000000000000000000000000000,0xf513bd4ba753548505a245be1877c39a4f0b5c96,0x6ed5d6f66916b393335d8568f64f0029b3a2d911,196,Ribbon OG,RIBBONOG,0,387,80140,106876596826,80140,25054702,deprecated,1892964
4,13419662,2021-10-15 01:10:59,0x742dc712add89fed2226fcb5c5caad7657cd779ac470dd35a8874da711fd2a77,271,0xc1821c1fca13b16e7d275d3c66eae0e30f25787fdf7e7d14d77501f4dc75b5cc,0x0000000000000000000000000000000000000000,0x6e1b98153399d5e4e710c1a0b803c74d3d7f2957,0x6ed5d6f66916b393335d8568f64f0029b3a2d911,2608,CryptoFootball2021,FOOT,0,250,3395010,104344980085,2258358,21118578,deprecated,1846315
5,13419662,2021-10-15 01:10:59,0x742dc712add89fed2226fcb5c5caad7657cd779ac470dd35a8874da711fd2a77,271,0xc1821c1fca13b16e7d275d3c66eae0e30f25787fdf7e7d14d77501f4dc75b5cc,0x0000000000000000000000000000000000000000,0x6e1b98153399d5e4e710c1a0b803c74d3d7f2957,0x6ed5d6f66916b393335d8568f64f0029b3a2d911,2609,CryptoFootball2021,FOOT,0,250,3395010,104344980085,2258358,21118578,deprecated,1846315
6,13419662,2021-10-15 01:10:59,0x742dc712add89fed2226fcb5c5caad7657cd779ac470dd35a8874da711fd2a77,271,0xc1821c1fca13b16e7d275d3c66eae0e30f25787fdf7e7d14d77501f4dc75b5cc,0x0000000000000000000000000000000000000000,0x6e1b98153399d5e4e710c1a0b803c74d3d7f2957,0x6ed5d6f66916b393335d8568f64f0029b3a2d911,2610,CryptoFootball2021,FOOT,0,250,3395010,104344980085,2258358,21118578,deprecated,1846315
7,13419662,2021-10-15 01:10:59,0x742dc712add89fed2226fcb5c5caad7657cd779ac470dd35a8874da711fd2a77,271,0xc1821c1fca13b16e7d275d3c66eae0e30f25787fdf7e7d14d77501f4dc75b5cc,0x0000000000000000000000000000000000000000,0x6e1b98153399d5e4e710c1a0b803c74d3d7f2957,0x6ed5d6f66916b393335d8568f64f0029b3a2d911,2611,CryptoFootball2021,FOOT,0,250,3395010,104344980085,2258358,21118578,deprecated,1846315
8,13419662,2021-10-15 01:10:59,0x742dc712add89fed2226fcb5c5caad7657cd779ac470dd35a8874da711fd2a77,271,0xc1821c1fca13b16e7d275d3c66eae0e30f25787fdf7e7d14d77501f4dc75b5cc,0x0000000000000000000000000000000000000000,0x6e1b98153399d5e4e710c1a0b803c74d3d7f2957,0x6ed5d6f66916b393335d8568f64f0029b3a2d911,2612,CryptoFootball2021,FOOT,0,250,3395010,104344980085,2258358,21118578,deprecated,1846315
9,13419662,2021-10-15 01:10:59,0x742dc712add89fed2226fcb5c5caad7657cd779ac470dd35a8874da711fd2a77,271,0xc1821c1fca13b16e7d275d3c66eae0e30f25787fdf7e7d14d77501f4dc75b5cc,0x0000000000000000000000000000000000000000,0x6e1b98153399d5e4e710c1a0b803c74d3d7f2957,0x6ed5d6f66916b393335d8568f64f0029b3a2d911,2613,CryptoFootball2021,FOOT,0,250,3395010,104344980085,2258358,21118578,deprecated,1846315
