,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,tokenID,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,12376634,2021-05-05 21:18:56,0xecae0d95aed6bf2a46821dc302e34c8cd4226730bfbfa646cd214094d18ebffe,1422,0xc7204c015d2b40fa500cfec752c5167923a9eae949a910844fafe03da434a3cb,0x0000000000000000000000000000000000000000,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x7532a9e3e9475337c8a907428e35932a20959fdf,879.0,Uniswap V3: Positions NFT,UNI-V3-POS,0,148,505830,64000000000,457046,14815376,deprecated,2889746
1,12555244,2021-06-02 13:02:17,0x15197c960f24e3440ef40c52c28a45111a75c4c5daeefbe3a3d46686d833ff98,1583,0x47854cc5fef24570a37809c1f5e3ff0a9c7a9a224a408211d0c92263970203cc,0x0000000000000000000000000000000000000000,0x58a3c68e2d3aaf316239c003779f71acb870ee47,0x7532a9e3e9475337c8a907428e35932a20959fdf,6.39142988851913e+49,Curve SynthSwap,CRV/SS,0,52,1299805,32000000000,948771,5896314,deprecated,2711136
2,12555287,2021-06-02 13:13:32,0xa12ac5009fa4cc908b88e6b11ed50018abc31c64a399d0c8354ba9a94d414c77,1584,0x1ea00f3f35ef6c70c159e6cf5156676740f4499eb73bc15448ef0158e3c3b273,0x7532a9e3e9475337c8a907428e35932a20959fdf,0x58a3c68e2d3aaf316239c003779f71acb870ee47,0x0000000000000000000000000000000000000000,6.39142988851913e+49,Curve SynthSwap,CRV/SS,0,85,774613,32000000000,363211,5243065,deprecated,2711093
3,12595865,2021-06-08 19:48:12,0xf27d25caffb7b15b8d5e9855277ef82b0c7672b5ffc39bdf67cf75475bb22793,1666,0x951c8273f2bd12b6e7f87d9507902b8700229ab75eeb73292e6ff7851bbc36f1,0x0000000000000000000000000000000000000000,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x7532a9e3e9475337c8a907428e35932a20959fdf,40689.0,Uniswap V3: Positions NFT,UNI-V3-POS,0,7,526858,55000000000,424059,4128512,deprecated,2670515
4,12606237,2021-06-10 10:33:00,0xb67580165b03cf7c146918ecaedf1b742bee28737ee1ff3c5a32628725cbd71b,1672,0x131ef1b699c9b5ee3625cd3938516244f7dfb23d2a780a0e95063bf7932f6757,0x0000000000000000000000000000000000000000,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x7532a9e3e9475337c8a907428e35932a20959fdf,42563.0,Uniswap V3: Positions NFT,UNI-V3-POS,0,100,468978,14000000000,390825,9908935,deprecated,2660143
5,12613388,2021-06-11 13:00:02,0x3be625f761db3dd99644cbffde3de03708f6c30915c663311b4747c77726520c,1698,0xd98c886bbd629a1d27d4b141411949782dcf385aec71182c2e8127e2e53340de,0x0000000000000000000000000000000000000000,0x58a3c68e2d3aaf316239c003779f71acb870ee47,0x7532a9e3e9475337c8a907428e35932a20959fdf,1.2499512615509622e+49,Curve SynthSwap,CRV/SS,0,83,1296169,16000000000,960747,5596844,deprecated,2652992
6,12613421,2021-06-11 13:09:28,0x390d7809a9e3af17b5589315fa08e9049810d61a23c95647a8815f323ce71c96,1699,0x3bc7ad7fa549849bb0e9e11a665c1d6fcd3799c5254e23146062b1e85669a001,0x7532a9e3e9475337c8a907428e35932a20959fdf,0x58a3c68e2d3aaf316239c003779f71acb870ee47,0x0000000000000000000000000000000000000000,1.2499512615509622e+49,Curve SynthSwap,CRV/SS,0,183,775022,16000000000,363552,13756810,deprecated,2652959
7,12628499,2021-06-13 21:14:33,0x2e7b22b7517eb4025745a5f0c8b76483b1c8601ace1431a8adf39f54d56f748e,1746,0x8aff29240e5fb9dab08a8b27d213b332180721910c6e412c940ef227b654b2d4,0x0000000000000000000000000000000000000000,0x58a3c68e2d3aaf316239c003779f71acb870ee47,0x7532a9e3e9475337c8a907428e35932a20959fdf,3.0037532263480457e+49,Curve SynthSwap,CRV/SS,0,101,1299515,14000000000,963523,10429641,deprecated,2637881
8,12628588,2021-06-13 21:35:45,0x512e43c5b06da2697416c6408354579b71ed30564d3bd63691a82362c9e91d4e,1747,0x539da7e255d0bfe838e158b30a79fc0f3a26d681e867274045e6526e4dea68a6,0x7532a9e3e9475337c8a907428e35932a20959fdf,0x58a3c68e2d3aaf316239c003779f71acb870ee47,0x0000000000000000000000000000000000000000,3.0037532263480457e+49,Curve SynthSwap,CRV/SS,0,57,775008,14000000000,363546,6378922,deprecated,2637792
9,12910399,2021-07-27 21:12:36,0x75e957598b3abc638043b63a7bc6403bd43725414b83a3290059c4ad0695e095,1940,0xa0df4e855f1059debbe17ab7a7b1c96fae911cd80908848c0bb4b9fdbbd9de63,0x0000000000000000000000000000000000000000,0xd4d871419714b778ebec2e22c7c53572b573706e,0x7532a9e3e9475337c8a907428e35932a20959fdf,2946.0,Stoner Cats,TOKEn,0,23,350892,710069000000,345900,7938812,deprecated,2355981
