,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,tokenID,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10902198,2020-09-20 23:17:18,0xf2affac4ee7740a34b03e1e680e830825c08825097861667e877854ff9787a4c,128,0x364a93665832ed9c8deb38c082b8089771602ffc39ec8ae3dcf45585056ec826,0x0000000000000000000000000000000000000000,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x75726bbefc8f0c9b4413204d8fb4ad88a4918de4,19296.0,Rarible,RARI,0,80,323334,80000000000,293940,9650771,deprecated,4363836
1,10902234,2020-09-20 23:25:29,0xf0e3a35cabbc43cdce08feb84f27c2a4329db74e95cf468bdde84cb605ef1053,129,0x3464e733e0e81f8a5f07006ca91ef06482f76daae96815ef18e10b2d6f220dc0,0x0000000000000000000000000000000000000000,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x75726bbefc8f0c9b4413204d8fb4ad88a4918de4,19300.0,Rarible,RARI,0,91,311440,80000000000,283128,11792589,deprecated,4363800
2,10902254,2020-09-20 23:29:29,0x6d3c5d7f08b7bdfe4f5b98c86c6280b19e4f9071ed93d9caee6e40464da82769,130,0x7dcd8c3997226eccad9795ee9e339b90fe89378d318a553ecfef04d352b74be2,0x0000000000000000000000000000000000000000,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x75726bbefc8f0c9b4413204d8fb4ad88a4918de4,19304.0,Rarible,RARI,0,32,311454,80000000000,283140,4140987,deprecated,4363780
3,10914143,2020-09-22 19:21:23,0x5dcd5e4aff5617e050c01bbc959700174cd21740124bc982884af1ebdb6f6a9b,132,0x1f17892f11d461769a3178f48a2b61c1a325455edfdd71fa8750ca700ff0145d,0x75726bbefc8f0c9b4413204d8fb4ad88a4918de4,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x0000000000000000000000000000000000000000,19296.0,Rarible,RARI,0,129,128797,77000000000,58545,12358951,deprecated,4351891
4,10914227,2020-09-22 19:37:21,0xb4591a3d01e8f00fe34eb7c8d6591139e9b8484d6637d88915e9e68c2fff17d4,133,0xc3179eecc34459aceffc7ca764d2fc84b811a8216d825577f1655afc75b3fe3e,0x75726bbefc8f0c9b4413204d8fb4ad88a4918de4,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x0000000000000000000000000000000000000000,19300.0,Rarible,RARI,0,39,119259,70400000000,54209,4856714,deprecated,4351807
5,10914227,2020-09-22 19:37:21,0x7e1f1866806c28d6a23ba98960375347b30dc503389ae6092689a696efea6dbb,134,0xc3179eecc34459aceffc7ca764d2fc84b811a8216d825577f1655afc75b3fe3e,0x75726bbefc8f0c9b4413204d8fb4ad88a4918de4,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x0000000000000000000000000000000000000000,19304.0,Rarible,RARI,0,40,128797,72000000000,52109,4908823,deprecated,4351807
6,12202420,2021-04-09 00:28:09,0x745788d9fcdbdb8a1050ffe5e5808c9152396b32fe3d269f0e9d4ff137470d76,64,0x1bd9f8ad03a6c74d4e2a14594640b7907bc7e15d3e235595c5dfc55b27375171,0xa72563aa923adc832b9a2a945a584d2eae53d62b,0x87cb562c65c288f2ca678535bcd26441bf696d55,0x75726bbefc8f0c9b4413204d8fb4ad88a4918de4,2592.0,DoomCatRescue,DOOM,0,60,200000,100000000000,80502,4579412,deprecated,3063614
7,12217114,2021-04-11 06:54:32,0x29ec8ef11cb96ba0b33ed2296aee31e67a6ccb15d977400a55969100aceded54,155,0x6da43c02322dfa152a0f33bf1a66b6e502bb47bad9388caafb33e3cd09e01252,0x0000000000000000000000000000000000000000,0x87cb562c65c288f2ca678535bcd26441bf696d55,0x75726bbefc8f0c9b4413204d8fb4ad88a4918de4,5002.0,DoomCatRescue,DOOM,0,141,400000,68000000000,189346,9552542,deprecated,3048920
8,12217122,2021-04-11 06:55:11,0x08aac9bd937e057edb251326b3444190ca4fc17ec1a48221d0059019b417a9de,156,0xf642e8ec60269b284ed0732e7b2d7d699aa9bd7575272d4079e1f07b79e0b100,0x0000000000000000000000000000000000000000,0x87cb562c65c288f2ca678535bcd26441bf696d55,0x75726bbefc8f0c9b4413204d8fb4ad88a4918de4,5003.0,DoomCatRescue,DOOM,0,160,400000,68000000000,174346,10801632,deprecated,3048912
9,12217127,2021-04-11 06:56:08,0xee2f464541eb515cee62e8108245faae394fb962a89f693795849213e17f4304,157,0xb5a97c519c13b291fb6f2504909c01d2bcc3f2a443d4e893e5813b07c70e74c5,0x0000000000000000000000000000000000000000,0x87cb562c65c288f2ca678535bcd26441bf696d55,0x75726bbefc8f0c9b4413204d8fb4ad88a4918de4,5004.0,DoomCatRescue,DOOM,0,152,400000,67000000000,174346,11243196,deprecated,3048907
