,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,tokenID,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10913021,2020-09-22 15:06:15,0xe016d43bfb646115565f1a3afb4bcbaa1a77faf0b7edc015be8ca1b0b68b2301,13,0xc9087b8c1b461dd713c7ae305783cdfe371ff5dbdd06f0fdffa64820c05db2c8,0x0000000000000000000000000000000000000000,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x77b6f2c41f65db84f8d5ee5c200fc95f6988eed3,21997,Rarible,RARI,0,145,323334,197000000000,293940,10309943,deprecated,4353379
1,10913114,2020-09-22 15:28:00,0x1fa43d4b400f600dcdcfbc843f5908a48b5f4881998062602895c592975b6360,15,0x94292fdef1316102c0f89b4ef38cc13be2a99502d3d10748f94122142e3d7ffe,0x0000000000000000000000000000000000000000,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x77b6f2c41f65db84f8d5ee5c200fc95f6988eed3,22007,Rarible,RARI,0,65,323320,211000000000,283128,6431934,deprecated,4353286
2,10920496,2020-09-23 18:36:38,0x368b0318f790f5f13f03cc14edc47b6dabb7563f8ac7169142f5f757952b95ed,20,0x04daab485c0abc3efdd249fdaf8257c65d7125815e4d15e835bee1b7f3427d15,0x0000000000000000000000000000000000000000,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x77b6f2c41f65db84f8d5ee5c200fc95f6988eed3,24143,Rarible,RARI,0,90,311454,109000000000,283140,10822934,deprecated,4345904
3,10927219,2020-09-24 19:27:13,0x89240ca5b92db879a0a2f3364e2fb783636f0929eb3929642f9d528410f7f52f,21,0x20cddf38335f268590469a117c6434a6463d8bafbe53b87ad7fdb1fe7ab67961,0x0000000000000000000000000000000000000000,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x77b6f2c41f65db84f8d5ee5c200fc95f6988eed3,26035,Rarible,RARI,0,61,311454,69000000000,283140,8073840,deprecated,4339181
4,10934820,2020-09-25 23:48:09,0x23e46bac8fdea630bf77a16e216503e468d52c572055b06909bbd354e32f4b03,28,0x717d50a29056183e03ca9c034f9b718a71f035ee032a291493621780487d0510,0x77b6f2c41f65db84f8d5ee5c200fc95f6988eed3,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x0000000000000000000000000000000000000000,26035,Rarible,RARI,0,120,119259,60000000000,54209,9276634,deprecated,4331580
5,11017471,2020-10-08 22:12:51,0xed4428859e49caecbb7111cef87b1a38bb677e5cebb596bc10d701b3047ecce9,41,0x0dee0cb9026e0295a444bf2a91e93776d13acb7b3b15c6568ef76ebdbbd078cf,0x0000000000000000000000000000000000000000,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x77b6f2c41f65db84f8d5ee5c200fc95f6988eed3,43385,Rarible,RARI,0,60,311454,60000000000,283140,5789513,deprecated,4248929
6,11034957,2020-10-11 15:13:49,0xb0a6e36afa7eb06ed30fb7b9a59b3e62029bbe66f29b8060d1b89fac91650624,42,0x86489cab371c6c0bb4310c76c66825875eaca2344750958ee1479384a7736b78,0x0000000000000000000000000000000000000000,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x77b6f2c41f65db84f8d5ee5c200fc95f6988eed3,45840,Rarible,RARI,0,36,311454,26000000000,283140,3727689,deprecated,4231443
7,11053779,2020-10-14 12:35:31,0x25bf8cb8368f399125bfcccbf483fca9fbe847eb09bcefb1a8d089df68a33754,51,0x3b0d10d1f044925f988463dea1a40836ff26a8125529680210d5aa00d2aefb48,0x77b6f2c41f65db84f8d5ee5c200fc95f6988eed3,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0xd387a6e4e84a6c86bd90c158c6028a58cc8ac459,21997,Rarible,RARI,0,141,119744,53000000000,89744,10448368,deprecated,4212621
8,11057195,2020-10-15 00:45:57,0x280203ba1517a514b2924bacee1e5c1e0b7f50d54cf0f337d7e33c4aefccd697,53,0x7b57e8a168cff67ba7a294275c389812e2e518d0464ea921b23aba826c0cc762,0x0000000000000000000000000000000000000000,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x77b6f2c41f65db84f8d5ee5c200fc95f6988eed3,48469,Rarible,RARI,0,104,311454,36000001459,283140,7191467,deprecated,4209205
9,11068204,2020-10-16 17:09:24,0xc087d6ec2166655e1e3dad44be7eebba756a433f0e76602f00689b653b144b8e,58,0x060d755d96061facaad0fa9d0897a3a56aa29ac5d2e62dad0966b3f9db800894,0x77b6f2c41f65db84f8d5ee5c200fc95f6988eed3,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x0000000000000000000000000000000000000000,24143,Rarible,RARI,0,41,133417,50000000000,60645,3163180,deprecated,4198196
