,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,tokenID,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,10911334,2020-09-22 08:45:01,0xcbe9d96be774cc5f3cb9bf0092ff916e78a88b6c43986db99f26ddd74965d051,97,0x28832bfc13aa669cc5c9805f2573ff8df5125a799e788272ad8bfce65036ca38,0x0000000000000000000000000000000000000000,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x954f1d97ae9c4a27d012e70ccaafde29822b3f2b,21645.0,Rarible,RARI,0,54,323334,148000000000,293940,6240469,deprecated,4354792
1,10950734,2020-09-28 11:33:00,0xb21004d5d2c14b686d7c6727fe3fdc6b3eecabc7b55fc5dd5dff04c1350ee6fa,113,0x8c226cd4e19bd594c327f48f226aaea585ef7dee97c0750c000a08b82ae199e2,0x0000000000000000000000000000000000000000,0x27b4bc90fbe56f02ef50f2e2f79d7813aa8941a7,0x954f1d97ae9c4a27d012e70ccaafde29822b3f2b,6913.0,gego.dego,GEGO,0,155,636649,141000001459,424054,11499018,deprecated,4315392
2,11491424,2020-12-20 16:57:20,0xb0b402d66f3b9249836ab594af4682bf1085acff54066a0b1a24e375809a6cf4,750,0xca43f843f7b3996f78854821448419fd48c39b7d7a0eda0e8b1b6379467c9671,0x954f1d97ae9c4a27d012e70ccaafde29822b3f2b,0x60f80121c31a0d46b5279700f9df786054aa5ee5,0x0127da512c57600b54c05ca120ae2820e2051779,21645.0,Rarible,RARI,0,65,309945,33000000000,250186,6568168,deprecated,3774702
3,12703314,2021-06-25 12:37:35,0xabe59d5869cff36a8a0c242e093c135418ef240c1331f2e7cbe9b0cd80fd2732,209,0xc8d404c98a32fadd3e33d161ba8469926ca76ac0e80dbc7a1a6a4cc5205e4bcf,0x0000000000000000000000000000000000000000,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x954f1d97ae9c4a27d012e70ccaafde29822b3f2b,60320.0,Uniswap V3: Positions NFT,UNI-V3-POS,0,151,460479,11500000000,418608,14659015,deprecated,2562812
4,12746751,2021-07-02 07:05:54,0xcac2b4ccb1ec6e0e08122d84f8e0dbcdd6b1cc9d0b50c7455192be2359e9240d,211,0x07fee1ec73fd27399baa50b4e49d6638939aaf60f90ed4225355d1b31a0a91ee,0x0000000000000000000000000000000000000000,0xae03233307865623aaef76da9ade669b86e6f20a,0x954f1d97ae9c4a27d012e70ccaafde29822b3f2b,4.969488653819263e+47,VISOR,VISOR,0,90,418378,11000000000,278919,4755966,deprecated,2519375
5,12760375,2021-07-04 09:53:08,0xd75e67e750c89e660cdcd6ca7a05769ca98a4538b300f0170d71d3cc1ecb7892,227,0x6af2586eaa427b6fc6832851c8f2e7117241ef231b98ca41e4acdfa7232ec0f0,0x0000000000000000000000000000000000000000,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x954f1d97ae9c4a27d012e70ccaafde29822b3f2b,71634.0,Uniswap V3: Positions NFT,UNI-V3-POS,0,112,554497,12000000000,422601,6902946,deprecated,2505751
6,12762600,2021-07-04 18:18:05,0x3e8224e8c7fb42b903a0abf7a43b15c24d10392e275ac8153e2e7d1429985dbe,233,0xdad10d7d596315fbfaf4f1987208f1aae592bb6371324a4ae908598750e7aff6,0x0000000000000000000000000000000000000000,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x954f1d97ae9c4a27d012e70ccaafde29822b3f2b,72218.0,Uniswap V3: Positions NFT,UNI-V3-POS,0,151,575196,20000000000,461530,8090707,deprecated,2503526
7,12762653,2021-07-04 18:30:01,0x36c9e2c8771d60642524f56b7c511b84d0464b1ad6316e1e209f9ea766a3135e,237,0xd9be667b4f0649af53939b10ef8f797489ec62d39219337d86d5bea3c2486baf,0x0000000000000000000000000000000000000000,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x954f1d97ae9c4a27d012e70ccaafde29822b3f2b,72232.0,Uniswap V3: Positions NFT,UNI-V3-POS,0,105,575325,20000000000,476638,6493336,deprecated,2503473
8,12838399,2021-07-16 14:20:05,0xa9bb92df96b6d2ef85d3080398bda94d35b23f374c508d3e2ceb09f858b30395,269,0x90c3333b2a5384fd25b428b723ede119689b1beba5687f18ed363fbded1570f6,0x0000000000000000000000000000000000000000,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x954f1d97ae9c4a27d012e70ccaafde29822b3f2b,85177.0,Uniswap V3: Positions NFT,UNI-V3-POS,0,119,457250,42000000000,366042,11932848,deprecated,2427727
9,12850636,2021-07-18 12:37:28,0xfe6d0e20db894c7726bb6fdf3336f0201251ffdb80806897bf4c64431d2ee501,271,0x58519426d2d01b8189d91c1b58ec724f6726ed31e5c95b3ed10dbc533a9b69f5,0x0000000000000000000000000000000000000000,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x954f1d97ae9c4a27d012e70ccaafde29822b3f2b,87890.0,Uniswap V3: Positions NFT,UNI-V3-POS,0,78,457264,19000000000,366054,5189133,deprecated,2415490
