,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,tokenID,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,12801830,2021-07-10 20:33:23,0xdfd81efeea4ab66a6f1d0d4b78ed86ae2270faffa8e76a52982f18aa3aa30752,212,0x11df7eab154c7dc048e6d1f897d7d7b6518f7ebf100a2bd90125b3535aa524f8,0x0000000000000000000000000000000000000000,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xacfb3293006c2ed0bec5675cfa1ba76957611411,78111,Uniswap V3: Positions NFT,UNI-V3-POS,0,41,615891,16000000000,485154,3379296,deprecated,2464213
1,12801854,2021-07-10 20:38:01,0x459acafe00742181c7aeb36b638537c0a3e39cdb1c450a641b0f4e048abb1a5c,213,0x330b216c6026d4e8ea69bb2ecae1697547cd7b1f72d0a12578b47765c9b4a8df,0x0000000000000000000000000000000000000000,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xacfb3293006c2ed0bec5675cfa1ba76957611411,78120,Uniswap V3: Positions NFT,UNI-V3-POS,0,121,589839,13000000000,468162,8706599,deprecated,2464189
2,12801888,2021-07-10 20:47:08,0x1805a135f5b0fd32a2bfc6ce6b29b65167e3e76fb83338d77262ef8aa543f5cb,217,0x160088c4bb14805ea56bc4cf946c4c119b48afa5da561590e3fcbfe35e0afa35,0x0000000000000000000000000000000000000000,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xacfb3293006c2ed0bec5675cfa1ba76957611411,78130,Uniswap V3: Positions NFT,UNI-V3-POS,0,71,590757,14000000000,468915,5111394,deprecated,2464155
3,12801928,2021-07-10 20:57:54,0xcd5f109f6015f0726dd70cfc3fa6f0bbec4413d08ca01289b86fd032b2f9c68a,220,0x8a04f4a51cc26287c0f896ec161d6d6be6e5da3ecb5ab1abf19b18ec8baef0bc,0x0000000000000000000000000000000000000000,0xc36442b4a4522e871399cd717abdd847ab11fe88,0xacfb3293006c2ed0bec5675cfa1ba76957611411,78138,Uniswap V3: Positions NFT,UNI-V3-POS,0,139,596178,15000000000,468983,9759047,deprecated,2464115
4,13386548,2021-10-09 20:01:09,0x9cd1f0ac4eed21c5bd6597a5a6879638f01ee6c936e061b00be91c1ed4db6bde,234,0x5e1cfc956cf98df0d5c99a07ba03d266dbb0c28b7ba349a3005e7c0a4cd30e0e,0x0000000000000000000000000000000000000000,0x4e2781e3ad94b2dfcf34c51de0d8e9358c69f296,0xacfb3293006c2ed0bec5675cfa1ba76957611411,1680,Sora's Dreamworld,Sora,0,38,626468,72424763653,626468,6198984,deprecated,1879495
5,13386548,2021-10-09 20:01:09,0x9cd1f0ac4eed21c5bd6597a5a6879638f01ee6c936e061b00be91c1ed4db6bde,234,0x5e1cfc956cf98df0d5c99a07ba03d266dbb0c28b7ba349a3005e7c0a4cd30e0e,0x0000000000000000000000000000000000000000,0x4e2781e3ad94b2dfcf34c51de0d8e9358c69f296,0xacfb3293006c2ed0bec5675cfa1ba76957611411,1681,Sora's Dreamworld,Sora,0,38,626468,72424763653,626468,6198984,deprecated,1879495
6,13386548,2021-10-09 20:01:09,0x9cd1f0ac4eed21c5bd6597a5a6879638f01ee6c936e061b00be91c1ed4db6bde,234,0x5e1cfc956cf98df0d5c99a07ba03d266dbb0c28b7ba349a3005e7c0a4cd30e0e,0x0000000000000000000000000000000000000000,0x4e2781e3ad94b2dfcf34c51de0d8e9358c69f296,0xacfb3293006c2ed0bec5675cfa1ba76957611411,1682,Sora's Dreamworld,Sora,0,38,626468,72424763653,626468,6198984,deprecated,1879495
7,13386548,2021-10-09 20:01:09,0x9cd1f0ac4eed21c5bd6597a5a6879638f01ee6c936e061b00be91c1ed4db6bde,234,0x5e1cfc956cf98df0d5c99a07ba03d266dbb0c28b7ba349a3005e7c0a4cd30e0e,0x0000000000000000000000000000000000000000,0x4e2781e3ad94b2dfcf34c51de0d8e9358c69f296,0xacfb3293006c2ed0bec5675cfa1ba76957611411,1683,Sora's Dreamworld,Sora,0,38,626468,72424763653,626468,6198984,deprecated,1879495
8,13386548,2021-10-09 20:01:09,0x9cd1f0ac4eed21c5bd6597a5a6879638f01ee6c936e061b00be91c1ed4db6bde,234,0x5e1cfc956cf98df0d5c99a07ba03d266dbb0c28b7ba349a3005e7c0a4cd30e0e,0x0000000000000000000000000000000000000000,0x4e2781e3ad94b2dfcf34c51de0d8e9358c69f296,0xacfb3293006c2ed0bec5675cfa1ba76957611411,1684,Sora's Dreamworld,Sora,0,38,626468,72424763653,626468,6198984,deprecated,1879495
9,13386568,2021-10-09 20:04:50,0x6b3d1150b43cedad669c752505680e222833296532c281dd70ce2a64953cb91f,235,0xcc92b6818394796fea618cf56b6d337cacf94c524efcd6a946a891a1365f6538,0x0000000000000000000000000000000000000000,0x4e2781e3ad94b2dfcf34c51de0d8e9358c69f296,0xacfb3293006c2ed0bec5675cfa1ba76957611411,3059,Sora's Dreamworld,Sora,0,111,148964,94745009101,148964,12121435,deprecated,1879475
