,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,tokenID,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
0,13930793,2022-01-03 05:58:53,0x617f68c0d203631bc32122445a4cd23c002aa76c0eb70d0243ccae4df03103fb,53,0xa6500c26cc7532b7dce4ba642e3713a41e8429468a6b6dc8ece03791f66c88fe,0xbdd95abe8a7694ccd77143376b0fbea183e6a740,0x17b8ef727a48c47a3dd545435fdaba9194cf3899,0xb487181c1c3b2c792eb9e2275304b80f48c18f4c,1011,nbayc,NBAYC,0,205,259132,81888600051,194391,16727984,deprecated,1335416
1,14066112,2022-01-24 04:17:13,0x873939315eb145a7fd2c9394eab1e54afa318d7b8f9f9d540a0a020806738b43,58,0xdf7374114037ee600342faf5df12f6f3807d2e7781c7ce50952603a98f7e99ce,0x4d36b1f6b98bd3460feb817e28b7dca9b2b6f4f6,0xa08b319f0f09ae8261db2034d43bf40c673f0ad0,0xb487181c1c3b2c792eb9e2275304b80f48c18f4c,2122,Teen Rebel Ape Club,TRAC,0,142,297006,95079580657,223525,9530550,deprecated,1200097
2,14066276,2022-01-24 04:55:00,0x62917babb870264bc98144a09fb187bec80b8ecad12089c7c956a77de54cd0b5,59,0xcefc83e68e4dc1e8cdfdd4c4932b1768129cc9339ee068de9dda244a125b01e9,0xc6d33edaa7343882728e8d13aa5041048e37faff,0xa08b319f0f09ae8261db2034d43bf40c673f0ad0,0xb487181c1c3b2c792eb9e2275304b80f48c18f4c,3017,Teen Rebel Ape Club,TRAC,0,222,260184,79791976821,212471,22373505,deprecated,1199933
3,14078611,2022-01-26 02:32:13,0x772289926d76f8fcb19a8125e65656936b1913b35709109763e56b052359ad2a,61,0x56174cf8ab7ba261c7f48e97a687780d8edbd5c61dccc4d8c0effd5f7649336d,0x36765e18c83d46252d3c8eb9118ab3eac8f4e5c9,0xc5ae96ef99832e0cb8409877f47fbfed97004b79,0xb487181c1c3b2c792eb9e2275304b80f48c18f4c,6391,Yung Ape Squad,YAS,0,222,259144,98685412119,194400,25171025,deprecated,1187598
4,14078675,2022-01-26 02:45:29,0x4977f559b9e427b6ce01b4cb308f65dc583e1a8e01920440396da50eac9ae61b,62,0x08b444c6c605f612386070fe29ceabd1a64043c5d19c7369597dd897ad975027,0x777bbac6d373f0f66cc2e097b767bf60383d1834,0xc5ae96ef99832e0cb8409877f47fbfed97004b79,0xb487181c1c3b2c792eb9e2275304b80f48c18f4c,1734,Yung Ape Squad,YAS,0,342,231745,116805252474,172524,15762808,deprecated,1187534
5,14091699,2022-01-28 03:11:07,0xca6d224be4ed3c36d96aac64fbb96604c1ca467964d880f22f32b29bed3fd37b,63,0xb9ea048e49d7bea9f6dbfb6ce7e7f28972aafc5044d42795a72f68543e8c53db,0x7a70536c4d695b1ec9df972e91461e834bfb00e8,0x496299d8497a02b01f5bc355298b0a831f06c522,0xb487181c1c3b2c792eb9e2275304b80f48c18f4c,5662,Ascended NFT,ASCENDED,0,268,256802,119404933441,192599,29310941,deprecated,1174510
6,14111959,2022-01-31 06:16:46,0x6312cbfa67a99e5e21859be2e3932254920149181ce462cad0542f52bcb42446,66,0x53b0bd1a6a068f32f9d5dac78b4f871c8710296474200fc6b1e1b4b5dd6960a9,0xa47467efd942dacbf3b0d1d656bc512847e7f4e0,0xa08b319f0f09ae8261db2034d43bf40c673f0ad0,0xb487181c1c3b2c792eb9e2275304b80f48c18f4c,3998,Teen Rebel Ape Club,TRAC,0,331,223682,71843171876,181820,28374243,deprecated,1154250
7,14122002,2022-02-01 19:22:56,0x5b0099af3dde8bfd185c82f1a852b62fdba67c66b5cb467881fca6664412ebf6,67,0xc907d0fcb7e94aa3c793a1001fcc88bc9392acef607fe28fc4407fae0f949fc8,0xf7a15e0a0e75eeaba408104de291aae5bfa81fd9,0xa08b319f0f09ae8261db2034d43bf40c673f0ad0,0xb487181c1c3b2c792eb9e2275304b80f48c18f4c,349,Teen Rebel Ape Club,TRAC,0,69,265168,139221928614,218493,6221132,deprecated,1144207
8,14122853,2022-02-01 22:29:03,0xbcd29818dd744da170b7b6275dc1436ee290371edd632928fbdb142eb1641daf,68,0xc25e37a793e86a40acf9632dba13c14a42213fb3df2f842f5136a865ae1b5e54,0xf6115cd0940d860377d64a3020ad65795c5121be,0xa08b319f0f09ae8261db2034d43bf40c673f0ad0,0xb487181c1c3b2c792eb9e2275304b80f48c18f4c,1979,Teen Rebel Ape Club,TRAC,0,257,274776,111472553927,206425,22696393,deprecated,1143356
9,14128884,2022-02-02 20:55:16,0x3b60bdf8a640c88079c98d5407e9c3aa7ec250b75d2edf7b6737e1c5a22faf86,70,0x02c42f78020ec5c05c617fcd680ccdc613748a3c0c9589760f02b13ce498b898,0xe7e5cacc1622514d44b0c4eb56d424b1895045d9,0x5426c860c9e660145ad09d3fb26427e5fd4569e9,0xb487181c1c3b2c792eb9e2275304b80f48c18f4c,5529,Doodle Rooms,DR,0,203,265336,187391636384,199163,18122175,deprecated,1137325
